,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,index,English_Name,Chinese_Name,Literal_Translation,Dish Type,Creative Translation (1 = yes),Rating,Category_EN_1,Category_EN_2,Category_EN_3,Category_CH_1,Category_CH_2,Category_CH_3,Translation(Literal = 1),Address,Area,Website,Order Website,Metric 1 Retain Meanings,Metric 2 Similarities,Metric 3 Creativity,chatGPT_translation,embedding_similarity,BERT_F1,BERT_precision,BERT_recall
0,0,0,0,0,Shanghai Cuisine,上海小馆,Shanghai Bistro,Shanghai,0,4.4,Location,,,Location,Ambiance,,0,"11 Pine St, Waltham, MA",0,https://www.shanghaicuisineorder.com/,,0.5,0.5,0,Shanghai Small Restaurant,0.7893,0.9762611389160156,0.9739059805870056,0.9786275625228882
1,1,1,1,1,Shanghai Fresh,十八鲜,Eighteen Fresh,Shanghai,0,4.0,Location,Positivity,,Positivity,,,0,"735 Massachusetts Ave, Cambridge, MA 02139",0,https://www.shanghaifreshcambridge.com/,,1.0,0.5,1,Eighteen Fresh,0.4997,0.9840221405029297,0.9817764759063721,0.986278235912323
2,2,2,2,2,Kao Barbecue,久经烤焰,Roasted for a Long Time,Barbecue,0,3.6,Romanized,,,Pun_Creative,Specialty,,0,"85 Harvard Ave, Boston, MA 02134",0,,,0.0,0.0,1,Long Experienced Roast Flame,0.2237,0.975324273109436,0.974731981754303,0.9759172797203064
3,3,3,3,3,Taiwan Cafe ,海之味,Taste of the Sea,Taiwan,0,3.8,Location,,,Specialty,,,0,"34 Oxford St, Boston, MA",0,https://ordertaiwancafe.com/,,0.0,0.0,1,Taste of the Sea,0.1995,0.9765875339508057,0.9795976877212524,0.9735958576202393
4,4,4,4,4,Hunan Cuisine ,异国他湘,Alien Country Other Hunan,Hunan,0,4.5,Location,,,Location,Pun_Creative,,0,"45 Beach St, Boston, MA",0,,,0.5,0.5,0,Foreign He Xiang,0.4488,0.9834617376327515,0.980728030204773,0.9862107634544373
5,5,5,5,5,House of Chang,藤王馔,Vine King Delicacy,Fusion,0,4.2,Names,Ambiance,,Positivity,,,0,"282 Concord Ave, Cambridge, MA 02138",0,https://houseofchangcambridge.com/,,0.0,0.0,2,Vine King Delicacy,0.242,0.9748234152793884,0.9731211066246033,0.9765316247940063
6,6,6,6,6,Bun's House,四川冒菜,Sichuan Instant Boiled Spicy Hot Pot,Sichuan,0,3.7,Location,Ambiance,,Location,Specialty,,0,"338 Ferry St, Everett, MA",0,https://order.bunshouseeverettma.com/menu,,0.5,0.3333333333333333,1,Sichuan Rush Dish,0.1461,0.9665436148643494,0.9671193957328796,0.9659686088562012
7,7,7,7,7,KungFu MalaTang,汤功夫麻辣烫·麻辣拌,Soup Kunfu Spicy Hot Pot,Sichuan,0,4.1,Culture,Specialty,,Specialty,Culture,,1,"155 Brighton Ave, Allston, MA 02134",0,http://www.kungfumalatang.com/,,1.0,1.0,0,Soup Kung Fu Spicy Hot Pot·Spicy Mix,0.5273,0.9751883745193481,0.9745456576347351,0.9758318662643433
8,8,8,8,8,Spicy World,大舌头,Big Tongue,Sichuan,0,3.0,Ambiance,Specialty,,Other,,,0,"7 Beach St, Boston, MA",0,https://www.spicyworldboston.com/,,0.0,0.0,2,Big Tongue,0.3602,0.9782339930534363,0.9772235155105591,0.9792466759681702
9,9,9,9,9,Flame Hot Pot & Sushi,一品川,A Taste of Sichuan,Sichuan,0,3.6,Specialty,,,Location,,,0,"1001 Massachusetts Ave, Cambridge, MA 02138",0,https://www.flameasian.com/,,0.0,0.0,1,First Class Sichuan,0.1934,0.9673999547958374,0.9663726687431335,0.968429446220398
