,Unnamed: 0,Unnamed: 0.1,index,English_Name,Chinese_Name,Literal_Translation,Dish Type,Creative Translation (1 = yes),Rating,Category_EN_1,Category_EN_2,Category_EN_3,Category_CH_1,Category_CH_2,Category_CH_3,Translation(Literal = 1),Address,Area,Website,Order Website,Metric 1 Retain Meanings,Metric 2 Similarities,Metric 3 Creativity
0,0,0,0,Shanghai Cuisine,上海小馆,Shanghai Bistro,Shanghai,0,4.4,Location,,,Location,Ambiance,,0,"11 Pine St, Waltham, MA",0,https://www.shanghaicuisineorder.com/,,0.5,0.5,0
1,1,1,1,Shanghai Fresh,十八鲜,Eighteen Fresh,Shanghai,0,4.0,Location,Positivity,,Positivity,,,0,"735 Massachusetts Ave, Cambridge, MA 02139",0,https://www.shanghaifreshcambridge.com/,,1.0,0.5,1
2,2,2,2,Kao Barbecue,久经烤焰,Roasted for a Long Time,Barbecue,0,3.6,Romanized,,,Pun_Creative,Specialty,,0,"85 Harvard Ave, Boston, MA 02134",0,,,0.0,0.0,1
3,3,3,3,Taiwan Cafe ,海之味,Taste of the Sea,Taiwan,0,3.8,Location,,,Specialty,,,0,"34 Oxford St, Boston, MA",0,https://ordertaiwancafe.com/,,0.0,0.0,1
4,4,4,4,Hunan Cuisine ,异国他湘,Alien Country Other Hunan,Hunan,0,4.5,Location,,,Location,Pun_Creative,,0,"45 Beach St, Boston, MA",0,,,0.5,0.5,0
5,5,5,5,House of Chang,藤王馔,Vine King Delicacy,Fusion,0,4.2,Names,Ambiance,,Positivity,,,0,"282 Concord Ave, Cambridge, MA 02138",0,https://houseofchangcambridge.com/,,0.0,0.0,2
6,6,6,6,Bun's House,四川冒菜,Sichuan Instant Boiled Spicy Hot Pot,Sichuan,0,3.7,Location,Ambiance,,Location,Specialty,,0,"338 Ferry St, Everett, MA",0,https://order.bunshouseeverettma.com/menu,,0.5,0.3333333333333333,1
7,7,7,7,KungFu MalaTang,汤功夫麻辣烫·麻辣拌,Soup Kunfu Spicy Hot Pot,Sichuan,0,4.1,Culture,Specialty,,Specialty,Culture,,1,"155 Brighton Ave, Allston, MA 02134",0,http://www.kungfumalatang.com/,,1.0,1.0,0
8,8,8,8,Spicy World,大舌头,Big Tongue,Sichuan,0,3.0,Ambiance,Specialty,,Other,,,0,"7 Beach St, Boston, MA",0,https://www.spicyworldboston.com/,,0.0,0.0,2
9,9,9,9,Flame Hot Pot & Sushi,一品川,A Taste of Sichuan,Sichuan,0,3.6,Specialty,,,Location,,,0,"1001 Massachusetts Ave, Cambridge, MA 02138",0,https://www.flameasian.com/,,0.0,0.0,1
10,10,10,10,Boston Soup Dumplings,烹小鲜,Cook Little Fresh,Fusion,0,4.8,Location,Positivity,Specialty,Positivity,,,0,"113 Brighton Ave, Boston, MA 02134",0,https://www.bostonsoupdumplings.com/,,1.0,0.3333333333333333,2
11,11,11,11,Six Po Hot Pot,六婆串串香,Six Auntie Skewers Delicious,Sichuan,0,4.1,Names,Specialty,,Names,Specialty,Positivity,0,"1353 Beacon St, Brookline, MA",0,http://www.sixpousa.com/,,0.6666666666666666,0.6666666666666666,0
12,12,12,12,Kaojiu Restaurant,烤究,Study of Roasting,Barbecue,0,4.1,Romanized,,,Pun_Creative,Specialty,,0,"406 Harvard Street , Brookline, MA",0,https://www.kaojiurestaurant.com/,,0.0,0.0,1
13,13,13,13,Tasty Pot,味鼎,Taste Tripod,hotpot,0,4.2,Positivity,,,Positivity,,,1,"194 Harvard Ave, Boston, MA",0,http://www.tastypotboston.com/,,1.0,1.0,0
14,14,14,14,Golden Garden,金山饭店,Golden Mountain Restaurant,Northeastern,0,4.0,Ambiance,Positivity,,Positivity,,,0,"9 Highland Ave, Malden, MA",0,https://www.goldengardenmalden.com/,,1.0,0.5,1
15,15,15,15,Taste House,百味轩,Hundred Taste Pavillion,Fusion,0,4.9,Ambiance,,,Positivity,Ambiance,,0,"275 Moody St, Waltham, MA",0,,https://order.mealkeyway.com/merchant/6b376f51364d44624b33745964786e6761545a6543673d3d/main,0.5,0.5,0
16,16,16,16,Sumiao Hunan Kitchen,素描湘,Sketch Hunnan,Hunan,0,4.2,Location,Romanized,Ambiance,Location,,,0,"270 Third St, Cambridge, MA 02142",0,http://www.sumiaohunan.com/,,1.0,0.3333333333333333,2
17,17,17,17,District Kitchen,饺子馆,Dumpling Pavillion,Fusion,0,4.3,Ambiance,,,Specialty,Ambiance,,0,"2 Florence St, Malden, MA 02148",0,https://www.district-kitchen.com/,,0.5,0.5,0
18,18,18,18,BOS' SiChuan Taste,一碟川菜馆,One Plate Sichuan Cuisine Restaurant,Sichuan,0,4.3,Location,,,Location,Ambiance,,0,"204 Harvard Ave, Allston, MA 02134",0,http://www.bosyidie.com/,,0.5,0.5,0
19,19,19,19,Noah's Kitchen,亚轩十八,Asian Pavillion Eighteen,Fusion,0,4.3,Ambiance,Names,,Ambiance,Origin,,0,"18 Harvard St, Brookline, MA 02445",0,https://www.noahs.kitchen/,,0.5,0.3333333333333333,1
20,20,20,20,Lu Fu Zi,卤夫子,Brined Scholar,,0,,Romanized,,,Specialty,Culture,Pun_Creative,0,"154 harvard ave, Allston, MA",0,,https://www.chowbus.com/delivery/menu/Lu%20Fu%20Zi/2172,0.0,0.0,1
21,21,21,21,Grill Fish,烤鱼之家,Home of Grilled Fish,,0,,Specialty,,,Specialty,Ambiance,,1,"7 Beach St, Boston, MA",0,,https://www.chowbus.com/delivery/menu/Grill%20Fish/8423,0.5,0.5,0
22,22,22,22,Brother Crab Pot,哥俩肉蟹煲,Two Brothers Meaty Crab Pot,,0,,Specialty,,,Specialty,,,0,"7 Beach St, Boston, MA",0,,https://www.chowbus.com/delivery/menu/Brother%20Crab%20Pot/8949,1.0,1.0,0
23,23,23,23,Hong Kong Style Hot pot,香满园打边炉港式火锅,Fragrance Full Garden Hong Kong Style Hotpot,Cantonese,0,3.9,Location,Specialty,,Location,Specialty,,0,"28 Harrison Ave, Boston, MA",0,,https://www.chowbus.com/delivery/menu/Hong%20Kong%20Style%20Hot%20pot/9691,1.0,1.0,0
24,24,24,24,China Gourmet Restaurant,味中味,Taste in Taste,Fusion,0,4.0,Origin,,,Positivity,,,0,"23 tyler st #1905, Boston, MA",0,https://www.chinagourmetboston.com/,,0.0,0.0,1
25,25,25,25,Dolphin Bay,海豚湾,Dolphin Bay,Taiwan,0,4.3,Ambiance,,,Ambiance,,,1,"72 Brighton Ave, Allston, MA",0,,https://www.chowbus.com/delivery/menu/Dolphin%20Bay/196,1.0,1.0,0
26,26,26,26,Mala Restaurant,一麻一辣,One Numb One Spicy,Sichuan,0,4.2,Specialty,,,Specialty,Pun_Creative,,0,"129 Brighton Ave, Allston, MA 02134",0,https://malarestauranttogo.com/,,0.5,0.5,0
27,27,27,27,Supreme BBQ,尚品烤吧,Fashion Taste BBQ bar,Barbecue,0,4.2,Positivity,Specialty,,Specialty,Positivity,,0,"247 Eastern Ave, Malden, MA 02148",0,https://qmenu.us/#/supreme-bbq-malden,,1.0,1.0,0
28,28,28,28,Yunnan Kitchen,彩云之南,South of the Colorul Cloud,Yunan,0,4.3,Location,Ambiance,,Location,,,0,"1721 Washington St #B, Boston, MA 02118",0,http://yunnankitchensouthend.com/,,1.0,0.5,1
29,29,29,29,New China,新中国,New China,Fusion,0,4.0,Origin,,,Origin,,,1,"869 Harrison Ave, Boston, MA 02118",0,,,1.0,1.0,0
30,30,30,30,Yummee,渔米,Fishing Rice,Fusion,0,3.4,Romanized,,,Positivity,,,0,"665 Tremont St Ste A, Boston, MA 02118",0,https://www.menuorg.com/mobile/index.html#/shop/Yummee?id=39662,,0.0,0.0,1
31,31,31,31,Peking House,财富,Fortune,Beijing,0,4.2,Location,Ambiance,,Positivity,,,0,"160 Dudley St, Roxbury, MA 02119",0,http://pekinghouseboston.com/,,0.0,0.0,2
32,32,32,33,Dumpling Palace,南北和,South North Together,Fusion,0,3.5,Specialty,Ambiance,,Positivity,,,0,"179 Massachusetts Ave, Boston, MA 02115",0,https://www.dumpling-palace.com/,,0.0,0.0,2
33,33,33,34,Empire Garden Restaurant,帝苑大酒楼,Empire Garden Great Restaurant,Cantonese,0,3.9,Positivity,Ambiance,,Positivity,Ambiance,,1,"690 Washington St, Boston, MA 02111",0,,,1.0,1.0,0
34,34,34,35,Wing's Kitchen,小南阁,LIttle South Attic,Fusion,0,4.3,Names,Ambiance,,Ambiance,,,0,"13 Hudson St, Boston, MA 02111",0,https://www.wingskitchenboston.com/,,1.0,0.5,1
35,35,35,36,Jade Garden,翠苑海鲜酒楼,Emerald Garden Seafood Restaurant,Fusion,0,3.9,Positivity,Ambiance,,Specialty,Positivity,,0,"20 Tyler St, Boston, MA 02111",0,,,0.5,0.3333333333333333,1
36,36,36,37,The Q,小绵羊火锅,Little Lamb Hotpot,hotpot,0,4.5,Names,,,Specialty,,,0,"660 Washington St, Boston, MA 02111",0,https://thequsa.com/boston-q-restaurant-food-menu?y_source=1_OTM1MjkzMjgtNzE1LWxvY2F0aW9uLm1lbnVfdXJs,,0.0,0.0,1
37,37,37,38,Clay Pot Cafe,旺角,Mong Kok,Cantonese,0,4.3,Specialty,Ambiance,,Location,,,0,"74 Kneeland St, Boston, MA 02111",0,https://www.claypotcafemassachusetts.com/,,0.0,0.0,2
38,38,38,39,Double Chin Modern Asian Restaurant,为食家,For Food Home,Fusion,0,4.1,Origin,,,Ambiance,,,0,"86 Harrison Ave, Boston, MA 02111",0,http://www.doublechinbos.com/,,0.0,0.0,1
39,39,39,40,Royal East,五月花,May flower,Fusion,0,3.9,Positivity,Origin,,Other,,,0,"782 Main St, Cambridge, MA 02139",0,https://royaleastcambridge.com/,,0.0,0.0,2
40,40,40,41,Ding Ho,顶好快餐,Top Good Fast Food,Fusion,0,4.7,Romanized,,,Specialty,Positivity,,0,"88 Harrison Ave, Boston, MA 02111",0,,,0.0,0.0,1
41,41,41,42,Liaoxiang Rice Noodle,撩香米线,Tempting Fragrant Rice Noodle,Yunnan,0,4.9,Specialty,Romanized,,Specialty,Positivity,,0,"7 Knapp St, Boston, MA 02111",0,,,0.5,0.3333333333333333,1
