,level_0,Unnamed: 0,index,English_Name,Chinese_Name,Literal_Translation,Dish Type,Creative Translation (1 = yes),Rating,Category_EN_1,Category_EN_2,Category_EN_3,Category_CH_1,Category_CH_2,Category_CH_3,Translation(Literal = 1),Address,Area,Website,Order Website,Metric 1 Retain Meanings,Metric 2 Similarities,Metric 3 Creativity,chatGPT_translation,embedding_similarity
0,0,0,0,Shanghai Cuisine,上海小馆,Shanghai Bistro,Shanghai,0,4.4,Location,,,Location,Ambiance,,0,"11 Pine St, Waltham, MA",Urban,https://www.shanghaicuisineorder.com/,,0.5,0.5,0,Shanghai Small Restaurant,0.6395
1,1,1,1,Shanghai Fresh,十八鲜,Eighteen Fresh,Shanghai,0,4.0,Location,Positivity,,Positivity,,,0,"735 Massachusetts Ave, Cambridge, MA 02139",Urban,https://www.shanghaifreshcambridge.com/,,1.0,0.5,1,Eighteen Fresh,0.4997
2,2,2,2,Kao Barbecue,久经烤焰,Roasted for a Long Time,Barbecue,0,3.6,Romanized,,,Pun_Creative,Specialty,,0,"85 Harvard Ave, Boston, MA 02134",Urban,,,0.0,0.0,1,Long-burning Flame,0.2771
3,3,3,3,Taiwan Cafe ,海之味,Taste of the Sea,Taiwan,0,3.8,Location,,,Specialty,,,0,"34 Oxford St, Boston, MA",Urban,https://ordertaiwancafe.com/,,0.0,0.0,1,Taste of the Sea,0.1995
4,4,4,4,Hunan Cuisine ,异国他湘,Alien Country Other Hunan,Hunan,0,4.5,Location,,,Location,Pun_Creative,,0,"45 Beach St, Boston, MA",Urban,,,0.5,0.5,0,Exotic Hunan,0.6484
5,5,5,5,House of Chang,藤王馔,Wine King Delicacy,Fusion,0,4.2,Names,Ambiance,,Positivity,,,0,"282 Concord Ave, Cambridge, MA 02138",Urban,https://houseofchangcambridge.com/,,0.0,0.0,2,Tengwang Feast,0.1767
6,6,6,6,Bun's House,四川冒菜,Sichuan Instant Boiled Spicy Hot Pot,Sichuan,0,3.7,Location,Ambiance,,Location,Specialty,,0,"338 Ferry St, Everett, MA",Urban,https://order.bunshouseeverettma.com/menu,,0.5,0.3333333333333333,1,Sichuan Spicy Hot Pot,0.0169
7,7,7,7,KungFu MalaTang,汤功夫麻辣烫·麻辣拌,Soup Kunfu Spicy Hot Pot,Sichuan,0,4.1,Culture,Specialty,,Specialty,Culture,,1,"155 Brighton Ave, Allston, MA 02134",Urban,http://www.kungfumalatang.com/,,1.0,1.0,0,Soup Kung Fu Spicy Hot Pot,0.4391
8,8,8,8,Spicy World,大舌头,Big Tongue,Sichuan,0,3.0,Ambiance,Specialty,,Other,,,0,"7 Beach St, Boston, MA",Urban,https://www.spicyworldboston.com/,,0.0,0.0,2,Big Tongue,0.3602
9,9,9,9,Flame Hot Pot & Sushi,一品川,A Taste of Sichuan,Sichuan,0,3.6,Specialty,,,Location,,,0,"1001 Massachusetts Ave, Cambridge, MA 02138",Urban,https://www.flameasian.com/,,0.0,0.0,1,One Brand Sichuan,0.2203
10,10,10,10,Boston Soup Dumplings,烹小鲜,Cook Little Fresh,Fusion,0,4.8,Location,Positivity,Specialty,Positivity,,,0,"113 Brighton Ave, Boston, MA 02134",Urban,https://www.bostonsoupdumplings.com/,,1.0,0.3333333333333333,2,Cooking Fresh,0.3414
11,11,11,11,Six Po Hot Pot,六婆串串香,Six Auntie Skewers Delicious,Sichuan,0,4.1,Names,Specialty,,Names,Specialty,Positivity,0,"1353 Beacon St, Brookline, MA",Urban,http://www.sixpousa.com/,,0.6666666666666666,0.6666666666666666,0,Liu Po Chuan Chuan Xiang,0.3310
12,12,12,12,Kaojiu Restaurant,烤究,Study of Roasting,Barbecue,0,4.1,Romanized,,,Pun_Creative,Specialty,,0,"406 Harvard Street , Brookline, MA",Urban,https://www.kaojiurestaurant.com/,,0.0,0.0,1,Roast Research,0.1283
13,13,13,13,Tasty Pot,味鼎,Taste Tripod,hotpot,0,4.2,Positivity,,,Positivity,,,1,"194 Harvard Ave, Boston, MA",Urban,http://www.tastypotboston.com/,,1.0,1.0,0,Flavor Ding,0.3061
14,14,14,14,Golden Garden,金山饭店,Golden Mountain Restaurant,Northeastern,0,4.0,Ambiance,Positivity,,Positivity,,,0,"9 Highland Ave, Malden, MA",Urban,https://www.goldengardenmalden.com/,,1.0,0.5,1,Golden Mountain Restaurant,0.5795
15,15,15,15,Taste House,百味轩,Hundred Taste Pavillion,Fusion,0,4.9,Ambiance,,,Positivity,Ambiance,,0,"275 Moody St, Waltham, MA",Urban,,https://order.mealkeyway.com/merchant/6b376f51364d44624b33745964786e6761545a6543673d3d/main,0.5,0.5,0,Hundred Flavors Pavilion,0.5448
16,16,16,16,Sumiao Hunan Kitchen,素描湘,Sketch Hunnan,Hunan,0,4.2,Location,Romanized,Ambiance,Location,,,0,"270 Third St, Cambridge, MA 02142",Urban,http://www.sumiaohunan.com/,,1.0,0.3333333333333333,2,Sketch Hunan,0.1941
17,17,17,17,District Kitchen,饺子馆,Dumpling Pavillion,Fusion,0,4.3,Ambiance,,,Specialty,Ambiance,,0,"2 Florence St, Malden, MA 02148",Urban,https://www.district-kitchen.com/,,0.5,0.5,0,Dumpling Restaurant,0.2332
18,18,18,18,BOS' SiChuan Taste,一碟川菜馆,One Plate Sichuan Cuisine Restaurant,Sichuan,0,4.3,Location,,,Location,Ambiance,,0,"204 Harvard Ave, Allston, MA 02134",Urban,http://www.bosyidie.com/,,0.5,0.5,0,One Plate Sichuan Restaurant,0.6008
19,19,19,19,Noah's Kitchen,亚轩十八,Asian Pavillion Eighteen,Fusion,0,4.3,Ambiance,Names,,Ambiance,Origin,,0,"18 Harvard St, Brookline, MA 02445",Urban,https://www.noahs.kitchen/,,0.5,0.3333333333333333,1,Asia Pavilion Eighteen,0.1184
20,20,20,20,Lu Fu Zi,卤夫子,Brined Scholar,,0,,Romanized,,,Specialty,Culture,Pun_Creative,0,"154 harvard ave, Allston, MA",Urban,,https://www.chowbus.com/delivery/menu/Lu%20Fu%20Zi/2172,0.0,0.0,1,Braised Master,0.1573
21,21,21,21,Grill Fish,烤鱼之家,Home of Grilled Fish,,0,,Specialty,,,Specialty,Ambiance,,1,"7 Beach St, Boston, MA",Urban,,https://www.chowbus.com/delivery/menu/Grill%20Fish/8423,0.5,0.5,0,Home of Grilled Fish,0.8024
22,22,22,22,Brother Crab Pot,哥俩肉蟹煲,Two Brothers Meaty Crab Pot,,0,,Specialty,,,Specialty,,,0,"7 Beach St, Boston, MA",Urban,,https://www.chowbus.com/delivery/menu/Brother%20Crab%20Pot/8949,1.0,1.0,0,Two Brothers Crab Pot,0.8349
23,23,23,23,Hong Kong Style Hot pot,香满园打边炉港式火锅,Fragrance Full Garden Hong Kong Style Hotpot,Cantonese,0,3.9,Location,Specialty,,Location,Specialty,,0,"28 Harrison Ave, Boston, MA",Urban,,https://www.chowbus.com/delivery/menu/Hong%20Kong%20Style%20Hot%20pot/9691,1.0,1.0,0,Fragrant Garden Hot Pot,0.7344
24,24,24,24,China Gourmet Restaurant,味中味,Taste in Taste,Fusion,0,4.0,Origin,,,Positivity,,,0,"23 tyler st #1905, Boston, MA",Urban,https://www.chinagourmetboston.com/,,0.0,0.0,1,Taste Within Taste,0.1387
25,25,25,25,Dolphin Bay,海豚湾,Dolphin Bay,Taiwan,0,4.3,Ambiance,,,Ambiance,,,1,"72 Brighton Ave, Allston, MA",Urban,,https://www.chowbus.com/delivery/menu/Dolphin%20Bay/196,1.0,1.0,0,Dolphin Bay,1.0000
26,26,26,26,Mala Restaurant,一麻一辣,One Numb One Spicy,Sichuan,0,4.2,Specialty,,,Specialty,Pun_Creative,,0,"129 Brighton Ave, Allston, MA 02134",Urban,https://malarestauranttogo.com/,,0.5,0.5,0,One Numb One Spicy,0.1602
27,27,27,27,Supreme BBQ,尚品烤吧,Fashion Taste BBQ bar,Barbecue,0,4.2,Positivity,Specialty,,Specialty,Positivity,,0,"247 Eastern Ave, Malden, MA 02148",Urban,https://qmenu.us/#/supreme-bbq-malden,,1.0,1.0,0,Top Quality Roast Bar,0.6301
28,28,28,28,Yunnan Kitchen,彩云之南,South of the Colorul Cloud,Yunan,0,4.3,Location,Ambiance,,Location,,,0,"1721 Washington St #B, Boston, MA 02118",Urban,http://yunnankitchensouthend.com/,,1.0,0.5,1,Colorful Yunnan,0.1481
29,29,29,29,New China,新中国,New China,Fusion,0,4.0,Origin,,,Origin,,,1,"869 Harrison Ave, Boston, MA 02118",Urban,,,1.0,1.0,0,New China,1.0000
30,30,30,30,Yummee,渔米,Fishing Rice,Fusion,0,3.4,Romanized,,,Positivity,,,0,"665 Tremont St Ste A, Boston, MA 02118",Urban,https://www.menuorg.com/mobile/index.html#/shop/Yummee?id=39662,,0.0,0.0,1,Fish Rice,0.0959
31,31,31,31,Peking House,财富,Fortune,Beijing,0,4.2,Location,Ambiance,,Positivity,,,0,"160 Dudley St, Roxbury, MA 02119",Urban,http://pekinghouseboston.com/,,0.0,0.0,2,Fortune,0.2161
32,32,32,33,Dumpling Palace,南北和,South North Together,Fusion,0,3.5,Specialty,Ambiance,,Positivity,,,0,"179 Massachusetts Ave, Boston, MA 02115",Urban,https://www.dumpling-palace.com/,,0.0,0.0,2,North and South Harmony,0.2620
33,33,33,34,Empire Garden Restaurant,帝苑大酒楼,Empire Garden Great Restaurant,Cantonese,0,3.9,Positivity,Ambiance,,Positivity,Ambiance,,1,"690 Washington St, Boston, MA 02111",Urban,,,1.0,1.0,0,Imperial Garden Restaurant,0.9474
