,name,location_link,site,us_state,type,subtypes,Area,rating
0,Swen Chinese Restaurant,"https://www.google.com/maps/place/Swen+Chinese+Restaurant/@33.2109769,-87.5523699,14z/data=!4m8!1m2!2m1!1sSwen+Chinese+Restaurant!3m4!1s0x888602962d83f957:0xe9d816b7a924ac6!8m2!3d33.2109769!4d-87.5523699",,Alabama,Chinese restaurant,Chinese restaurant,2,3.7
1,New Garden Chinese Restaurant,"https://www.google.com/maps/place/New+Garden+Chinese+Restaurant/@31.230372799999998,-85.4325904,14z/data=!4m8!1m2!2m1!1sNew+Garden+Chinese+Restaurant!3m4!1s0x889293069a6f504f:0x8f55db880b19d8bd!8m2!3d31.230372799999998!4d-85.4325904",http://www.newgardendothan.com/,Alabama,Chinese restaurant,Chinese restaurant,2,4.3
2,China Garden,"https://www.google.com/maps/place/China+Garden/@32.4819709,-85.0327446,14z/data=!4m8!1m2!2m1!1sChina+Garden!3m4!1s0x888cce7bae0967f9:0x2f4349876af9f4e5!8m2!3d32.4819709!4d-85.0327446",https://usmapz.me/china-garden-329257-us,Alabama,Chinese restaurant,Chinese restaurant,2,3.9
3,Four Leaves Asian Restaurant,"https://www.google.com/maps/place/Four+Leaves+Asian+Restaurant/@34.7563616,-86.7105922,14z/data=!4m8!1m2!2m1!1sFour+Leaves+Asian+Restaurant!3m4!1s0x886268e7c9d8550f:0xc55bb20c537398a3!8m2!3d34.7563616!4d-86.7105922",http://www.fourleavesal.com/,Alabama,Chinese restaurant,"Chinese restaurant, Asian fusion restaurant, Pan-Asian restaurant, Japanese restaurant, Mandarin restaurant, Sushi restaurant",2,4.5
4,China Sea Kitchen,"https://www.google.com/maps/place/China+Sea+Kitchen/@32.3574656,-86.28383649999999,14z/data=!4m8!1m2!2m1!1sChina+Sea+Kitchen!3m4!1s0x888e81ba0bcc3079:0x343d318eaec8172b!8m2!3d32.3574656!4d-86.28383649999999",https://usmapz.me/china-sea-kitchen-731006-us,Alabama,Chinese restaurant,Chinese restaurant,2,4.0
5,China Cook,"https://www.google.com/maps/place/China+Cook/@34.816176999999996,-86.49041799999999,14z/data=!4m8!1m2!2m1!1sChina+Cook!3m4!1s0x88623dfa1901a243:0x187234ebeaf605df!8m2!3d34.816176999999996!4d-86.49041799999999",http://www.chinacookhuntsville.com/?utm_source=gmb,Alabama,Chinese restaurant,Chinese restaurant,2,4.1
6,Teak House,"https://www.google.com/maps/place/Teak+House/@30.6022857,-87.89877129999999,14z/data=!4m8!1m2!2m1!1sTeak+House!3m4!1s0x889a41775e501047:0x3bfeed66a03e66d0!8m2!3d30.6022857!4d-87.89877129999999",http://teakhousethai.com/,Alabama,Chinese restaurant,"Chinese restaurant, Asian restaurant, Thai restaurant, Southeast Asian restaurant",2,4.3
7,Mandarin House,"https://www.google.com/maps/place/Mandarin+House/@32.631975,-85.4363888,14z/data=!4m8!1m2!2m1!1sMandarin+House!3m4!1s0x888ced1d923c45c5:0x8d28d41cc21c2740!8m2!3d32.631975!4d-85.4363888",,Alabama,Chinese restaurant,"Chinese restaurant, Asian restaurant",2,3.6
8,China Lin,"https://www.google.com/maps/place/China+Lin/@32.1441626,-85.7159041,14z/data=!4m8!1m2!2m1!1sChina+Lin!3m4!1s0x888daf04be580da3:0x3331093e53ae6954!8m2!3d32.1441626!4d-85.7159041",,Alabama,Chinese restaurant,Chinese restaurant,1,3.9
9,The Palace,"https://www.google.com/maps/place/The+Palace/@33.6414925,-86.62931449999999,14z/data=!4m8!1m2!2m1!1sThe+Palace!3m4!1s0x88890c66df563c3f:0x3f87a4abe68c5dea!8m2!3d33.6414925!4d-86.62931449999999",,Alabama,Chinese restaurant,Chinese restaurant,2,4.3
10,Golden China Restaurant,"https://www.google.com/maps/place/Golden+China+Restaurant/@34.0193521,-86.0147684,14z/data=!4m8!1m2!2m1!1sGolden+China+Restaurant!3m4!1s0x888a3c1faab3f227:0xd0acee722297fabb!8m2!3d34.0193521!4d-86.0147684",https://goldenchinaal.com/,Alabama,Chinese restaurant,"Chinese restaurant, Buffet restaurant",2,4.3
11,Happy China,"https://www.google.com/maps/place/Happy+China/@34.1612453,-85.6784802,14z/data=!4m8!1m2!2m1!1sHappy+China!3m4!1s0x888a6150a846cbd7:0xfbef3375e501e673!8m2!3d34.1612453!4d-85.6784802",,Alabama,Chinese restaurant,Chinese restaurant,0,3.4
12,Panda,"https://www.google.com/maps/place/Panda/@32.576082,-85.4968935,14z/data=!4m8!1m2!2m1!1sPanda!3m4!1s0x888cf3bdea93fddf:0xd2567b9bafa62571!8m2!3d32.576082!4d-85.4968935",http://www.pandaauburn.com/,Alabama,Chinese restaurant,"Chinese restaurant, Fast food restaurant, Restaurant",2,3.6
13,China Palace Restaurant,"https://www.google.com/maps/place/China+Palace+Restaurant/@33.597299,-86.64724799999999,14z/data=!4m8!1m2!2m1!1sChina+Palace+Restaurant!3m4!1s0x88890dc3b4d422ed:0xcb852395c079cea0!8m2!3d33.597299!4d-86.64724799999999",,Alabama,Chinese restaurant,Chinese restaurant,2,4.4
14,Black Pearl Asian Cuisine,"https://www.google.com/maps/place/Black+Pearl+Asian+Cuisine/@33.4374981,-86.7285285,14z/data=!4m8!1m2!2m1!1sBlack+Pearl+Asian+Cuisine!3m4!1s0x8889179d19fb1017:0xdfc51ff94f6d0ba9!8m2!3d33.4374981!4d-86.7285285",http://www.blackpearlal.com/,Alabama,Chinese restaurant,"Chinese restaurant, Asian fusion restaurant, Restaurant, Thai restaurant",2,4.2
15,China Chef Restaurant,"https://www.google.com/maps/place/China+Chef+Restaurant/@30.6311298,-87.9139628,14z/data=!4m8!1m2!2m1!1sChina+Chef+Restaurant!3m4!1s0x889a43bdce9b52bb:0xd40bb85e0d0d2ea8!8m2!3d30.6311298!4d-87.9139628",https://www.chinachefdaphne.com/,Alabama,Chinese restaurant,Chinese restaurant,2,4.2
16,New China Restaurant,"https://www.google.com/maps/place/New+China+Restaurant/@34.568771,-87.009855,14z/data=!4m8!1m2!2m1!1sNew+China+Restaurant!3m4!1s0x886284709a4b791b:0x6caeeec17d1a1589!8m2!3d34.568771!4d-87.009855",,Alabama,Chinese restaurant,"Chinese restaurant, Restaurant",2,4.2
17,Chef King,"https://www.google.com/maps/place/Chef+King/@30.690367,-88.17221699999999,14z/data=!4m8!1m2!2m1!1sChef+King!3m4!1s0x889bb2addb53df95:0x5ecf6e4da2ec46a!8m2!3d30.690367!4d-88.17221699999999",,Alabama,Chinese restaurant,"Chinese restaurant, Diner, Fast food restaurant, Restaurant",2,4.2
18,Happy Kitchen,"https://www.google.com/maps/place/Happy+Kitchen/@31.0968937,-87.08162399999999,14z/data=!4m8!1m2!2m1!1sHappy+Kitchen!3m4!1s0x8890459f439fd5e7:0xd5be4ab0c8af0063!8m2!3d31.0968937!4d-87.08162399999999",,Alabama,Chinese restaurant,"Chinese restaurant, Asian fusion restaurant",0,4.4
19,No. 1 China Chinese Restaurant,"https://www.google.com/maps/place/No.+1+China+Chinese+Restaurant/@31.5349999,-87.8902817,14z/data=!4m8!1m2!2m1!1sNo.+1+China+Chinese+Restaurant!3m4!1s0x889aca3241fc5e71:0x87d9382c27ffa90f!8m2!3d31.5349999!4d-87.8902817",,Alabama,Chinese restaurant,Chinese restaurant,0,4.4
20,China Dragon,"https://www.google.com/maps/place/China+Dragon/@30.2693813,-87.5912919,14z/data=!4m8!1m2!2m1!1sChina+Dragon!3m4!1s0x889a06f6d36acc6b:0x4824e1b81f10d2d!8m2!3d30.2693813!4d-87.5912919",http://www.chinadragonorangebeach.com/?utm_source=gmb,Alabama,Chinese restaurant,"Chinese restaurant, Restaurant",2,4.0
21,China King Chinese Restaurant,"https://www.google.com/maps/place/China+King+Chinese+Restaurant/@33.328204299999996,-86.9993977,14z/data=!4m8!1m2!2m1!1sChina+King+Chinese+Restaurant!3m4!1s0x8888dd4e66621cc7:0x21fc547ad660acd!8m2!3d33.328204299999996!4d-86.9993977",https://www.chinakingmccalla.com/,Alabama,Chinese restaurant,Chinese restaurant,1,3.6
22,Golden China Restaurant (Madison AL),"https://www.google.com/maps/place/Golden+China+Restaurant+%28Madison+AL%29/@34.7071913,-86.7438978,14z/data=!4m8!1m2!2m1!1sGolden+China+Restaurant+%28Madison+AL%29!3m4!1s0x8862658ac511925b:0x367dc0edf1c854cd!8m2!3d34.7071913!4d-86.7438978",https://goldenchinamadison.kwickmenu.com/index.php,Alabama,Chinese restaurant,Chinese restaurant,2,4.2
23,No. 1 China,"https://www.google.com/maps/place/No.+1+China/@30.728009699999998,-88.17330439999999,14z/data=!4m8!1m2!2m1!1sNo.+1+China!3m4!1s0x889bad33e02fcc87:0x899c1f90da171318!8m2!3d30.728009699999998!4d-88.17330439999999",http://www.no1chinamobile.com/,Alabama,Chinese restaurant,Chinese restaurant,2,4.3
24,Lucky Buffet,"https://www.google.com/maps/place/Lucky+Buffet/@34.4394674,-86.94290869999999,14z/data=!4m8!1m2!2m1!1sLucky+Buffet!3m4!1s0x88882b044269d511:0x1caa7d004888690b!8m2!3d34.4394674!4d-86.94290869999999",https://asianbuffetaltogo.com/,Alabama,Chinese restaurant,"Chinese restaurant, Buffet restaurant",2,3.9
25,No.1 Restaurant,"https://www.google.com/maps/place/No.1+Restaurant/@32.6653614,-85.3641057,14z/data=!4m8!1m2!2m1!1sNo.1+Restaurant!3m4!1s0x888c936f87ddda49:0x590d6031b16f1560!8m2!3d32.6653614!4d-85.3641057",http://www.no1restaurant.chinesemenu.com/,Alabama,Chinese restaurant,Chinese restaurant,2,4.3
