Chinese restaurant,34744
Restaurant,8168
Buffet restaurant,731
New American restaurant,88
Mexican restaurant,1535
Chinese takeaway,188
Thai restaurant,3394
Dumpling restaurant,134
Asian restaurant,2133
Vietnamese restaurant,1401
Ice cream shop,56
Organic restaurant,8
Pan-Asian restaurant,83
Delivery Chinese restaurant,56
Seafood restaurant,772
Fast food restaurant,942
Pizza restaurant,1606
American restaurant,2527
nan,4853
Southern restaurant (US),67
Grocery store,684
Asian fusion restaurant,1072
Japanese restaurant,2023
Inn,20
Taiwanese restaurant,184
Takeout Restaurant,219
Hot pot restaurant,223
Ramen restaurant,255
Bubble tea store,56
Cantonese restaurant,160
Dim sum restaurant,191
Vegan restaurant,92
Indian restaurant,279
Sushi restaurant,1072
Bar & grill,1262
Korean restaurant,535
Mandarin restaurant,92
Puerto Rican restaurant,15
Cafeteria,5
Polynesian restaurant,4
Italian restaurant,292
Chinese noodle restaurant,169
Noodle shop,79
Barbecue restaurant,519
Sichuan restaurant,171
Bar,528
Family restaurant,673
Diner,417
Post office,75
Supermarket,74
Banquet hall,7
Crab house,6
Sandwich shop,456
Hamburger restaurant,227
Lunch restaurant,11
Malaysian restaurant,41
Cafe,335
Hotel,143
Cambodian restaurant,47
Southeast Asian restaurant,75
Afghan restaurant,7
Peruvian restaurant,26
Hunan restaurant,58
Pizza delivery,278
Furniture store,9
Dollar store,382
Cancer treatment center,1
Mediterranean restaurant,54
Yemenite restaurant,5
Pizza Takeout,109
Spanish restaurant,7
Tiffin center,1
Shanghainese restaurant,54
Bridge,3
Liquor store,8
Steak house,298
Cuban restaurant,16
Traditional American restaurant,34
Bakery,77
Fine dining restaurant,93
Cocktail bar,15
Food store,2
Deli,42
Japanese steakhouse,92
Soul food restaurant,48
Seafood market,27
Wok restaurant,54
Authentic Japanese restaurant,38
Korean barbecue restaurant,68
Dominican restaurant,18
Burmese restaurant,38
Health food restaurant,34
Brazilian restaurant,4
Uzbeki restaurant,7
Jamaican restaurant,21
Grill,41
Book store,1
Food manufacturer,3
Chicken wings restaurant,93
Central American restaurant,4
Latin American restaurant,33
Kyoto style Japanese restaurant,5
Asian grocery store,208
Irish pub,10
Watch store,1
Fusion restaurant,29
Cha chaan teng (Hong Kong-style cafe),7
Children's camp,3
Hong Kong style fast food restaurant,41
Motel,50
Chicken restaurant,207
Irish restaurant,6
Club,2
Tourist attraction,7
Colombian restaurant,5
Tibetan restaurant,7
Laotian restaurant,60
Soup kitchen,2
Salad shop,9
Kosher restaurant,28
Hawaiian restaurant,61
Moroccan restaurant,3
Halal restaurant,38
Vegetarian restaurant,41
Portuguese restaurant,3
Coffee shop,118
Acupuncture clinic,6
Park,15
Bistro,61
Indian grocery store,2
Beer garden,9
Brewery,31
Breakfast restaurant,202
Down home cooking restaurant,20
Botanical garden,2
Function room facility,1
Wine bar,3
Soba noodle shop,3
Country food restaurant,31
Hot dog restaurant,14
Food producer,8
Rice restaurant,25
Caribbean restaurant,48
Taco restaurant,56
Lounge,15
Pub,34
Greek restaurant,23
Basque restaurant,3
Brasserie,2
Bangladeshi restaurant,5
Convenience store,73
Lodging,13
Teppanyaki restaurant,24
Bagel shop,4
School,6
Event venue,10
Child care agency,1
Gift shop,14
Mexican goods store,3
Gluten-free restaurant,5
Tea store,1
Bowling alley,35
Department store,14
Shabu-shabu restaurant,34
Japanese grocery store,2
French restaurant,27
Pho restaurant,86
Filipino restaurant,98
Korean grocery store,6
Tea house,17
Shopping mall,16
Gas station,38
Warehouse club,1
Sushi takeaway,19
Gastropub,15
Campground,14
Brewpub,31
Pakistani restaurant,23
Cajun restaurant,49
Tofu restaurant,2
Fish restaurant,1
Collectibles store,1
Tree service,3
Chinese bakery,7
Clothing store,1
Eclectic restaurant,15
Lodge,20
Business center,16
Poke bar,33
Wedding venue,9
Legal services,1
Food court,31
History museum,3
Offal pot cooking restaurant,1
Bed & breakfast,18
Southwestern restaurant (US),5
Modern French restaurant,1
Northern Italian restaurant,3
Non-profit organization,6
Used car dealer,4
Espresso bar,2
Mortgage lender,1
European restaurant,1
Tapas restaurant,6
Traditional restaurant,17
Kitchen remodeler,1
Frozen food manufacturer,4
State park,8
Warehouse,3
West African restaurant,6
Sports bar,20
Museum,15
Airport,1
Visitor center,2
Gyro restaurant,6
Israeli restaurant,2
Egyptian restaurant,1
Middle Eastern restaurant,19
Mongolian barbecue restaurant,126
Medical clinic,10
Association or organization,14
Juice shop,2
Delivery Restaurant,40
Architect,1
Nepalese restaurant,38
Sightseeing tour agency,1
New England restaurant,5
Lebanese restaurant,22
Snack bar,17
Home improvement store,2
Butcher shop deli,3
Store,23
Cemetery,3
Bonsai plant supplier,1
Live music bar,1
Seafood store,1
Dessert shop,4
Lumber store,1
Medical Center,5
Food products supplier,13
Sri Lankan restaurant,5
Caterer,39
Indonesian restaurant,18
Veterans hospital,2
Island,3
Seafood wholesaler,4
Hot dog stand,7
Floridian restaurant,1
Food and drink,8
Ski resort,1
Eastern European restaurant,5
Resort hotel,33
RV park,8
Farm shop,2
Massage spa,5
Food bank,4
Wine store,2
Chop bar,1
Church,20
Variety store,5
Salvadoran restaurant,23
Fried chicken takeaway,7
Radio broadcaster,2
Kung fu school,1
Electronics store,1
Modern European restaurant,3
Western restaurant,6
General store,16
Marina,3
Bus company,2
Medical school,1
Indian takeaway,3
Japanese curry restaurant,3
Georgian restaurant,2
Chocolate shop,3
State liquor store,1
Parking lot,2
Gourmet grocery store,6
Garage door supplier,1
Contemporary Louisiana restaurant,2
Endocrinologist,1
General contractor,1
Haitian restaurant,2
Haute French restaurant,2
Historical landmark,18
Farm,4
Pottery store,3
Honduran restaurant,6
Golf club,1
University,1
Mobile caterer,4
Gambling house,6
Antique store,20
Winery,9
Beer hall,5
Açaí shop,1
Business management consultant,2
Food seasoning manufacturer,1
South Asian restaurant,9
Market,5
Asian household goods store,1
Turkish restaurant,5
Public beach,1
Farmers' market,4
Leather goods store,1
Train station,1
African restaurant,10
Landscaper,2
Creole restaurant,2
Brunch restaurant,19
Art gallery,2
Veterans organization,7
Warehouse store,1
Place of worship,1
Modern Indian restaurant,12
Dessert restaurant,4
Cheesesteak restaurant,2
Izakaya restaurant,8
Culinary school,1
Candy store,3
Patisserie,1
German restaurant,14
Javanese restaurant,1
Performing arts theater,1
Guest house,2
Spiritist center,1
Tex-Mex restaurant,20
Nature preserve,1
Boat rental service,3
Polish restaurant,6
Chesapeake restaurant,1
Animal feed store,5
Appliance rental service,1
Box lunch restaurant,1
Burrito restaurant,6
Bus stop,4
Casino,27
Catering food and drink supplier,4
Chinese supermarket,10
College,2
Community center,6
Continental restaurant,1
Conveyor belt sushi restaurant,9
Corporate office,9
Ethiopian restaurant,5
Firewood supplier,1
Fruit and vegetable store,3
Garden,3
Health food store,2
Heritage museum,1
Hoagie restaurant,1
Home health care service,1
Indoor lodging,7
Kebab shop,3
Kitchen supply store,1
Lake,2
Lottery shop,1
Martial arts school,3
Massage therapist,14
Mennonite church,1
Mid-Atlantic restaurant (US),2
Miniature golf course,1
Newspaper publisher,4
