state, percentage
Virginia,907
New York,2979
Georgia,899
Delaware,138
New Hampshire,177
South Carolina,489
Maine,148
North Carolina,931
New Jersey,1546
Massachusetts,897
Rhode Island,150
Maryland,723
Florida,1596
Connecticut,526
Pennsylvania,1830
District Of Columbia,124
West Virginia,140
Vermont,82
Utah,200
Montana,75
Colorado,480
Nevada,287
Arizona,464
Wyoming,53
New Mexico,133
Idaho,117
Alabama,370
Texas,1990
Louisiana,353
Oklahoma,306
Mississippi,202
Arkansas,199
Tennessee,453
Kentucky,294
California,4265
Washington,707
Hawaii,169
Oregon,407
Alaska,68
Michigan,783
Iowa,294
Indiana,474
Ohio,971
Illinois,1152
North Dakota,41
Minnesota,415
Wisconsin,429
Kansas,263
Missouri,619
Nebraska,178
South Dakota,55
