state, percentage
Connecticut,52
Delaware,47
Florida,157
Georgia,87
Maine,46
Maryland,70
Massachusetts,86
New Hampshire,48
West Virginia,48
Pennsylvania,173
Vermont,47
District Of Columbia,47
New Jersey,150
New York,282
North Carolina,91
Rhode Island,48
South Carolina,47
Virginia,88
Montana,49
Nevada,47
Arizona,47
Colorado,47
Wyoming,50
New Mexico,49
Utah,44
Idaho,49
Alabama,44
Oklahoma,42
Texas,186
Tennessee,43
Kentucky,45
Arkansas,46
Mississippi,48
Louisiana,48
California,389
Hawaii,47
Washington,66
Oregon,50
Alaska,48
Ohio,87
Indiana,47
Illinois,109
Michigan,78
Iowa,44
Wisconsin,40
Minnesota,39
South Dakota,48
North Dakota,41
Missouri,61
Kansas,45
Nebraska,46
