sample_id,national_id,name,location_link,site,us_state,type,subtypes,area,rating,has_name,CH_name,source
5,3208,Number One Chinese Restaurant,"https://www.google.com/maps/place/Number+One+Chinese+Restaurant/@34.036052399999996,-83.9896967,14z/data=!4m8!1m2!2m1!1sNumber+One+Chinese+Restaurant!3m4!1s0x88f595bbd9ad6b0b:0xd78071059662dff5!8m2!3d34.036052399999996!4d-83.9896967",https://www.beyondmenu.com/28227/lawrenceville/number-one-chinese-restaurant-lawrenceville-30043.aspx?utm_source=qrcode,Georgia,Chinese restaurant,"Chinese restaurant, Asian restaurant, Delivery Restaurant",2,3.5,1,皇宫,"https://www.google.com/maps/place/Number+One+Chinese+Restaurant/@34.0360818,-83.9896344,3a,75y/data=!3m8!1e2!3m6!1sAF1QipOKEzV9pzYTCH3S_MP_1l-ovKYJBZ_Dh2qjKm9n!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOKEzV9pzYTCH3S_MP_1l-ovKYJBZ_Dh2qjKm9n%3Dw203-h270-k-no!7i3000!8i4000!4m15!1m7!3m6!1s0x88f595bbd9ad6b0b:0xd78071059662dff5!2sNumber+One+Chinese+Restaurant!8m2!3d34.0360524!4d-83.9896967!16s%2Fg%2F1thvtjy_!3m6!1s0x88f595bbd9ad6b0b:0xd78071059662dff5!8m2!3d34.0360524!4d-83.9896967!10e5!16s%2Fg%2F1thvtjy_?entry=ttu"
7,14762,Cheung Wah Chinese Restaurant,"https://www.google.com/maps/place/Cheung+Wah+Chinese+Restaurant/@37.5031944,-77.4759558,14z/data=!4m8!1m2!2m1!1sCheung+Wah+Chinese+Restaurant!3m4!1s0x89b11223d57ba31d:0x74830de9fe995d90!8m2!3d37.5031944!4d-77.4759558",http://runinos.com/places/cheung-wah-richmond-va/,Virginia,Chinese restaurant,Chinese restaurant,2,4.2,1,长华,"https://www.google.com/maps/place/Cheung+Wah+Chinese+Restaurant/@37.5031344,-77.4760277,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipOz6wl7-UctGQkuBkXWiCI4VOX3jM2R4PvOXpJE!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOz6wl7-UctGQkuBkXWiCI4VOX3jM2R4PvOXpJE%3Dw203-h152-k-no!7i3264!8i2448!4m15!1m7!3m6!1s0x89b11223d57ba31d:0x74830de9fe995d90!2sCheung+Wah+Chinese+Restaurant!8m2!3d37.5031944!4d-77.4759558!16s%2Fg%2F1q66wnpjj!3m6!1s0x89b11223d57ba31d:0x74830de9fe995d90!8m2!3d37.5031944!4d-77.4759558!10e5!16s%2Fg%2F1q66wnpjj?entry=ttu"
8,27260,Taiwan Popcorn Chicken,"https://www.google.com/maps/place/Taiwan+Popcorn+Chicken/@33.6956665,-117.7991996,14z/data=!4m8!1m2!2m1!1sTaiwan+Popcorn+Chicken!3m4!1s0x80dcdc45a280ec3f:0x282fc5b49ac8f38c!8m2!3d33.6956665!4d-117.7991996",,California,Chinese restaurant,"Chinese restaurant, Chicken restaurant, Taiwanese restaurant",2,3.7,1,台湾盐酥鸡,"https://www.google.com/maps/place/Taiwan+Popcorn+Chicken/@33.6956169,-117.799469,3a,91.8y,90t/data=!3m8!1e2!3m6!1sAF1QipPWreboRHuYm__ATILsr8wbBhps1F7byGpyTxxw!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPWreboRHuYm__ATILsr8wbBhps1F7byGpyTxxw%3Dw203-h152-k-no!7i800!8i600!4m15!1m7!3m6!1s0x80dcdc45a280ec3f:0x282fc5b49ac8f38c!2sTaiwan+Popcorn+Chicken!8m2!3d33.6956665!4d-117.7991996!16s%2Fg%2F11b6gn69qx!3m6!1s0x80dcdc45a280ec3f:0x282fc5b49ac8f38c!8m2!3d33.6956665!4d-117.7991996!10e5!16s%2Fg%2F11b6gn69qx?entry=ttu"
11,24644,Hong Kong Fast Food,"https://www.google.com/maps/place/Hong+Kong+Fast+Food/@37.8028674,-122.2815847,14z/data=!4m8!1m2!2m1!1sHong+Kong+Fast+Food!3m4!1s0x808f80bb6882b9fb:0xd82d94dbccb9fa5c!8m2!3d37.8028674!4d-122.2815847",https://www.hongkongfastfoodca.com/,California,Chinese restaurant,Chinese restaurant,2,3.8,1,香港,"https://www.google.com/maps/place/Hong+Kong+Fast+Food/@37.8028109,-122.2816311,3a,74.9y/data=!3m8!1e2!3m6!1sAF1QipP48jyuBbLxQ6AY1aTtF2ScvL82kX_VA_UdCkdW!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipP48jyuBbLxQ6AY1aTtF2ScvL82kX_VA_UdCkdW%3Dw114-h86-k-no!7i4032!8i3024!4m10!1m2!2m1!1sHong+Kong+Fast+Food!3m6!1s0x808f80bb6882b9fb:0xd82d94dbccb9fa5c!8m2!3d37.8028674!4d-122.2815847!10e5!16s%2Fg%2F1tf6gwg0?entry=ttu"
15,3741,Golden Bowl,"https://www.google.com/maps/place/Golden+Bowl/@38.9005647,-76.8365414,14z/data=!4m8!1m2!2m1!1sGolden+Bowl!3m4!1s0x89b7bff9f57c73bf:0x2dc6ae0a3b6eca39!8m2!3d38.9005647!4d-76.8365414",,Maryland,Chinese restaurant,"Chinese restaurant, Asian restaurant, Restaurant",2,3.8,1,怡景,"https://www.google.com/maps/place/Golden+Bowl/@38.9005647,-76.8365414,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipPOk-h4B2cc9V3Bv2SS2f9o3_eIjn-GmJc6c9l-!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPOk-h4B2cc9V3Bv2SS2f9o3_eIjn-GmJc6c9l-%3Dw114-h86-k-no!7i4032!8i3024!4m15!1m7!3m6!1s0x89b7bff9f57c73bf:0x2dc6ae0a3b6eca39!2sGolden+Bowl!8m2!3d38.9005647!4d-76.8365414!16s%2Fg%2F1td9rdtk!3m6!1s0x89b7bff9f57c73bf:0x2dc6ae0a3b6eca39!8m2!3d38.9005647!4d-76.8365414!10e5!16s%2Fg%2F1td9rdtk?entry=ttu"
19,30817,Great Wall Restaurant,"https://www.google.com/maps/place/Great+Wall+Restaurant/@44.0872793,-103.20675349999999,14z/data=!4m8!1m2!2m1!1sGreat+Wall+Restaurant!3m4!1s0x877d5d3226f1c5fd:0x57d07f8412c1d816!8m2!3d44.0872793!4d-103.20675349999999",http://www.greatwalltogo.com/,South Dakota,Chinese restaurant,"Chinese restaurant, Asian restaurant, Thai restaurant",2,3.9,1,长城,"https://www.google.com/maps/place/Great+Wall+Restaurant/@44.0873038,-103.2067531,3a,75y/data=!3m8!1e2!3m6!1sAF1QipPrI_5XVYadjFLHw4GdRKIrozJKz7PvE32J5Mry!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPrI_5XVYadjFLHw4GdRKIrozJKz7PvE32J5Mry%3Dw114-h86-k-no!7i4032!8i3024!4m15!1m7!3m6!1s0x877d5d3226f1c5fd:0x57d07f8412c1d816!2sGreat+Wall+Restaurant!8m2!3d44.0872793!4d-103.2067535!16s%2Fg%2F1tht1ywr!3m6!1s0x877d5d3226f1c5fd:0x57d07f8412c1d816!8m2!3d44.0872793!4d-103.2067535!10e5!16s%2Fg%2F1tht1ywr?entry=ttu"
22,7336,Great Taste Restaurant,"https://www.google.com/maps/place/Great+Taste+Restaurant/@39.931946499999995,-75.2170182,14z/data=!4m8!1m2!2m1!1sGreat+Taste+Restaurant!3m4!1s0x89c6c69b947877d9:0x948a3c613f8fd98d!8m2!3d39.931946499999995!4d-75.2170182",,Pennsylvania,Chinese restaurant,Chinese restaurant,2,2.5,1,好味,"https://www.google.com/maps/place/Great+Taste/@39.9362266,-75.2191842,3a,134.2y,90t/data=!3m8!1e2!3m6!1sAF1QipMJkc3lkZiLy2CS_MKkV7sTsX2JLTQupiuYtoP8!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMJkc3lkZiLy2CS_MKkV7sTsX2JLTQupiuYtoP8%3Dw103-h86-k-no!7i314!8i262!4m11!1m2!2m1!1sGreat+Taste+Restaurant!3m7!1s0x89c6c699fd78cb37:0x7129312c5377367d!8m2!3d39.9363478!4d-75.2193299!10e5!15sChZHcmVhdCBUYXN0ZSBSZXN0YXVyYW50WhgiFmdyZWF0IHRhc3RlIHJlc3RhdXJhbnSSARJjaGluZXNlX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11c6pstzzb?entry=ttu"
23,12499,Shun Xing,"https://www.google.com/maps/place/Shun+Xing/@36.3284265,-76.2269831,14z/data=!4m8!1m2!2m1!1sShun+Xing!3m4!1s0x89a54f7f648d98dd:0x62f95638b8842e45!8m2!3d36.3284265!4d-76.2269831",,North Carolina,Chinese restaurant,"Chinese restaurant, Restaurant",1,4.4,1,顺兴,"https://www.google.com/maps/place/Shun+Xing/@36.3284265,-76.2269831,3a,75y/data=!3m8!1e2!3m6!1sAF1QipN7rr24wMV-gSImER-hZA7cqpheP0rO6M15QGVW!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipN7rr24wMV-gSImER-hZA7cqpheP0rO6M15QGVW%3Dw114-h86-k-no!7i4032!8i3024!4m11!1m2!2m1!1sShun+Xing!3m7!1s0x89a54f7f648d98dd:0x62f95638b8842e45!8m2!3d36.3284265!4d-76.2269831!10e5!15sCglTaHVuIFhpbmdaCyIJc2h1biB4aW5nkgESY2hpbmVzZV9yZXN0YXVyYW504AEA!16s%2Fg%2F1tgxjxy7?entry=ttu"
24,21142,888 Bistro,"https://www.google.com/maps/place/888+Bistro/@29.544615399999998,-95.2248956,14z/data=!4m8!1m2!2m1!1s888+Bistro!3m4!1s0x86409b23de4ebb6d:0x956b260de2c991e0!8m2!3d29.544615399999998!4d-95.2248956",https://www.888bistropearland.com/,Texas,Chinese restaurant,Chinese restaurant,2,4.3,1,大四川,"https://www.google.com/maps/place/888+Bistro/@29.5446137,-95.2249139,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipPlQeiyBUOHsz-znAIJmslijaJOWZnaipYedbYx!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPlQeiyBUOHsz-znAIJmslijaJOWZnaipYedbYx%3Dw203-h114-k-no!7i4032!8i2268!4m10!1m2!2m1!1s888+Bistro!3m6!1s0x86409b23de4ebb6d:0x956b260de2c991e0!8m2!3d29.5446154!4d-95.2248956!10e5!16s%2Fg%2F11h7cwzbl7?entry=ttu"
25,22001,JS Foothill Restaurant,"https://www.google.com/maps/place/JS+Foothill+Restaurant/@34.151168999999996,-118.0755727,14z/data=!4m8!1m2!2m1!1sJS+Foothill+Restaurant!3m4!1s0x80c2dd1738b3df51:0xa8f429abcdf57f19!8m2!3d34.151168999999996!4d-118.0755727",http://www.jsfoothill.com/,California,Chinese restaurant,"Chinese restaurant, Chinese takeaway, Restaurant",2,4.3,1,翡翠山壮,"https://www.google.com/maps/place/JS+Foothill+Restaurant/@34.151169,-118.0755727,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipOXYTlNjURjR4H6-IIzLz96UvHQvF4-vGTd90FF!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOXYTlNjURjR4H6-IIzLz96UvHQvF4-vGTd90FF%3Dw114-h86-k-no!7i4032!8i3024!4m15!1m7!3m6!1s0x80c2dd1738b3df51:0xa8f429abcdf57f19!2sJS+Foothill+Restaurant!8m2!3d34.151169!4d-118.0755727!16s%2Fg%2F11kjmf5mn4!3m6!1s0x80c2dd1738b3df51:0xa8f429abcdf57f19!8m2!3d34.151169!4d-118.0755727!10e5!16s%2Fg%2F11kjmf5mn4?entry=ttu"
