ZIP_CODE,STATE,RUCA1,RUCA2
1,AK,10,10
2,AK,10,10
3,AK,10,10
4,AK,10,10
5,AK,10,10
6,AK,10,10
7,AK,10,10
8,AK,10,10
9,AK,10,10
10,AK,10,10
11,AK,8,8
12,CA,5,5
13,HI,10,10
14,AZ,7,7
15,AZ,1,1
16,CA,8,8.1
17,CA,10,10.1
18,CA,10,10
19,CA,10,10
20,CA,10,10
22,CA,4,4
26,CA,10,10.1
27,CO,1,1
28,CA,2,2
29,CA,2,2
31,CA,10,10
32,CA,10,10
33,CA,10,10
34,CA,10,10
35,CA,8,8
37,CA,5,5
38,CA,5,5
39,CA,10,10.2
40,CA,10,10
41,FL,2,2
42,FL,1,1
43,FL,2,2
44,CA,10,10
45,FL,2,2
47,CA,10,10
48,CA,4,4
49,CA,10,10.2
50,CA,10,10
51,CA,2,2
52,CA,2,2
53,FL,1,1
54,CA,10,10
55,CA,10,10
56,ID,2,2
57,CA,10,10
58,CA,10,10
59,MN,10,10
60,MN,10,10
61,CA,10,10
63,MT,2,2
64,NM,10,10
65,CA,10,10
66,NM,10,10
67,OK,1,1
68,OR,5,5
69,OR,2,2
70,OR,10,10
71,UT,2,2
72,WA,2,2
73,WA,2,2.1
74,WA,10,10
76,WA,10,10
77,OR,3,3
84,NC,2,2
87,FL,2,2
97,FL,10,10
98,FL,10,10
100,UT,1,1
116,LA,2,2
119,LA,4,4
121,LA,2,2
125,ME,10,10
126,ME,10,10
127,ME,2,2
128,ME,10,10
130,ME,10,10
132,ME,10,10
133,ME,10,10
134,ME,10,10
135,ME,9,9
137,ME,8,8
138,ME,8,8
139,ME,10,10
141,ME,10,10
148,ME,9,9
151,ME,10,10
152,MD,6,6
158,MA,10,10
160,MN,10,10
161,MN,9,9
164,MN,10,10
165,MN,10,10
166,MN,5,5
168,NH,4,4
172,NH,10,10
173,NH,6,6
174,NH,6,6
176,NH,6,6
177,NH,4,4
179,NH,6,6
180,NH,6,6
181,NH,6,6
182,NH,6,6
183,NH,4,4
184,NH,4,4
185,NH,10,10
188,TX,5,5
195,WA,10,10
197,AZ,2,2
198,AK,2,2
199,AZ,1,1
501,NY,1,1
544,NY,1,1
601,PR,4,4
602,PR,1,1
603,PR,1,1
604,PR,1,1
605,PR,1,1
606,PR,7,7
610,PR,1,1
611,PR,1,1
612,PR,1,1
613,PR,1,1
614,PR,1,1
616,PR,1,1
617,PR,1,1
622,PR,1,1
623,PR,1,1
624,PR,1,1
