sample_id,national_id,English_Name,Chinese_Name,Personal_Name,Specialty,Positivity,Culture,Location,Ambiance,Pun_Creative,Romanized
2094,9870,Little Alley,弄堂,0,0,0,0,0,1,0,0
1724,13697,New China Buffet,中,0,1,0,0,1,0,0,0
2841,28810,MImian,迈面,0,0,0,0,0,0,0,1
3119,9756,Bamboo Garden,竹园,0,0,0,1,0,1,0,0
1223,29370,China Cafe,中国楼,0,0,0,0,1,1,0,0
1241,17588,House of Chen,陈家园,1,0,0,0,0,1,0,0
1068,16174,China Fun,黄石酒家,0,0,0,0,1,0,0,0
337,5610,Sang Kee Peking Duck,生记烧腊,1,1,0,0,1,0,0,0
3968,2544,Peking Restaurant,北京,0,0,0,0,1,0,0,0
2219,28797,Sichuan House,四川,0,0,0,0,1,1,0,0
773,11503,Tasty & Co,好味屋,0,0,1,0,0,0,0,0
1660,16560,Peking Gardens West,北京,0,0,0,0,1,1,0,0
1018,3960,China Dragon,华龙,0,0,0,1,1,0,0,0
3983,26917,Hong Kong BBQ Restaurant,祥发烧腊小馆,0,1,0,0,1,0,0,0
2521,18068,New China Restaurant,"
新中华",0,0,0,0,1,0,0,0
2980,15640,China Garden,华苑,0,0,0,0,1,1,0,0
551,16731,JS Chinese Restaurant,喜来居,0,0,0,0,1,0,0,0
1055,3860,Taipei Tokyo,南北和,0,0,0,0,1,0,0,0
2240,16735,Ah Chun Shandong Dumplings,"阿纯山东饺子
",1,1,0,0,1,0,0,0
3759,9276,Legend 72,蜀留香,0,0,1,0,0,0,0,0
3277,26711,LuDingJi Rice Noodle City of Industry,禄鼎记,0,1,0,0,0,0,0,1
3135,24817,Bei Jing | Hot Pot & Asian Cuisine,迷你涮涮锅,0,1,0,0,1,0,0,0
422,11339,Spicy Asian,川味坊,0,0,0,0,1,0,0,0
2811,15306,Twin Dragon,双龙,0,0,0,1,0,0,0,0
3990,22603,YinTang Spicy Hot Pot,隐烫,0,1,0,0,0,0,0,1
1652,5334,Shanghai Osaka Restaurant,辣魅,0,0,0,0,1,0,0,0
2767,2547,Bamboo Star,华星,0,0,1,1,0,0,0,0
174,8393,King Taste Restaurant,味中味,0,0,1,0,0,0,0,0
487,24871,Hong Kong Express,香港,0,0,0,0,1,0,0,0
3476,16585,Hunan Garden,湖南苑,0,0,0,0,1,1,0,0
1225,8561,China Pagoda Halal Restaurant,中国宝塔,0,0,0,1,1,0,0,0
2042,17558,Shan Dong,山东饭店,0,0,0,0,1,0,0,0
2575,578,Hong Kong Chinese Food,香港,0,0,0,0,1,0,0,0
1272,14995,Kung Pao Wok,宫宝,0,1,0,0,0,0,0,0
3940,26389,Peking Restaurant,永盛园,0,0,0,0,1,0,0,0
1954,3171,New China,新华,0,0,0,0,1,0,0,0
910,22486,Lam's Kitchen,林记粥粉面,1,0,0,0,0,1,0,0
2195,4969,China Wok Express,永旺楼,0,1,0,0,1,0,0,0
1358,23276,China Villa,华村,0,0,0,0,1,1,0,0
3600,7202,Chin's Restaurant,好好,1,0,0,0,0,0,0,0
3197,31641,Beijing Chinese Restaurant,北京,0,0,0,0,1,0,0,0
768,524,Golden Wok,金源,0,1,1,0,0,0,0,0
1613,29173,China Lee,华利,1,0,0,0,1,0,0,0
2860,28795,En Lai Chinese Kitchen,恩来,1,0,0,0,1,1,0,0
2175,9290,King House,皇宫,0,0,1,0,0,1,0,0
122,23045,Darda Seafood Restaurant,清真一条龙,1,1,0,0,0,0,0,0
1430,765,Mei Chang Take Out Food,美津,1,0,0,0,0,0,0,0
3398,25850,Din Ding Dumpling House Union City,鼎顶,0,1,0,0,1,1,0,1
2619,16615,China Restaurant,中,0,0,0,0,1,0,0,0
1775,26730,Emperor Palace Restaurant,"海富海鲜酒家
",0,0,1,0,0,1,0,0
3783,8447,Fu Lin,福临,0,0,0,0,0,0,0,1
1797,9367,New Gourmet House,佳味楼,0,0,1,0,0,1,0,0
3646,19004,China Chef,华府,0,0,1,0,1,0,0,0
3192,30797,"Lao Szechuan Hot Pot Buffet, all you can eat sushi",老四川,0,1,0,0,1,0,0,0
3174,5356,Chen's Garden,陈家园,1,0,0,0,0,1,0,0
855,16268,China Garden Restaurant,华园,0,0,0,0,1,1,0,0
2075,25369,Goldan Yan Restaurant,金苑酒家,1,0,1,0,0,0,0,0
2135,17802,Great Taste,美味,0,0,1,0,0,0,0,0
1791,10705,De Tasty Hot Pot Restaurant,故乡味火锅,0,1,1,0,0,0,0,0
672,14599,You Like Skewers,友来客,0,1,1,0,0,0,0,0
784,3649,Mayflower Chinese Restaurant & Carryout,五月花,0,0,0,1,1,0,0,0
2789,23088,Homestyle Dim Sum Restaurant,来来点心,0,1,0,0,0,1,0,0
3998,9128,Dragon Palace,龙宫,0,0,0,1,0,1,0,0
2705,4648,Dumpling Palace,"南北和
",0,1,0,0,0,1,0,0
4023,5649,Siu Kee Duck House,赵记烧腊,1,1,0,0,0,1,0,0
1208,29934,King's Wok,怡嘉,0,1,1,0,0,0,0,0
734,16348,Yum Yum Kitchen Chinese Cuisine,食为天,0,0,1,0,1,1,0,0
1628,3327,China Taste,华味,0,0,0,0,1,0,0,0
1558,1869,Beijing Cafe,北京城,0,0,0,0,1,1,0,0
934,10906,Sam Lee Kitchen,顺利,1,0,0,0,0,1,0,0
3341,9698,Happy Kitchen,好运,0,0,1,0,0,1,0,0
2661,19533,China Lin,林园,1,0,0,0,1,0,0,0
117,10916,No.1 Flower Drum House,花鼓楼,0,0,1,1,0,1,0,0
2713,6543,Chan's,"
榕城",1,0,0,0,0,0,0,0
3835,26738,Dumpling Specialist,岚翔小馆,0,1,1,0,0,0,0,0
2039,26344,Harbin Dumplings,哈尔滨饺子,0,1,0,0,1,0,0,0
3543,32073,China House,江旺,0,0,0,0,1,1,0,0
1661,3403,Ming Lee Chinese Restaurant,"明利楼
",1,0,0,0,1,0,0,0
3971,13295,Happy Garden Chinese Restaurant,锦煌,0,0,1,0,1,1,0,0
1115,5547,Annie Chen's Sushi Bar & Grill,扬州陈餐馆,1,1,0,0,0,0,0,0
4021,10972,Kam Sheng,金城,0,0,0,0,0,0,0,1
2755,30793,Kowloon | Chinese Restaurant,"
九龙",0,0,0,0,1,0,0,0
2874,17942,China One #3,容家餐馆,0,0,0,0,1,0,0,0
2532,14384,No 1 Restaurant,天旺,0,0,1,0,0,0,0,0
2414,24660,New Big Daddy's,味之选,0,0,0,0,0,1,0,0
3839,3254,Ping's Place,大华小吃,1,0,0,0,0,1,0,0
2256,4796,Chow n Joy,厨乐,0,0,0,0,0,0,1,0
2460,25848,Gourmet House,万豪轩酒家,0,0,1,0,0,1,0,0
1780,11556,Hip Wo,协和,0,0,0,0,0,0,0,1
423,27793,Peking Garden,京园,0,0,0,0,1,1,0,0
2918,8356,Kawah Chinese Restaurant,"
嘉华",0,0,0,0,1,0,0,1
2708,23593,Long's Kitchen,"
湘味馆",1,0,0,0,0,1,0,0
1589,32648,Taste Place,品味,0,0,0,0,0,1,0,0
3524,13364,Yan's Cuisine,焱,1,0,0,0,0,0,0,0
1183,31601,Jess Cafe,广美,1,0,0,0,0,1,0,0
1814,33115,Grand Fortune,聚福轩,0,0,1,0,0,0,0,0
657,30598,New Asian Ju Yuan,聚园,0,0,0,0,1,0,0,1
2541,13771,China Wok,中城,0,1,0,0,1,0,0,0
399,11884,South of the Clouds,云之南,0,0,0,0,1,0,0,0
3098,13745,China Kitchen,华厨,0,0,0,0,1,1,0,0
3080,29775,China House,京城,0,0,0,0,1,1,0,0
1642,26428,Tofu King,"臭豆腐大王
",0,1,1,0,0,0,0,0
2997,16270,Golden Ocean Chinese Restaurant,金海湾,0,0,1,0,1,0,0,0
1151,228,Great Wall Chinese Restaurant,长城,0,0,0,1,1,0,0,0
1459,30826,Twin Dragon,双龙,0,0,0,1,0,0,0,0
2568,17093,China Wok,中国锅,0,1,0,0,1,0,0,0
797,21168,Hunan Express,湖南,0,0,0,0,1,0,0,0
2936,632,CHINA DELIGHT CHINESE FOOD,中华,0,0,1,0,1,0,0,0
2794,19531,Family Garden Chinese Restaurant,"
家园",0,0,0,0,1,1,0,0
2630,15528,Sunflower Asian Cafe,扬州馆,0,0,0,0,1,0,0,0
1498,30099,Lin's Garden,林园,1,0,0,0,0,1,0,0
2091,21930,Yummy House,美味居,0,0,1,0,0,1,0,0
3855,10072,Jing Fong,金丰酒家,0,0,0,0,0,0,0,1
3895,6874,Taste King,华冠,0,0,1,0,0,0,0,0
2469,17450,Hunan,湖南,0,0,0,0,1,0,0,0
1690,618,China Wok,昌兴,0,1,0,0,1,0,0,0
2516,5437,Great Wall Szechuan House,长城,0,0,0,1,1,1,0,0
301,21801,J'S RAILROAD CAFE,万祥,1,0,0,0,0,1,0,0
3440,582,Dragon Cuisine,龙之味,0,0,0,1,0,0,0,0
2002,24242,Peach Garden,桃园村,0,0,0,0,0,1,0,0
142,27496,China Wok,松竹楼餐馆,0,1,0,0,1,0,0,0
2964,0,Happy Wok,快乐餐馆,0,1,1,0,0,0,0,0
3896,21148,China Garden of Tunica,中国酒家,0,0,0,0,1,1,0,0
1785,616,King Buffet,帝苑,0,1,1,0,0,0,0,0
181,22063,China Buffet,食,0,1,0,0,1,0,0,0
2643,17167,Asia Kitchen,福临门,0,0,0,0,1,1,0,0
362,32394,Five Star China Garden,华园,0,0,1,0,1,1,0,0
1909,22005,Northern Cafe,颐丰园,0,0,0,0,1,1,0,0
3173,6700,Be Happy Chinese Restaurant,大家乐,0,0,1,0,1,0,0,0
1567,17899,Cheng's Garden,陈家园,1,0,0,0,0,1,0,0
2225,22244,Frying Fish,沸腾渔乡,0,1,0,0,0,0,0,0
3253,2497,Sunflower,日升,0,0,0,0,0,0,0,0
3522,16581,Chinese Kitchen,"华厨快餐
",0,0,0,0,1,1,0,0
146,808,Yummy House Gainesville,美食轩,0,0,1,0,1,1,0,0
1101,2420,Taste of China,乐园,0,0,0,0,1,0,0,0
2585,18973,Taste of China,中味餐厅,0,0,0,0,1,0,0,0
3477,23461,Red Panda Kit,上海人家,0,0,0,1,0,0,0,0
1784,3434,Yeung's,杨城楼,1,0,0,0,0,0,0,0
3455,14942,Asian BBQ & Noodle,松记烧腊车仔面,0,1,0,0,1,0,0,0
1591,24959,Noodle or Rice,面饭世家,0,1,0,0,0,0,0,0
3137,24128,New Flavors,新口味,0,0,0,0,0,0,0,0
984,28983,Tsou's Place,邹,1,0,0,0,0,1,0,0
706,33022,Kung Po Buffet,宫宝,0,1,0,0,0,0,0,1
2945,21816,China Gourmet,中华饭店,0,0,1,0,1,0,0,0
534,7773,Happy Palace,乐宫,0,0,1,0,0,1,0,0
2273,16971,Master Wok,师傅锅,0,1,1,0,0,0,0,0
745,6093,Bo Wah Restaurant,宝华,0,0,0,0,0,0,0,1
1419,14202,Fu Jian Chinese Restaurant,富健,0,0,0,0,1,0,0,1
1021,31060,Silver Lake Chinese Restaurant,银湖,0,0,0,0,1,0,0,0
3617,21346,Lin's Kitchen,林,1,0,0,0,0,1,0,0
343,23468,Rice Garden Anchorage,丽苑,0,1,0,0,0,1,0,0
662,25464,Hot Wok Cafe,禾轩,0,1,0,0,0,1,0,0
2093,13429,Chong Qing House,重庆山庄,0,0,0,0,1,1,0,0
5,3208,Number One Chinese Restaurant,皇宫,0,0,1,0,1,0,0,0
847,5402,Little Bamboo Chinese Restaurant,竹轩,0,0,0,1,1,0,0,0
2973,28696,Great Wall,长城,0,0,0,1,0,0,0,0
1988,22660,Dumpling Kitchen,一品包饺王,0,1,0,0,0,1,0,0
3923,28135,Asian Star,亚洲星,0,0,1,0,1,0,0,0
2319,30667,New Fresh Wok,清香楼,0,1,1,0,0,0,0,0
1620,5675,Yang China House,杨家园,1,0,0,0,1,1,0,0
335,22089,Reng Hua,荣华,0,0,0,0,0,0,0,1
3560,23876,Golden Grill On the Bay,金龙湾,0,1,1,0,1,0,0,0
140,340,Ming Garden Chinese Restaurant,明园,1,0,0,0,1,1,0,0
1095,31759,CHI Family Restaurant,真善美,1,0,0,0,0,1,0,0
1871,29557,Peking Kitchen,日升,0,0,0,0,1,1,0,0
3590,9260,Changle Xin Fan Zhuang,松柏园,0,0,0,0,0,0,0,1
559,2653,Mr. Wonton,长江,0,1,0,0,0,0,1,0
3247,29098,Jade Tiki Chinese Restaurant,翠宫,0,0,1,0,1,0,0,0
3337,14590,Wei's Garden,吉园,1,0,0,0,0,1,0,0
81,16596,Won Won Wok,旺旺,0,1,0,0,0,0,1,0
3720,13692,Chinese Express,金门,0,0,0,0,1,0,0,0
3169,15838,Golden Bridge Chinese Restaurant,金桥,0,0,1,0,1,0,0,0
162,27932,HONG KONG RESTAURANT,香港酒家,0,0,0,0,1,0,0,0
562,17197,New Asia Restaurant,亚洲,0,0,0,0,1,0,0,0
2965,21329,House of Nanking,南京小馆,0,0,0,0,1,1,0,0
3997,4989,Tao's Asian Cuisine,陶,1,0,0,0,1,0,0,0
111,26874,Tasty Delight,厨之味,0,0,1,0,0,0,0,0
1732,9663,Great China Kitchen,"
华美",0,0,1,0,1,1,0,0
1537,22499,On Dong Chinese Restaurant,安东饭店,0,0,0,0,1,0,0,1
1726,22491,Lee Ho Fook Restaurant,"
利口福饭店",0,0,0,0,0,0,0,1
2584,28417,Hong Kong Restaurant,香港,0,0,0,0,1,0,0,0
1014,24359,Golden Palace Seafood Restaurant,大鸿运酒楼,0,1,1,0,0,1,0,0
1320,15753,Mandarin Pine Restaurant,双华,0,0,0,0,1,0,0,0
2795,22623,Cozy Cafe,"大锅大卤味
",0,0,1,0,0,1,0,0
3488,32968,China Taste,美味,0,0,0,0,1,0,0,0
113,17220,China Harbor,中港城,0,0,0,0,1,1,0,0
552,3229,Great Wall,长城,0,0,0,1,0,0,0,0
3259,11094,Hunan House,湘水山庄,0,0,0,0,1,1,0,0
820,12735,New China,新中国,0,0,0,0,1,0,0,0
577,7704,Hunan Wok,湖南,0,1,0,0,1,0,0,0
1571,16749,Peking Garden Asian Cuisine,"
京园",0,0,0,0,1,1,0,0
3703,9193,Great Taste of Maple Shade Llc,强兴,0,0,1,0,0,0,0,0
1282,27324,Hong Kong Chinese Restaurant,香港,0,0,0,0,1,0,0,0
1168,6244,Dim Sum Court,苑,0,1,0,0,0,1,0,0
379,33158,Jade Palace Restaurant,玉宫,0,0,1,0,0,1,0,0
71,14864,City Lights of China,乐意饭店,0,0,0,0,1,0,0,0
3507,13096,New Sichuan,小四川,0,0,0,0,1,0,0,0
2201,14406,Peking Pavilion,玉亭,0,0,0,0,1,1,0,0
3659,4320,Lili's Restaurant,西安,1,0,0,0,0,0,0,0
1390,21604,Big Lantern,大灯笼,0,0,0,1,0,0,0,0
3047,29933,CHINA HOUSE,中华园,0,0,0,0,1,1,0,0
2443,1928,Shang Hai,上海,0,0,0,0,1,0,0,0
921,6743,Moy Fong Restaurant,梅芳,0,0,0,0,0,0,0,1
869,24451,Lin's Asian Bistro,林家园,1,0,0,0,1,1,0,0
2254,29617,House Of Chen,陈园,1,0,0,0,0,1,0,0
3862,5751,China Taste Restaurant,三多,0,0,0,0,1,0,0,0
1796,5486,Mayflower Chinese Carryout,五月花,0,0,0,1,1,0,0,0
1550,17294,Chen Z Noodle House,陈氏餐厅,1,1,0,0,0,1,0,0
236,5480,Hunan Dynasty,皇朝饭店,0,0,1,0,1,0,0,0
2488,3509,Bao Bao Dumpling House,包宝,0,1,0,0,0,0,0,1
202,2636,China Star,华星,0,0,1,0,1,0,0,0
308,30528,Keng's Chow Mein,金玉楼,1,1,0,0,0,0,0,0
1292,30897,China Star,福,0,0,1,0,1,0,0,0
2092,30078,Wong's Wok,寿,1,1,0,0,0,0,0,0
1052,586,Kampo Garden,金宝园,0,0,0,0,0,1,0,1
1113,3720,Eastern 88 Chinese Restaurant,东都,0,0,1,0,1,0,0,0
3294,6329,Chopstick Asian Cuisine,陆羽轩,0,0,0,1,1,0,0,0
455,29974,Rong Hua,荣华,0,0,0,0,0,0,0,1
1311,16002,Mandarin Dynasty,福隆酒家,0,0,1,0,1,0,0,0
1631,7749,Hop Hing Chinese Restaurant,合兴,0,0,0,0,1,0,0,1
2376,31900,Northern Cuisine,北味轩,0,0,0,0,1,0,0,0
3605,22496,Chengdu Taste,滋味成都,0,0,0,0,1,0,0,0
3380,4660,Wing's Kitchen,小南阁,1,0,0,0,0,1,0,0
2105,26500,Chef Chao Restaurant,喜来登,1,0,1,0,0,0,0,0
2071,10167,Foo On,福安,0,0,0,0,0,0,0,1
3281,17317,Cuisine Of China,龙园,0,0,0,0,1,0,0,0
3013,10222,King Wok Chinese Food,金华,0,1,1,0,1,0,0,0
3518,22111,Happy Sheep Hot Pot,小肥羊,0,1,1,0,0,0,0,0
