English_Name,Chinese_Name,nanxi_translation,rukun_translation,Dish Type,Creative Translation (1 = yes),Rating,Category_EN_1,Category_EN_2,Category_EN_3,Category_CH_1,Category_CH_2,Category_CH_3,Translation(Literal = 1),Address,Area,Website,Order Website
Wu Er by WOW Barbecue,无二烤肉,No Two BBQ,No Second Barbecue,Barbecue,0,3.9,Specialty,Romanized,,Specialty,,,0,"320 Washington St, Brookline, MA 02445",0,http://www.wowbarbecue.com/,
Zoe’s Chinese Restaurant,风味亭,Flavor Pavillion,Flavor Pavilion,Fusion,0,4.5,Names,Origin,,Positivity,Ambiance,,0,"296 Beacon St, Somerville, MA 02143",0,http://www.zoessomerville.com/,
Great Wok Restaurants,江东楼,River East House,East River Side Tower,Fusion,0,3.7,Positivity,,,Ambiance,,,0,"1284 Massachusetts Ave #1608, Dorchester, MA 02125",0,http://www.greatwokdorchester.com/,
Yummee,渔米,Fishing Rice,Southern Rice,Fusion,0,3.4,Romanized,,,Positivity,,,0,"665 Tremont St Ste A, Boston, MA 02118",0,https://www.menuorg.com/mobile/index.html#/shop/Yummee?id=39662,
Peking House,财富,Fortune,Wealth,Beijing,0,4.2,Location,Ambiance,,Positivity,,,0,"160 Dudley St, Roxbury, MA 02119",0,http://pekinghouseboston.com/,
Bun's House,四川冒菜,Sichuan Instant Boiled Spicy Hot Pot,Sichuan Maocai,Sichuan,0,3.7,Location,Ambiance,,Location,Specialty,,0,"338 Ferry St, Everett, MA",0,https://order.bunshouseeverettma.com/menu,
Shanghai Fresh,十八鲜,Eighteen Fresh,Eighteen Fresh,Shanghai,0,4.0,Location,Positivity,,Positivity,,,0,"735 Massachusetts Ave, Cambridge, MA 02139",0,https://www.shanghaifreshcambridge.com/,
New Fortune,鸿运,Good Fortune,Great Fortune,Fusion,0,4.4,Positivity,,,Positivity,,,0,"249 Mohawk Trail, Greenfield, MA 01301",1,http://newfortunegreenfield.com/,
Chinese Dragon,东方红,Eastern Red,Oriental Red,Fusion,0,3.5,Culture,Origin,,Positivity,Origin,,0,"380 Chelsea St, Boston, MA 02128",0,http://bostonchinesedragon.com/,
Hong Kong Style Hot pot,香满园打边炉港式火锅,Fragrance Full Garden Hong Kong Style Hotpot,Hong Kong Style Hot Pot With Fragrant Garden and Edge Furnace,Cantonese,0,3.9,Location,Specialty,,Location,Specialty,,0,"28 Harrison Ave, Boston, MA",0,,https://www.chowbus.com/delivery/menu/Hong%20Kong%20Style%20Hot%20pot/9691
