English_Name,Chinese_Name,nanxi_translation,rukun_translation,Dish Type,Creative Translation (1 = yes),Rating,Category_EN_1,Category_EN_2,Category_EN_3,Category_CH_1,Category_CH_2,Category_CH_3,Translation(Literal = 1),Address,Area,Website,Order Website
Shanghai Cuisine,上海小馆,Shanghai Bistro,Shanghai Pavilion,Shanghai,0,4.4,Location,,,Location,Ambiance,,0,"11 Pine St, Waltham, MA",0,https://www.shanghaicuisineorder.com/,
Shanghai Fresh,十八鲜,Eighteen Fresh,Eighteen Fresh,Shanghai,0,4.0,Location,Positivity,,Positivity,,,0,"735 Massachusetts Ave, Cambridge, MA 02139",0,https://www.shanghaifreshcambridge.com/,
Kao Barbecue,久经烤焰,Roasted for a Long Time,The Old Grill,Barbecue,0,3.6,Romanized,,,Pun_Creative,Specialty,,0,"85 Harvard Ave, Boston, MA 02134",0,,
Taiwan Cafe ,海之味,Taste of the Sea,Sea Flavor,Taiwan,0,3.8,Location,,,Specialty,,,0,"34 Oxford St, Boston, MA",0,https://ordertaiwancafe.com/,
Hunan Cuisine ,异国他湘,Alien Country Other Hunan,A Foreign Country in Hunan,Hunan,0,4.5,Location,,,Location,Pun_Creative,,0,"45 Beach St, Boston, MA",0,,
House of Chang,藤王馔,Vine King Delicacy,Tengwang Cuisine,Fusion,0,4.2,Names,Ambiance,,Positivity,,,0,"282 Concord Ave, Cambridge, MA 02138",0,https://houseofchangcambridge.com/,
Bun's House,四川冒菜,Sichuan Instant Boiled Spicy Hot Pot,Sichuan Maocai,Sichuan,0,3.7,Location,Ambiance,,Location,Specialty,,0,"338 Ferry St, Everett, MA",0,https://order.bunshouseeverettma.com/menu,
KungFu MalaTang,汤功夫麻辣烫·麻辣拌,Soup Kunfu Spicy Hot Pot,Kungfu Soup Spicy Hot Pot Spicy Sauce,Sichuan,0,4.1,Culture,Specialty,,Specialty,Culture,,1,"155 Brighton Ave, Allston, MA 02134",0,http://www.kungfumalatang.com/,
Spicy World,大舌头,Big Tongue,Big Tongue,Sichuan,0,3.0,Ambiance,Specialty,,Other,,,0,"7 Beach St, Boston, MA",0,https://www.spicyworldboston.com/,
Flame Hot Pot & Sushi,一品川,A Taste of Sichuan,The Best Sichuan,Sichuan,0,3.6,Specialty,,,Location,,,0,"1001 Massachusetts Ave, Cambridge, MA 02138",0,https://www.flameasian.com/,
Boston Soup Dumplings,烹小鲜,Cook Little Fresh,Cooking Small Delicacies,Fusion,0,4.8,Location,Positivity,Specialty,Positivity,,,0,"113 Brighton Ave, Boston, MA 02134",0,https://www.bostonsoupdumplings.com/,
Six Po Hot Pot,六婆串串香,Six Auntie Skewers Delicious,Six Nanies' Skewer,Sichuan,0,4.1,Names,Specialty,,Names,Specialty,Positivity,0,"1353 Beacon St, Brookline, MA",0,http://www.sixpousa.com/,
Kaojiu Restaurant,烤究,Study of Roasting,Good Grilling,Barbecue,0,4.1,Romanized,,,Pun_Creative,Specialty,,0,"406 Harvard Street , Brookline, MA",0,https://www.kaojiurestaurant.com/,
Tasty Pot,味鼎,Taste Tripod,Flavor Royal Pot,hotpot,0,4.2,Positivity,,,Positivity,,,1,"194 Harvard Ave, Boston, MA",0,http://www.tastypotboston.com/,
Golden Garden,金山饭店,Golden Mountain Restaurant,Golden Mount Restaurant,Northeastern,0,4.0,Ambiance,Positivity,,Positivity,,,0,"9 Highland Ave, Malden, MA",0,https://www.goldengardenmalden.com/,
Taste House,百味轩,Hundred Taste Pavillion,Hundred Taste Restaurant,Fusion,0,4.9,Ambiance,,,Positivity,Ambiance,,0,"275 Moody St, Waltham, MA",0,,https://order.mealkeyway.com/merchant/6b376f51364d44624b33745964786e6761545a6543673d3d/main
Sumiao Hunan Kitchen,素描湘,Sketch Hunnan,Sketch Xiang,Hunan,0,4.2,Location,Romanized,Ambiance,Location,,,0,"270 Third St, Cambridge, MA 02142",0,http://www.sumiaohunan.com/,
District Kitchen,饺子馆,Dumpling Pavillion,Dumpling Restaurant,Fusion,0,4.3,Ambiance,,,Specialty,Ambiance,,0,"2 Florence St, Malden, MA 02148",0,https://www.district-kitchen.com/,
BOS' SiChuan Taste,一碟川菜馆,One Plate Sichuan Cuisine Restaurant,One Dish Sichuan Restaurant,Sichuan,0,4.3,Location,,,Location,Ambiance,,0,"204 Harvard Ave, Allston, MA 02134",0,http://www.bosyidie.com/,
Noah's Kitchen,亚轩十八,Asian Pavillion Eighteen,Asian Eighteenth Restaurant,Fusion,0,4.3,Ambiance,Names,,Ambiance,Origin,,0,"18 Harvard St, Brookline, MA 02445",0,https://www.noahs.kitchen/,
Lu Fu Zi,卤夫子,Brined Scholar,Stewed Master's Restaurant,,0,,Romanized,,,Specialty,Culture,Pun_Creative,0,"154 harvard ave, Allston, MA",0,,https://www.chowbus.com/delivery/menu/Lu%20Fu%20Zi/2172
Grill Fish,烤鱼之家,Home of Grilled Fish,Roast Fish Home,,0,,Specialty,,,Specialty,Ambiance,,1,"7 Beach St, Boston, MA",0,,https://www.chowbus.com/delivery/menu/Grill%20Fish/8423
Brother Crab Pot,哥俩肉蟹煲,Two Brothers Meaty Crab Pot,Two Brother Meat Crab Pot,,0,,Specialty,,,Specialty,,,0,"7 Beach St, Boston, MA",0,,https://www.chowbus.com/delivery/menu/Brother%20Crab%20Pot/8949
Hong Kong Style Hot pot,香满园打边炉港式火锅,Fragrance Full Garden Hong Kong Style Hotpot,Hong Kong Style Hot Pot With Fragrant Garden and Edge Furnace,Cantonese,0,3.9,Location,Specialty,,Location,Specialty,,0,"28 Harrison Ave, Boston, MA",0,,https://www.chowbus.com/delivery/menu/Hong%20Kong%20Style%20Hot%20pot/9691
China Gourmet Restaurant,味中味,Taste in Taste,Taste In Taste,Fusion,0,4.0,Origin,,,Positivity,,,0,"23 tyler st #1905, Boston, MA",0,https://www.chinagourmetboston.com/,
Dolphin Bay,海豚湾,Dolphin Bay,Dolphin Bay,Taiwan,0,4.3,Ambiance,,,Ambiance,,,1,"72 Brighton Ave, Allston, MA",0,,https://www.chowbus.com/delivery/menu/Dolphin%20Bay/196
Mala Restaurant,一麻一辣,One Numb One Spicy,One Sesame Aand One Spicy,Sichuan,0,4.2,Specialty,,,Specialty,Pun_Creative,,0,"129 Brighton Ave, Allston, MA 02134",0,https://malarestauranttogo.com/,
Supreme BBQ,尚品烤吧,Fashion Taste BBQ bar,Top Taste Barbecue,Barbecue,0,4.2,Positivity,Specialty,,Specialty,Positivity,,0,"247 Eastern Ave, Malden, MA 02148",0,https://qmenu.us/#/supreme-bbq-malden,
Yunnan Kitchen,彩云之南,South of the Colorul Cloud,South Of Colorful Clouds,Yunan,0,4.3,Location,Ambiance,,Location,,,0,"1721 Washington St #B, Boston, MA 02118",0,http://yunnankitchensouthend.com/,
New China,新中国,New China,New China,Fusion,0,4.0,Origin,,,Origin,,,1,"869 Harrison Ave, Boston, MA 02118",0,,
Yummee,渔米,Fishing Rice,Southern Rice,Fusion,0,3.4,Romanized,,,Positivity,,,0,"665 Tremont St Ste A, Boston, MA 02118",0,https://www.menuorg.com/mobile/index.html#/shop/Yummee?id=39662,
Peking House,财富,Fortune,Wealth,Beijing,0,4.2,Location,Ambiance,,Positivity,,,0,"160 Dudley St, Roxbury, MA 02119",0,http://pekinghouseboston.com/,
Dumpling Palace,南北和,South North Together,North And South,Fusion,0,3.5,Specialty,Ambiance,,Positivity,,,0,"179 Massachusetts Ave, Boston, MA 02115",0,https://www.dumpling-palace.com/,
Empire Garden Restaurant,帝苑大酒楼,Empire Garden Great Restaurant,Empire Garden Restaurant,Cantonese,0,3.9,Positivity,Ambiance,,Positivity,Ambiance,,1,"690 Washington St, Boston, MA 02111",0,,
Wing's Kitchen,小南阁,LIttle South Attic,Little South Pavilion,Fusion,0,4.3,Names,Ambiance,,Ambiance,,,0,"13 Hudson St, Boston, MA 02111",0,https://www.wingskitchenboston.com/,
Jade Garden,翠苑海鲜酒楼,Emerald Garden Seafood Restaurant,Royal Green Seafood Restaurant,Fusion,0,3.9,Positivity,Ambiance,,Specialty,Positivity,,0,"20 Tyler St, Boston, MA 02111",0,,
The Q,小绵羊火锅,Little Lamb Hotpot,Little Sheep Hot Pot,hotpot,0,4.5,Names,,,Specialty,,,0,"660 Washington St, Boston, MA 02111",0,https://thequsa.com/boston-q-restaurant-food-menu?y_source=1_OTM1MjkzMjgtNzE1LWxvY2F0aW9uLm1lbnVfdXJs,
Clay Pot Cafe,旺角,Mong Kok,Good Fortune Corner,Cantonese,0,4.3,Specialty,Ambiance,,Location,,,0,"74 Kneeland St, Boston, MA 02111",0,https://www.claypotcafemassachusetts.com/,
Double Chin Modern Asian Restaurant,为食家,For Food Home,As A Foodie,Fusion,0,4.1,Origin,,,Ambiance,,,0,"86 Harrison Ave, Boston, MA 02111",0,http://www.doublechinbos.com/,
Royal East,五月花,May flower,The May Flower,Fusion,0,3.9,Positivity,Origin,,Other,,,0,"782 Main St, Cambridge, MA 02139",0,https://royaleastcambridge.com/,
Ding Ho,顶好快餐,Top Good Fast Food,Top Fast Food,Fusion,0,4.7,Romanized,,,Specialty,Positivity,,0,"88 Harrison Ave, Boston, MA 02111",0,,
Liaoxiang Rice Noodle,撩香米线,Tempting Fragrant Rice Noodle,Sweet-smelling Rice Noodles,Yunnan,0,4.9,Specialty,Romanized,,Specialty,Positivity,,0,"7 Knapp St, Boston, MA 02111",0,,
Gene's Chinese Flatbread Cafe,老西安,Old Xi'an,Old Xi'an,Xian,0,4.5,Names,Specialty,Ambiance,Location,,,0,"86 Bedford St, Boston, MA 02111",0,http://www.genescafeboston.com/,
Hong Kong Eatery,香港小食,Hong Kong Street Food,Hong Kong Snacks,Cantonese,0,4.2,Location,,,Location,,,1,"79 Harrison Ave, Boston, MA 02111",0,https://www.toasttab.com/hong-kong-eatery-79-harrison-ave,
Wai Wai,威威,Wei Wei,Weiwei,Cantonese,0,3.9,Names,,,Names,,,0,"26 Oxford St, Boston, MA 02111",0,,
Silk Road Uyghur Cuisine,丝绸之路新疆美食,Silk Road Xinjiang Cuisine, Xinjiang Cuisine on Silk Road,Uyghur,0,4.4,Culture,Specialty,,Location,Culture,Specialty,1,"645 Cambridge St, Cambridge, MA 02141",0,http://www.silkroadcambridge.com/,
Peach Farm,小桃园,Little Peach Garden,Small Peach Garden,Fusion,0,3.9,Ambiance,,,Ambiance,,,1,"4 Tyler St, Boston, MA 02111",0,https://peachfarmseafood.com/,
Great Wok Restaurants,江东楼,River East House,East River Side Tower,Fusion,0,3.7,Positivity,,,Ambiance,,,0,"1284 Massachusetts Ave #1608, Dorchester, MA 02125",0,http://www.greatwokdorchester.com/,
Su Su Gourmet,素素小食,Su Su Street Food,Vegetarian Snacks,Cantonese,0,3.4,Names,,,Names,,,1,"70 Tyler St, Boston, MA 02111",0,https://www.susugourmetbostonma.com/,
Cilantro Chinese Cuisine,御堂春,Royal Hall Spring,Royal Palace Spring,Fusion,0,3.9,Origin,,,Positivity,Ambiance,Pun_Creative,0,"1105 Massachusetts Ave, Cambridge, MA 02138",0,http://www.cilantrochinesecuisine.com/?utm_source=gmb&utm_medium=website,
New Golden Gate Seafood,新金门海鲜酒家,New Golden Gate Seafood Restaurant,New Golden Gate Seafood Restaurant,Fusion,0,4.2,Positivity,Specialty,,Positivity,Ambiance,,1,"66 Beach St, Boston, MA 02111",0,https://newgoldengateseafood.com/,
Jumbo Seafood,珍宝轩,Treasure Pavillion,Good Treasure House,Cantonese,1,4.0,Specialty,,,Positivity,Ambiance,,0,"5 Hudson St, Boston, MA 02111",0,https://www.jumboseafoodboston.net/,
Beijing Cafe,京味,Beijing Taste,Beijing Flavor,Beijing,0,3.4,Location,Ambiance,,Location,,,0,"728 Commonwealth Ave, Boston, MA 02215",0,https://www.beijingcafeusa.com/,
Winsor Dim Sum Café,温莎点心美食,Windsor Dim Sum Cuisine,Windsor Dim Sum Food,Cantonese,0,3.9,Names,Specialty,Ambiance,Names,Specialty,,1,"10 Tyler St, Boston, MA 02111",0,http://runinos.com/places/windsor-dim-sum-cafe-boston-ma/,
Great Taste Bakery & Restaurant,美味轩,Tasty Pavillion,Delicious Restaurant,Cantonese,0,4.0,Positivity,,,Positivity,Ambiance,,1,"63 Beach St, Boston, MA 02111",0,http://greattastebakery.com/,
Xiang Yu China Bistro,湘遇,Hunan Meet,Meet In Hunan,Hunan,0,4.2,Romanized,Ambiance,Origin,Pun_Creative,Location,,0,"1223 Beacon St, Brookline, MA 02446",0,http://www.xychinabistro.com/,
Young Kong,邕江,Yong River,Yong River,Cantonese,0,3.6,Romanized,,,Location,,,0,"300 Centre St, Jamaica Plain, MA 02130",0,https://www.youngkongma.com/,
Canton House,广东楼,Canton House,Guangdong Building,Cantonese,0,3.7,Location,Ambiance,,Location,Ambiance,,1,"6 Hancock St, Boston, MA 02125",0,http://www.cantonhousema.com/,
Hei La Moon Restaurant,喜临门大酒楼,Joy Near Door Great Restaurant,Good Lucy Come Restaurant,Cantonese,0,4.0,Romanized,,,Positivity,Ambiance,,0,"83 Essex St, Boston, MA 02111",0,https://www.heilamoonrestaurant.com/order/,
Gaga Seafood Restaurant,嘉嘉海鲜菜馆,Gaga Seafood Restaurant,Jiajia Seafood Restaurant,Cantonese,0,4.2,Names,Specialty,,Names,Specialty,,1,"25 Tyler St #1905, Boston, MA 02111",0,http://www.gagaseafoodbostonma.com/menu.aspx,
New Ho Toy,好彩,Good Color,Good Colorfulness,Cantonese,0,3.6,Romanized,,,Positivity,,,0,"746 Dudley St, Dorchester, MA 02125",0,https://www.newhotoydorchester.com/,
Food Wall Chinese Restaurant,福城,Luck City,Good Fortune City,Fusion,0,3.7,Origin,,,Positivity,,,0,"387 Centre St, Jamaica Plain, MA 02130",0,http://www.foodwallchinese.com/?utm_source=gmb&utm_medium=website,
New Moon Villa Restaurant,新月宫海鲜酒家,New Moon Palace Seafood Restaurant,Crescent Palace Seafood Restaurant,Fusion,0,3.5,Ambiance,,,Specialty,Ambiance,,1,"15 Edinboro St, Boston, MA 02111",0,https://newmoonvillast.com/,
Lucky Cafe,陆记明炉烧腊,Lu's Open Oven Roasted Meat,Lu Ji Furnace Roasted Pork,Cantonese,0,4.2,Positivity,Ambiance,,Names,Specialty,,0,"1107 Dorchester Ave, Boston, MA 02125",0,,
Xi’An Rougamo,姑娘手西安小吃,Girl Hand Xi'an Street Food,Girls' Handmade Xi'an Snacks,Xian,0,3.5,Location,Specialty,,Location,,,0,"417 Washington St, Boston, MA 02110",0,https://www.toasttab.com/xian-rougamo-boston-417-washington-street,
Chung Wah,中华,China,China,Fusion,0,4.1,Romanized,,,Origin,,,0,"199 Bowdoin St, Dorchester, MA 02122",0,https://chungwahboston.com/,
Mandarin Restaurant,华明,China Bright,China Shine,Fusion,0,3.8,Origin,,,Positivity,Origin,,0,"7 Union Square, Somerville, MA 02143",0,,
Billy Tse,满福轩,Full Luck Pavillion,House With Good Fortune,Fusion,0,4.1,Names,,,Positivity,Ambiance,,0,"240 Commercial Street, Boston, MA 02109",0,http://www.billytseboston.com/,
HaoShiGuang,好食光,Good Food Light,Good Food Light,Fusion,0,4.1,Romanized,,,Positivity,,,0,"48 Harvard Ave, Allston, MA 02134",0,http://www.haoshiguangboston.com/,
