,sample_id,national_id,English_Name,Chinese_Name,Personal_Name,Specialty,Positivity,Culture,Location,Ambiance,Pun_Creative,Romanized,Relationship
0,2094.0,9870.0,Little Alley,弄堂,0,0,0,0,0,1,0,0,0
1,1724.0,13697.0,New China Buffet,中,0,1,0,0,1,0,0,0,0
2,2841.0,28810.0,MImian,迈面,0,0,0,0,0,0,0,1,0
3,3119.0,9756.0,Bamboo Garden,竹园,0,0,0,1,0,1,0,0,0
4,1223.0,29370.0,China Cafe,中国楼,0,0,0,0,1,1,0,0,0
5,1241.0,17588.0,House of Chen,陈家园,1,0,0,0,0,1,0,0,0
6,1068.0,16174.0,China Fun,黄石酒家,0,0,0,0,1,0,0,0,0
7,337.0,5610.0,Sang Kee Peking Duck,生记烧腊,1,1,0,0,1,0,0,0,0
8,3968.0,2544.0,Peking Restaurant,北京,0,0,0,0,1,0,0,0,0
9,2219.0,28797.0,Sichuan House,四川,0,0,0,0,1,1,0,0,0
10,773.0,11503.0,Tasty & Co,好味屋,0,0,1,0,0,0,0,0,0
11,1660.0,16560.0,Peking Gardens West,北京,0,0,0,0,1,1,0,0,0
12,1018.0,3960.0,China Dragon,华龙,0,0,0,1,1,0,0,0,0
13,3983.0,26917.0,Hong Kong BBQ Restaurant,祥发烧腊小馆,0,1,0,0,1,0,0,0,0
14,2521.0,18068.0,New China Restaurant,"
新中华",0,0,0,0,1,0,0,0,0
15,2980.0,15640.0,China Garden,华苑,0,0,0,0,1,1,0,0,0
16,551.0,16731.0,JS Chinese Restaurant,喜来居,0,0,0,0,1,0,0,0,0
17,1055.0,3860.0,Taipei Tokyo,南北和,0,0,0,0,1,0,0,0,0
18,2240.0,16735.0,Ah Chun Shandong Dumplings,"阿纯山东饺子
",1,1,0,0,1,0,0,0,0
19,3759.0,9276.0,Legend 72,蜀留香,0,0,1,0,0,0,0,0,0
20,3277.0,26711.0,LuDingJi Rice Noodle City of Industry,禄鼎记,0,1,0,0,0,0,0,1,0
21,3135.0,24817.0,Bei Jing | Hot Pot & Asian Cuisine,迷你涮涮锅,0,1,0,0,1,0,0,0,0
22,422.0,11339.0,Spicy Asian,川味坊,0,0,0,0,1,0,0,0,0
23,2811.0,15306.0,Twin Dragon,双龙,0,0,0,1,0,0,0,0,0
24,3990.0,22603.0,YinTang Spicy Hot Pot,隐烫,0,1,0,0,0,0,0,1,0
25,1652.0,5334.0,Shanghai Osaka Restaurant,辣魅,0,0,0,0,1,0,0,0,0
26,2767.0,2547.0,Bamboo Star,华星,0,0,1,1,0,0,0,0,0
27,174.0,8393.0,King Taste Restaurant,味中味,0,0,1,0,0,0,0,0,0
28,487.0,24871.0,Hong Kong Express,香港,0,0,0,0,1,0,0,0,0
29,3476.0,16585.0,Hunan Garden,湖南苑,0,0,0,0,1,1,0,0,0
30,1225.0,8561.0,China Pagoda Halal Restaurant,中国宝塔,0,0,0,1,1,0,0,0,0
31,2042.0,17558.0,Shan Dong,山东饭店,0,0,0,0,1,0,0,0,0
32,2575.0,578.0,Hong Kong Chinese Food,香港,0,0,0,0,1,0,0,0,0
33,1272.0,14995.0,Kung Pao Wok,宫宝,0,1,0,0,0,0,0,0,0
34,3940.0,26389.0,Peking Restaurant,永盛园,0,0,0,0,1,0,0,0,0
35,1954.0,3171.0,New China,新华,0,0,0,0,1,0,0,0,0
36,910.0,22486.0,Lam's Kitchen,林记粥粉面,1,0,0,0,0,1,0,0,0
37,2195.0,4969.0,China Wok Express,永旺楼,0,1,0,0,1,0,0,0,0
38,1358.0,23276.0,China Villa,华村,0,0,0,0,1,1,0,0,0
39,3600.0,7202.0,Chin's Restaurant,好好,1,0,0,0,0,0,0,0,0
40,3197.0,31641.0,Beijing Chinese Restaurant,北京,0,0,0,0,1,0,0,0,0
41,768.0,524.0,Golden Wok,金源,0,1,1,0,0,0,0,0,0
42,1613.0,29173.0,China Lee,华利,1,0,0,0,1,0,0,0,0
43,2860.0,28795.0,En Lai Chinese Kitchen,恩来,1,0,0,0,1,1,0,0,0
44,2175.0,9290.0,King House,皇宫,0,0,1,0,0,1,0,0,0
45,122.0,23045.0,Darda Seafood Restaurant,清真一条龙,1,1,0,0,0,0,0,0,0
46,1430.0,765.0,Mei Chang Take Out Food,美津,1,0,0,0,0,0,0,0,0
47,3398.0,25850.0,Din Ding Dumpling House Union City,鼎顶,0,1,0,0,1,1,0,1,0
48,2619.0,16615.0,China Restaurant,中,0,0,0,0,1,0,0,0,0
49,1775.0,26730.0,Emperor Palace Restaurant,"海富海鲜酒家
",0,0,1,0,0,1,0,0,0
50,3783.0,8447.0,Fu Lin,福临,0,0,0,0,0,0,0,1,0
51,1797.0,9367.0,New Gourmet House,佳味楼,0,0,1,0,0,1,0,0,0
52,3646.0,19004.0,China Chef,华府,0,0,1,0,1,0,0,0,0
53,3192.0,30797.0,"Lao Szechuan Hot Pot Buffet, all you can eat sushi",老四川,0,1,0,0,1,0,0,0,0
54,3174.0,5356.0,Chen's Garden,陈家园,1,0,0,0,0,1,0,0,0
55,855.0,16268.0,China Garden Restaurant,华园,0,0,0,0,1,1,0,0,0
56,2075.0,25369.0,Goldan Yan Restaurant,金苑酒家,1,0,1,0,0,0,0,0,0
57,2135.0,17802.0,Great Taste,美味,0,0,1,0,0,0,0,0,0
58,1791.0,10705.0,De Tasty Hot Pot Restaurant,故乡味火锅,0,1,1,0,0,0,0,0,0
59,672.0,14599.0,You Like Skewers,友来客,0,1,1,0,0,0,0,0,0
60,784.0,3649.0,Mayflower Chinese Restaurant & Carryout,五月花,0,0,0,1,1,0,0,0,0
61,2789.0,23088.0,Homestyle Dim Sum Restaurant,来来点心,0,1,0,0,0,1,0,0,1
62,3998.0,9128.0,Dragon Palace,龙宫,0,0,0,1,0,1,0,0,0
63,2705.0,4648.0,Dumpling Palace,"南北和
",0,1,0,0,0,1,0,0,0
64,4023.0,5649.0,Siu Kee Duck House,赵记烧腊,1,1,0,0,0,1,0,0,0
65,1208.0,29934.0,King's Wok,怡嘉,0,1,1,0,0,0,0,0,0
66,734.0,16348.0,Yum Yum Kitchen Chinese Cuisine,食为天,0,0,1,0,1,1,0,0,0
67,1628.0,3327.0,China Taste,华味,0,0,0,0,1,0,0,0,0
68,1558.0,1869.0,Beijing Cafe,北京城,0,0,0,0,1,1,0,0,0
69,934.0,10906.0,Sam Lee Kitchen,顺利,1,0,0,0,0,1,0,0,0
70,3341.0,9698.0,Happy Kitchen,好运,0,0,1,0,0,1,0,0,0
71,2661.0,19533.0,China Lin,林园,1,0,0,0,1,0,0,0,0
72,117.0,10916.0,No.1 Flower Drum House,花鼓楼,0,0,1,1,0,1,0,0,0
73,2713.0,6543.0,Chan's,"
榕城",1,0,0,0,0,0,0,0,0
74,3835.0,26738.0,Dumpling Specialist,岚翔小馆,0,1,1,0,0,0,0,0,0
75,2039.0,26344.0,Harbin Dumplings,哈尔滨饺子,0,1,0,0,1,0,0,0,0
76,3543.0,32073.0,China House,江旺,0,0,0,0,1,1,0,0,0
77,1661.0,3403.0,Ming Lee Chinese Restaurant,"明利楼
",1,0,0,0,1,0,0,0,0
78,3971.0,13295.0,Happy Garden Chinese Restaurant,锦煌,0,0,1,0,1,1,0,0,0
79,1115.0,5547.0,Annie Chen's Sushi Bar & Grill,扬州陈餐馆,1,1,0,0,0,0,0,0,0
80,4021.0,10972.0,Kam Sheng,金城,0,0,0,0,0,0,0,1,0
81,2755.0,30793.0,Kowloon | Chinese Restaurant,"
九龙",0,0,0,0,1,0,0,0,0
82,2874.0,17942.0,China One #3,容家餐馆,0,0,0,0,1,0,0,0,0
83,2532.0,14384.0,No 1 Restaurant,天旺,0,0,1,0,0,0,0,0,0
84,2414.0,24660.0,New Big Daddy's,味之选,0,0,0,0,0,1,0,0,1
85,3839.0,3254.0,Ping's Place,大华小吃,1,0,0,0,0,1,0,0,0
86,2256.0,4796.0,Chow n Joy,厨乐,0,0,0,0,0,0,1,0,0
87,2460.0,25848.0,Gourmet House,万豪轩酒家,0,0,1,0,0,1,0,0,0
88,1780.0,11556.0,Hip Wo,协和,0,0,0,0,0,0,0,1,0
89,423.0,27793.0,Peking Garden,京园,0,0,0,0,1,1,0,0,0
90,2918.0,8356.0,Kawah Chinese Restaurant,"
嘉华",0,0,0,0,1,0,0,1,0
91,2708.0,23593.0,Long's Kitchen,"
湘味馆",1,0,0,0,0,1,0,0,0
92,1589.0,32648.0,Taste Place,品味,0,0,0,0,0,1,0,0,0
93,3524.0,13364.0,Yan's Cuisine,焱,1,0,0,0,0,0,0,0,0
94,1183.0,31601.0,Jess Cafe,广美,1,0,0,0,0,1,0,0,0
95,1814.0,33115.0,Grand Fortune,聚福轩,0,0,1,0,0,0,0,0,0
96,657.0,30598.0,New Asian Ju Yuan,聚园,0,0,0,0,1,0,0,1,0
