sample_id,national_id,Chinese_Name,English_Name,Personal_Name,Specialty,Positivity,Culture,Location,Ambiance,Pun_Creative,Relationship,Comments
2094,9870,弄堂,Little Alley,,,,,,1,,,
1724,13697,中,New China Buffet,,,,,1,,,,
2841,28810,迈面,MImian,,1,,,,,,,
3119,9756,竹园,Bamboo Garden,,,,1,,1,,,
1223,29370,中国楼,China Cafe,,,,,1,1,,,
1241,17588,陈家园,House of Chen,1,,,,,1,,,
1068,16174,黄石酒家,China Fun,,,,,1,1,,,
337,5610,生记烧腊,Sang Kee Peking Duck,1,1,,,,,,,
3968,2544,北京,Peking Restaurant,,,,,1,,,,
2219,28797,四川,Sichuan House,,,,,1,,,,
773,11503,好味屋,Tasty & Co,,,1,,,1,,,
1660,16560,北京,Peking Gardens West,,,,,1,,,,
1018,3960,华龙,China Dragon,,,,1,1,,,,
3983,26917,祥发烧腊小馆,Hong Kong BBQ Restaurant,,1,1,,,1,,,祥发
2521,18068,"
新中华",New China Restaurant,,,,,1,,,,新-> nothing
2980,15640,华苑,China Garden,,,,,1,1,,,
551,16731,喜来居,JS Chinese Restaurant,,,1,,,1,,,
1055,3860,南北和,Taipei Tokyo,,,,,1,,,,
2240,16735,"阿纯山东饺子
",Ah Chun Shandong Dumplings,1,1,,,1,,,,
3759,9276,蜀留香,Legend 72,,,1,,1,,,,
3277,26711,禄鼎记,LuDingJi Rice Noodle City of Industry,,,1,,,,1,,禄
3135,24817,迷你涮涮锅,Bei Jing | Hot Pot & Asian Cuisine,,1,,,,,,,迷你
422,11339,川味坊,Spicy Asian,,,,,1,1,,,
2811,15306,双龙,Twin Dragon,,,,1,,,,,
3990,22603,隐烫,YinTang Spicy Hot Pot,,1,,,,,,,隐
1652,5334,辣魅,Shanghai Osaka Restaurant,,1,1,,,,,,魅-> positivity
2767,2547,华星,Bamboo Star,,,1,,1,,,,星-> positivity
174,8393,味中味,King Taste Restaurant,,,,,,,1,,味中味
487,24871,香港,Hong Kong Express,,,,,1,,,,
3476,16585,湖南苑,Hunan Garden,,,,,1,1,,,
1225,8561,中国宝塔,China Pagoda Halal Restaurant,,,,1,1,,,,
2042,17558,山东饭店,Shan Dong,,,,,1,1,,,
2575,578,香港,Hong Kong Chinese Food,,,,,1,,,,
1272,14995,宫宝,Kung Pao Wok,,,1,1,,,,,
3940,26389,永盛园,Peking Restaurant,,,1,,,1,,,
1954,3171,新华,New China,,,,,1,,,,
910,22486,林记粥粉面,Lam's Kitchen,1,1,,,,,,,
2195,4969,永旺楼,China Wok Express,,,1,,,1,,,
1358,23276,华村,China Villa,,,,,1,1,,,
3600,7202,好好,Chin's Restaurant,,,1,,,,,,
