sample_id,national_id,English_Name,Chinese_Name,Personal_Name,Specialty,Positivity,Culture,Location,Ambiance,Pun_Creative,Romanized,Relationship,Comments
2094,9870,Little Alley,弄堂,0,0,0,0,0,1,0,0,,
1724,13697,New China Buffet,中,0,1,0,0,1,0,0,0,,
2841,28810,MImian,迈面,0,0,0,0,0,0,0,1,,
3119,9756,Bamboo Garden,竹园,0,0,0,1,0,1,0,0,,
1223,29370,China Cafe,中国楼,0,0,0,0,1,1,0,0,,
1241,17588,House of Chen,陈家园,1,0,0,0,0,1,0,0,,
1068,16174,China Fun,黄石酒家,0,0,0,0,1,0,0,0,,
337,5610,Sang Kee Peking Duck,生记烧腊,1,1,0,0,1,0,0,0,,
3968,2544,Peking Restaurant,北京,0,0,0,0,1,0,0,0,,
2219,28797,Sichuan House,四川,0,0,0,0,1,1,0,0,,
773,11503,Tasty & Co,好味屋,0,0,1,0,0,0,0,0,,
1660,16560,Peking Gardens West,北京,0,0,0,0,1,1,0,0,,
1018,3960,China Dragon,华龙,0,0,0,1,1,0,0,0,,
3983,26917,Hong Kong BBQ Restaurant,祥发烧腊小馆,0,1,0,0,1,0,0,0,,
2521,18068,New China Restaurant,"
新中华",0,0,0,0,1,0,0,0,,
2980,15640,China Garden,华苑,0,0,0,0,1,1,0,0,,
551,16731,JS Chinese Restaurant,喜来居,0,0,0,0,1,0,0,0,,
1055,3860,Taipei Tokyo,南北和,0,0,0,0,1,0,0,0,,
2240,16735,Ah Chun Shandong Dumplings,"阿纯山东饺子
",1,1,0,0,1,0,0,0,,
3759,9276,Legend 72,蜀留香,0,0,0,1,0,0,0,0,,
3277,26711,LuDingJi Rice Noodle City of Industry,禄鼎记,0,1,0,0,0,0,0,1,,
3135,24817,Bei Jing | Hot Pot & Asian Cuisine,迷你涮涮锅,0,1,0,0,1,0,0,0,,
422,11339,Spicy Asian,川味坊,1,0,0,0,1,0,0,0,,
2811,15306,Twin Dragon,双龙,0,0,0,1,0,0,0,0,,
3990,22603,YinTang Spicy Hot Pot,隐烫,0,1,0,0,0,0,0,1,,
1652,5334,Shanghai Osaka Restaurant,辣魅,0,0,0,0,1,0,0,0,,
2767,2547,Bamboo Star,华星,0,0,0,1,0,0,0,0,,
174,8393,King Taste Restaurant,味中味,0,0,1,0,0,0,0,0,,
487,24871,Hong Kong Express,香港,0,0,0,0,1,0,0,0,,
3476,16585,Hunan Garden,湖南苑,0,0,0,0,1,1,0,0,,
1225,8561,China Pagoda Halal Restaurant,中国宝塔,0,1,0,1,1,0,0,0,,
2042,17558,Shan Dong,山东饭店,0,0,0,0,1,0,0,0,,
2575,578,Hong Kong Chinese Food,香港,0,0,0,0,1,0,0,0,,
1272,14995,Kung Pao Wok,宫宝,0,1,0,0,0,0,0,0,,
3940,26389,Peking Restaurant,永盛园,0,0,0,0,1,0,0,0,,
1954,3171,New China,新华,0,0,0,0,1,0,0,0,,
910,22486,Lam's Kitchen,林记粥粉面,1,0,0,0,0,1,0,0,,
2195,4969,China Wok Express,永旺楼,0,0,0,0,1,0,0,0,,
1358,23276,China Villa,华村,0,0,0,0,1,1,0,0,,
3600,7202,Chin's Restaurant,好好,1,0,0,0,0,0,0,0,,
3197,31641,Beijing Chinese Restaurant,北京,0,0,0,0,1,0,0,0,,
768,524,Golden Wok,金源,0,0,1,0,0,0,0,0,,
1613,29173,China Lee,华利,1,0,0,0,1,0,0,0,,
2860,28795,En Lai Chinese Kitchen,恩来,1,0,0,0,1,1,0,1,,
2175,9290,King House,皇宫,0,0,1,0,0,1,0,0,,
122,23045,Darda Seafood Restaurant,清真一条龙,0,1,0,0,0,0,0,0,,
1430,765,Mei Chang Take Out Food,美津,0,0,0,0,0,0,0,1,,
3398,25850,Din Ding Dumpling House Union City,鼎顶,0,1,0,0,0,1,0,1,,
2619,16615,China Restaurant,中,0,0,0,0,1,0,0,0,,
1775,26730,Emperor Palace Restaurant,"海富海鲜酒家
",0,0,1,0,0,1,0,0,,
3783,8447,Fu Lin,福临,0,0,0,0,0,0,0,1,,
1797,9367,New Gourmet House,佳味楼,0,0,1,0,0,1,0,0,,
3646,19004,China Chef,华府,0,0,1,0,1,0,0,0,,
3192,30797,"Lao Szechuan Hot Pot Buffet, all you can eat sushi",老四川,0,1,0,0,1,0,0,0,,
3174,5356,Chen's Garden,陈家园,1,0,0,0,0,1,0,0,,
855,16268,China Garden Restaurant,华园,0,0,0,0,1,1,0,0,,
2075,25369,Goldan Yan Restaurant,金苑酒家,1,0,1,0,0,0,0,0,,
2135,17802,Great Taste,美味,0,0,1,0,0,0,0,0,,
1791,10705,De Tasty Hot Pot Restaurant,故乡味火锅,0,1,1,0,0,0,0,0,,
672,14599,You Like Skewers,友来客,0,1,1,0,0,0,0,0,,
784,3649,Mayflower Chinese Restaurant & Carryout,五月花,0,0,0,1,1,0,0,0,,
2789,23088,Homestyle Dim Sum Restaurant,来来点心,0,1,0,0,0,0,0,0,1,
3998,9128,Dragon Palace,龙宫,0,0,0,1,0,1,0,0,,
2705,4648,Dumpling Palace,"南北和
",0,1,0,0,0,1,0,0,,
4023,5649,Siu Kee Duck House,赵记烧腊,1,1,0,0,0,1,0,0,,
1208,29934,King's Wok,怡嘉,0,0,1,0,0,0,0,0,,
734,16348,Yum Yum Kitchen Chinese Cuisine,食为天,0,0,1,0,1,1,0,0,,
1628,3327,China Taste,华味,0,0,0,0,1,0,0,0,,
1558,1869,Beijing Cafe,北京城,0,0,0,0,1,1,0,0,,
934,10906,Sam Lee Kitchen,顺利,1,0,0,0,0,1,0,0,,
3341,9698,Happy Kitchen,好运,0,0,1,0,0,1,0,0,,
2661,19533,China Lin,林园,1,0,0,0,1,0,0,0,,
117,10916,No.1 Flower Drum House,花鼓楼,0,0,1,0,0,1,0,0,,
2713,6543,Chan's,"
榕城",1,0,0,0,0,0,0,0,,
3835,26738,Dumpling Specialist,岚翔小馆,0,1,1,0,0,0,0,0,,
2039,26344,Harbin Dumplings,哈尔滨饺子,0,1,0,0,1,0,0,0,,
3543,32073,China House,江旺,0,0,0,0,1,1,0,0,,
1661,3403,Ming Lee Chinese Restaurant,"明利楼
",1,0,0,0,1,0,0,0,,
3971,13295,Happy Garden Chinese Restaurant,锦煌,0,0,1,0,1,1,0,0,,
1115,5547,Annie Chen's Sushi Bar & Grill,扬州陈餐馆,1,1,0,0,0,0,0,0,,
4021,10972,Kam Sheng,金城,0,0,0,0,0,0,0,1,,
2755,30793,Kowloon | Chinese Restaurant,"
九龙",0,0,0,0,1,0,0,0,,
2874,17942,China One #3,容家餐馆,0,0,0,0,1,0,0,0,,
2532,14384,No 1 Restaurant,天旺,0,0,1,0,1,0,0,0,,
2414,24660,New Big Daddy's,味之选,0,0,0,0,0,0,0,0,1,this name is kinda weird
3839,3254,Ping's Place,大华小吃,1,0,0,0,0,1,0,0,,
2256,4796,Chow n Joy,厨乐,0,0,0,0,0,0,1,0,,actually not sure about this one
2460,25848,Gourmet House,万豪轩酒家,0,0,1,0,0,1,0,0,,
1780,11556,Hip Wo,协和,0,0,0,0,0,0,0,1,,
423,27793,Peking Garden,京园,0,0,0,0,1,1,0,0,,
2918,8356,Kawah Chinese Restaurant,"
嘉华",0,0,0,0,1,0,0,1,,
2708,23593,Long's Kitchen,"
湘味馆",1,0,0,0,0,1,0,0,,
1589,32648,Taste Place,品味,0,0,0,0,0,1,0,0,,
3524,13364,Yan's Cuisine,焱,1,0,0,0,0,0,0,0,,
1183,31601,Jess Cafe,广美,1,0,0,0,0,1,0,0,,
1814,33115,Grand Fortune,聚福轩,0,0,1,0,0,0,0,0,,
657,30598,New Asian Ju Yuan,聚园,0,0,0,0,1,0,0,1,,
2541,13771,China Wok,中城,0,0,0,0,1,0,0,0,,
399,11884,South of the Clouds,云之南,0,0,0,0,1,0,0,0,,
3098,13745,China Kitchen,华厨,0,0,0,0,1,1,0,0,,
3080,29775,China House,京城,0,0,0,0,1,1,0,0,,
1642,26428,Tofu King,"臭豆腐大王
",0,1,1,0,0,0,0,0,,
2997,16270,Golden Ocean Chinese Restaurant,金海湾,,,1,,1,,,,,
1151,228,Great Wall Chinese Restaurant,长城,,,,1,1,,,,,
1459,30826,Twin Dragon,双龙,,,,1,,,,,,
2568,17093,China Wok,中国锅,,1,,,1,,,,,
797,21168,Hunan Express,湖南,,,,,1,,,,,
2936,632,CHINA DELIGHT CHINESE FOOD,中华,,,1,,1,,,,,
2794,19531,Family Garden Chinese Restaurant,"
家园",,,,,1,1,,,1,
2630,15528,Sunflower Asian Cafe,扬州馆,,,,,1,1,,,,
1498,30099,Lin's Garden,林园,1,,,,,1,,,,
2091,21930,Yummy House,美味居,,,1,,,1,,,,
3855,10072,Jing Fong,金丰酒家,,,,,,,,1,,
3895,6874,Taste King,华冠,,,1,,,,,,,
2469,17450,Hunan,湖南,,,,,1,,,,,
1690,618,China Wok,昌兴,,1,,,1,,,,,
2516,5437,Great Wall Szechuan House,长城,,,,1,1,1,,,,
301,21801,J'S RAILROAD CAFE,万祥,1,,,,,1,,,,
3440,582,Dragon Cuisine,龙之味,,,,1,,,,,,
2002,24242,Peach Garden,桃园村,,,,,,1,,,,
142,27496,China Wok,松竹楼餐馆,,1,,,1,,,,,
2964,0,Happy Wok,快乐餐馆,,1,1,,,,,,,
3896,21148,China Garden of Tunica,中国酒家,,,,,1,1,,,,
1785,616,King Buffet,帝苑,,1,1,,,,,,,
181,22063,China Buffet,食,,,1,,1,,,,,
2643,17167,Asia Kitchen,福临门,,,,,1,1,,,,
362,32394,Five Star China Garden,华园,,,1,,1,1,,,,
1909,22005,Northern Cafe,颐丰园,,,,,1,1,,,,
3173,6700,Be Happy Chinese Restaurant,大家乐,,,1,,1,,,,,
1567,17899,Cheng's Garden,陈家园,1,,,,,1,,,,
2225,22244,Frying Fish,沸腾渔乡,,1,,,,,,,,
3253,2497,Sunflower,日升,,,,,,,,,,
3522,16581,Chinese Kitchen,"华厨快餐
",,,,,1,1,,,,
146,808,Yummy House Gainesville,美食轩,,,1,,1,1,,,,
1101,2420,Taste of China,乐园,,,,,1,,,,,
2585,18973,Taste of China,中味餐厅,,,,,1,,,,,
3477,23461,Red Panda Kit,上海人家,,,,1,,,,,,
1784,3434,Yeung's,杨城楼,1,,,,,,,,,
3455,14942,Asian BBQ & Noodle,松记烧腊车仔面,,1,,,1,,,,,
1591,24959,Noodle or Rice,面饭世家,,1,,,,,,,,
3137,24128,New Flavors,新口味,,,,,,,,,,
984,28983,Tsou's Place,邹,1,,,,,1,,,,
706,33022,Kung Po Buffet,宫宝,,1,,,,,,1,,
2945,21816,China Gourmet,中华饭店,,,1,,1,,,,,
534,7773,Happy Palace,乐宫,,,1,,,1,,,,
2273,16971,Master Wok,师傅锅,,1,1,,,,,,,
745,6093,Bo Wah Restaurant,宝华,,,,,,,,1,,
1419,14202,Fu Jian Chinese Restaurant,富健,,,,,1,,,,,
1021,31060,Silver Lake Chinese Restaurant,银湖,,,,,1,,,,,
3617,21346,Lin's Kitchen,林,1,,,,,1,,,,
343,23468,Rice Garden Anchorage,丽苑,,1,,,1,1,,,,
662,25464,Hot Wok Cafe,禾轩,,1,,,,1,,,,
2093,13429,Chong Qing House,重庆山庄,,,,,1,1,,,,
5,3208,Number One Chinese Restaurant,皇宫,,,1,,1,,,,,
847,5402,Little Bamboo Chinese Restaurant,竹轩,,,,1,1,,,,,
2973,28696,Great Wall,长城,,,,1,,,,,,
1988,22660,Dumpling Kitchen,一品包饺王,,1,,,,1,,,,
3923,28135,Asian Star,亚洲星,,,1,,1,,,,,
2319,30667,New Fresh Wok,清香楼,,1,1,,,,,,,
1620,5675,Yang China House,杨家园,1,,,,1,1,,,,
335,22089,Reng Hua,荣华,,,,,,,,1,,
3560,23876,Golden Grill On the Bay,金龙湾,,1,1,,1,,,,,
140,340,Ming Garden Chinese Restaurant,明园,1,,,,1,1,,,,
1095,31759,CHI Family Restaurant,真善美,1,,,,,,,,1,
1871,29557,Peking Kitchen,日升,,,,,1,1,,,,
3590,9260,Changle Xin Fan Zhuang,松柏园,,,,,,,,1,,
559,2653,Mr. Wonton,长江,,1,,,,,1,,,
3247,29098,Jade Tiki Chinese Restaurant,翠宫,,,1,,1,,,,,
3337,14590,Wei's Garden,吉园,1,,,,,1,,,,
81,16596,Won Won Wok,旺旺,,1,,,,,1,,,
3720,13692,Chinese Express,金门,,,,,1,,,,,
3169,15838,Golden Bridge Chinese Restaurant,金桥,,,1,,1,,,,,
162,27932,HONG KONG RESTAURANT,香港酒家,,,,,1,,,,,
562,17197,New Asia Restaurant,亚洲,,,,,1,,,,,
2965,21329,House of Nanking,南京小馆,,,,,1,1,,,,
3997,4989,Tao's Asian Cuisine,陶,1,,,,1,,,,,
111,26874,Tasty Delight,厨之味,,,1,,,,,,,
1732,9663,Great China Kitchen,"
华美",,,1,,1,1,,,,
1537,22499,On Dong Chinese Restaurant,安东饭店,,,,,1,,,1,,
1726,22491,Lee Ho Fook Restaurant,"
利口福饭店",,,,,,,,1,,
2584,28417,Hong Kong Restaurant,香港,,,,,1,,,,,
1014,24359,Golden Palace Seafood Restaurant,大鸿运酒楼,,1,1,,,1,,,,
1320,15753,Mandarin Pine Restaurant,双华,,,,,1,,,,,
2795,22623,Cozy Cafe,"大锅大卤味
",,,1,,,1,,,,
3488,32968,China Taste,美味,,,,,1,,,,,
113,17220,China Harbor,中港城,,,,,1,1,,,,should harbor count as location or ambiance?
552,3229,Great Wall,长城,,,,1,,,,,,
3259,11094,Hunan House,湘水山庄,,,,,1,1,,,,
820,12735,New China,新中国,,,,,1,,,,,
577,7704,Hunan Wok,湖南,,1,,,1,,,,,
1571,16749,Peking Garden Asian Cuisine,"
京园",,,,,1,1,,,,
3703,9193,Great Taste of Maple Shade Llc,强兴,,,1,,,,,,,Maple shade location or ??
1282,27324,Hong Kong Chinese Restaurant,香港,,,,,1,,,,,
1168,6244,Dim Sum Court,苑,,1,,,,1,,,,
379,33158,Jade Palace Restaurant,玉宫,,,1,,,1,,,,
71,14864,City Lights of China,乐意饭店,,,,,1,,,,,
3507,13096,New Sichuan,小四川,,,,,1,,,,,
2201,14406,Peking Pavilion,玉亭,,,,,1,1,,,,
3659,4320,Lili's Restaurant,西安,1,,,,,,,,,
1390,21604,Big Lantern,大灯笼,,,,1,,,,,,
3047,29933,CHINA HOUSE,中华园,,,,,1,1,,,,
2443,1928,Shang Hai,上海,,,,,1,,,,,
921,6743,Moy Fong Restaurant,梅芳,,,,,,,,1,,
869,24451,Lin's Asian Bistro,林家园,1,,,,1,1,,,,
2254,29617,House Of Chen,陈园,1,,,,,1,,,,
3862,5751,China Taste Restaurant,三多,,,,,1,,,,,
1796,5486,Mayflower Chinese Carryout,五月花,,,,1,1,,,,,
1550,17294,Chen Z Noodle House,陈氏餐厅,1,1,,,1,,,,,
236,5480,Hunan Dynasty,皇朝饭店,,,1,,1,,,,,
2488,3509,Bao Bao Dumpling House,包宝,,1,,,1,,,1,,
202,2636,China Star,华星,,,1,,1,,,,,
308,30528,Keng's Chow Mein,金玉楼,1,1,,,,,,,,
1292,30897,China Star,福,,,1,,1,,,,,
2092,30078,Wong's Wok,寿,1,1,,,,,,,,
1052,586,Kampo Garden,金宝园,,,,,,1,,1,,
1113,3720,Eastern 88 Chinese Restaurant,东都,,,1,,1,,,,,
3294,6329,Chopstick Asian Cuisine,陆羽轩,,,,1,1,,,,,
455,29974,Rong Hua,荣华,,,,,,,,1,,
1311,16002,Mandarin Dynasty,福隆酒家,,,1,,1,,,,,
1631,7749,Hop Hing Chinese Restaurant,合兴,,,,,1,,,1,,
2376,31900,Northern Cuisine,北味轩,,,,,1,,,,,
3605,22496,Chengdu Taste,滋味成都,,,,,1,,,,,
3380,4660,Wing's Kitchen,小南阁,1,,,,,1,,,,
2105,26500,Chef Chao Restaurant,喜来登,1,,1,,,,,,,
2071,10167,Foo On,福安,,,,,,,,1,,
3281,17317,Cuisine Of China,龙园,,,,,1,,,,,
3013,10222,King Wok Chinese Food,金华,,1,1,,1,,,,,
3518,22111,Happy Sheep Hot Pot,小肥羊,,1,1,,,,,,,
831,22701,Acc Chinese Fast Food,中国小吃,,,,,1,,,,,
3805,5556,New No 1,第一,,,1,,,,,,,
3481,10555,New Main Moons,明月,,,,,,,,,,does moon count as positivity?
3854,24266,E @ Cup,一张嘴,,,,,,,1,,,
1594,28709,Mandarin House,富贵楼,,,,,1,1,,,,
1341,306,Pearl East,东海楼,,,1,,1,,,,,
941,16699,Cody Hong Kong Chinese Restaurant,香港,1,,,,1,,,,,
3622,28470,Gourmet House,"
美味城",,,1,,,,,,,
816,13293,Ming Moon Chinese Restaurant,来来,,,,,1,,,,,not sure what this counts
