sample_id,national_id,English_Name,Chinese_Name,Personal_Name,Specialty,Positivity,Culture,Location,Ambiance,Pun_Creative,Romanized,Relationship,Comments
2094,9870,Little Alley,弄堂,0,0,0,0,0,1,0,0,0,
1724,13697,New China Buffet,中,0,0,0,0,1,0,0,0,0,
2841,28810,MImian,迈面,0,0,0,0,0,0,0,1,0,
3119,9756,Bamboo Garden,竹园,0,0,0,1,0,1,0,0,0,
1223,29370,China Cafe,中国楼,0,0,0,0,1,1,0,0,0,
1241,17588,House of Chen,陈家园,1,0,0,0,0,1,0,0,0,
1068,16174,China Fun,黄石酒家,0,0,0,0,1,0,0,0,0,
337,5610,Sang Kee Peking Duck,生记烧腊,1,1,0,0,1,0,0,0,0,
3968,2544,Peking Restaurant,北京,0,0,0,0,1,0,0,0,0,
2219,28797,Sichuan House,四川,0,0,0,0,1,1,0,0,0,
773,11503,Tasty & Co,好味屋,0,0,1,0,0,0,0,0,0,
1660,16560,Peking Gardens West,北京,0,0,0,0,1,1,0,0,0,
1018,3960,China Dragon,华龙,0,0,0,1,1,0,0,0,0,
3983,26917,Hong Kong BBQ Restaurant,祥发烧腊小馆,0,1,0,0,1,0,0,0,0,
2521,18068,New China Restaurant,"
新中华",0,0,1,0,1,0,0,0,0,
2980,15640,China Garden,华苑,0,0,0,0,1,1,0,0,0,
551,16731,JS Chinese Restaurant,喜来居,0,0,0,0,1,0,0,0,0,
1055,3860,Taipei Tokyo,南北和,0,0,0,0,1,0,0,0,0,
2240,16735,Ah Chun Shandong Dumplings,"阿纯山东饺子
",1,1,0,0,1,0,0,0,0,
3759,9276,Legend 72,蜀留香,0,0,1,0,0,0,0,0,0,
3277,26711,LuDingJi Rice Noodle City of Industry,禄鼎记,0,1,0,1,0,0,0,0,0,
3135,24817,Bei Jing | Hot Pot & Asian Cuisine,迷你涮涮锅,0,1,0,0,1,0,0,0,0,
422,11339,Spicy Asian,川味坊,0,0,0,0,1,0,0,0,0,
2811,15306,Twin Dragon,双龙,0,0,0,1,0,0,0,0,0,
3990,22603,YinTang Spicy Hot Pot,隐烫,0,1,0,0,0,0,0,0,0,
1652,5334,Shanghai Osaka Restaurant,辣魅,0,0,0,0,1,0,0,0,0,
2767,2547,Bamboo Star,华星,0,0,1,1,1,0,0,0,0,
174,8393,King Taste Restaurant,味中味,0,0,1,0,0,0,0,0,0,
487,24871,Hong Kong Express,香港,0,0,0,0,1,0,0,0,0,
3476,16585,Hunan Garden,湖南苑,0,0,0,0,1,1,0,0,0,
1225,8561,China Pagoda Halal Restaurant,中国宝塔,0,0,0,1,1,0,0,0,0,
2042,17558,Shan Dong,山东饭店,0,0,0,0,1,0,0,0,0,
2575,578,Hong Kong Chinese Food,香港,0,0,0,0,1,0,0,0,0,
1272,14995,Kung Pao Wok,宫宝,0,0,0,0,0,0,0,1,0,
3940,26389,Peking Restaurant,永盛园,0,0,0,0,1,0,0,0,0,
1954,3171,New China,新华,0,0,1,0,1,0,0,0,0,
910,22486,Lam's Kitchen,林记粥粉面,1,0,0,0,0,1,0,0,0,
2195,4969,China Wok Express,永旺楼,0,1,0,0,1,0,0,0,0,
1358,23276,China Villa,华村,0,0,0,0,1,1,0,0,0,
3600,7202,Chin's Restaurant,好好,0,0,0,0,1,0,0,0,0,
3197,31641,Beijing Chinese Restaurant,北京,0,0,0,0,1,0,0,0,0,
768,524,Golden Wok,金源,0,1,1,0,0,0,0,0,0,
1613,29173,China Lee,华利,1,0,0,0,1,0,0,0,0,
2860,28795,En Lai Chinese Kitchen,恩来,1,0,0,0,1,1,0,0,0,
2175,9290,King House,皇宫,0,0,1,0,0,1,0,0,0,
122,23045,Darda Seafood Restaurant,清真一条龙,1,1,0,0,0,0,0,0,0,
1430,765,Mei Chang Take Out Food,美津,1,1,0,0,0,0,0,0,0,
3398,25850,Din Ding Dumpling House Union City,鼎顶,0,1,0,0,1,1,0,1,0,
2619,16615,China Restaurant,中,0,0,0,0,1,0,0,0,0,
1775,26730,Emperor Palace Restaurant,"海富海鲜酒家
",0,0,1,0,0,1,0,0,0,
3783,8447,Fu Lin,福临,0,0,0,0,0,0,0,1,0,
1797,9367,New Gourmet House,佳味楼,0,0,1,0,0,1,0,0,0,
3646,19004,China Chef,华府,0,0,1,0,1,0,0,0,0,
3192,30797,"Lao Szechuan Hot Pot Buffet, all you can eat sushi",老四川,0,1,0,0,1,0,0,0,0,
3174,5356,Chen's Garden,陈家园,1,0,0,0,0,1,0,0,0,
855,16268,China Garden Restaurant,华园,0,0,0,0,1,1,0,0,0,
2075,25369,Goldan Yan Restaurant,金苑酒家,1,0,1,0,0,0,0,0,0,
2135,17802,Great Taste,美味,0,0,1,0,0,0,0,0,0,
1791,10705,De Tasty Hot Pot Restaurant,故乡味火锅,0,1,1,0,0,0,0,0,0,
672,14599,You Like Skewers,友来客,0,0,1,0,0,0,0,0,0,
784,3649,Mayflower Chinese Restaurant & Carryout,五月花,0,0,0,1,1,0,0,0,0,
2789,23088,Homestyle Dim Sum Restaurant,来来点心,0,1,0,0,0,0,0,0,1,
3998,9128,Dragon Palace,龙宫,0,0,0,1,0,1,0,0,0,
2705,4648,Dumpling Palace,"南北和
",0,1,0,0,0,1,0,0,0,
4023,5649,Siu Kee Duck House,赵记烧腊,1,1,0,0,0,1,0,0,0,
1208,29934,King's Wok,怡嘉,0,1,1,0,0,0,0,0,0,
734,16348,Yum Yum Kitchen Chinese Cuisine,食为天,0,0,1,0,1,1,0,0,0,
1628,3327,China Taste,华味,0,0,0,0,1,0,0,0,0,
1558,1869,Beijing Cafe,北京城,0,1,0,0,1,0,0,0,0,
