sample_id,national_id,English_Name,Chinese_Name,Personal_Name,Specialty,Positivity,Culture,Location,Ambiance,Pun_Creative,Relationship,Comments
2628,2174,Dragon Gate,龙苑,,,,1,,1,,,
1688,2736,Bamboo Garden,竹园,,,,1,,1,,,
1513,8756,Guan Long Restaurant,冠龙,,,1,1,,,,,
3945,5338,China City,中国城,,,,,1,1,,,
2548,18373,Hong Kong kitchen(near Westwego),香港,,,,,1,,,,
1303,26507,Chinese restaurant in Milton-Freewater Oregon,红茶园,,,,1,,1,,,
160,22874,Capital,京都餐馆,,,,,1,,,,
2143,23979,New Char Siu House,华丰烧味,,1,1,,1,,,,
1213,23247,Blue Willow Restaurant,蓝杨,,,,,,,,,
3729,17031,Szechuan,四川,,,,,1,,,,
2463,2712,Lucky Key & Fuji Ya,富士屋,,,,1,,1,,,
2343,2011,China House,榕城,,,,,1,,,,
1456,9868,China Wok,皇朝,,,1,,,,,,
2600,16080,"Pop Pot & Tea (Chandler, AZ)",三妈嗅嗅锅,1,1,,,,1,,,
2641,32501,Peking Chinese Restaurant,北京,,,,,1,,,,
3239,22869,Jasmine Tea House,茶室,,1,,,,1,,,
2956,31874,Peking House,北京园,,,,,1,1,,,
1117,24756,Dim Sum Box,点心屋,,1,,,,1,,,
3623,15665,Empire Buffet,皇廷,,,1,,,,,,
3339,3472,Yummy House,太子楼,,,1,,,1,,,
1691,12537,Dragon Wok,飞龙,,,,1,,,,,
40,1130,TELY'S Chinese Restaurant,中菜泰利,,,1,,1,,,,
2226,13378,Chan's Fine Oriental Dining,陈苑酒家,1,,,,,1,,,
3302,474,Tung Hing Chinese Restaurant,东兴,,,1,,1,,,,
3857,93,Butterfly Restaurant,蝴蝶亭,,,,,,1,,,
3597,10662,Panda III,熊猫,,,,1,,,,,
2457,29014,LAI LAI,来来,,,1,,,,,,
1672,7538,Meiwah,"华强酒家
",,,1,,1,1,,,
1157,6730,Fu Da Chinese Restaurant,富达,,,1,,,,,,
183,31524,Jade Palace,翡翠楼,,,1,,,1,,,
872,25928,Beijing Garden,北京园,,,,,1,1,,,
595,22041,Sakura Grill & Buffet,烧,,1,,,,,,,
2677,11581,Chef Hong II,"鸿顺楼
",,,1,,,1,,,
1576,873,Dragon Phoenix Chinese Cuisine,龙凤,,,,1,,,,,
3180,19509,China Sea,明江,,,,,,,,,
2813,6679,China II,升辉,,,1,,,,,,
2261,26019,Ho Ho Chinese Restaurant,好好,,,1,,,,,,
1476,19463,Tian An Men Square Wok & Grill,天,,,,,,,,,
285,33181,Imperial Kitchen,御厨房,,,1,,,1,,,
689,23545,Panda Noodle Bar,新宝龙面吧,,1,1,1,,1,,,
3547,2145,Chifa Du Kang Bird Road - Peruvian Chinese Restaurant,杜康,,,,1,,,,,
1030,31168,Enlai 59 Chinese Restaurant,恩来,1,,,,,,,,
3561,25045,Nuodle Express,半一嘴,,,,,,,,,
1616,20073,Papa Lee Chinese Restaurant,"巴巴李
",1,,,,,,,,
2611,11206,Lins Garden,林园,1,,,,,1,,,
570,27625,Wen Wu Buffet,文武,,,,,,,,,？
47,18609,Dragon City,龙城,,,,1,,1,,,
2076,33032,Spring of China,郑园,1,,,,,1,,,
1663,24296,Harbor Village Cuisine,海港渔邨,,1,,,,1,,,
277,31235,Mo's Chinese Kitchen,东豪轩,,,1,,1,1,,,
2050,8527,China Wok,中国城,,,,,1,1,,,
579,2905,Urban Hai,都海,,,,,,,,,
3027,1750,Jin Jin 88,公元前,,,,,,,,,
250,12932,China king,中华,,,,,1,,,,
2466,29241,Wing On Chinese Restaurant,永安,,,1,,,,,,
1769,625,Tung Hsing House,东兴园,,,1,,1,1,,,
1450,24403,Little Lamb Hot Pot & BBQ,小尾羊,,1,,,,,,,
2401,17589,Golden City - Columbiana,金城,,,1,,,1,,,
3331,27638,King Wah,京华,,,,,1,,,,
722,28196,Golden Crown Restaurant,金冠酒家,,,1,,,1,,,
4018,21687,Tian Fu Seattle,天府春秋,,,,,1,,,,天府指四川？
3663,5187,Sunrise,明辉,,,1,,,,,,
3624,13988,Happy Garden,"
喜和园",,,1,,,1,,,
3727,31171,Eat Rice,米,,1,,,,,,,
3283,3380,Chen's,陈氏,1,,,,,,,,
881,23117,Chef Lee's Mandarin House,雅叙园,,,1,,,1,,,
1918,8522,Wah Chen Kitchen,华城,,,,,1,1,,,
2546,28894,New Wing Hing,永兴,,,1,,,,,,
1668,15522,Chinatown Restaurant,华城小馆,,,,,1,1,,,
3125,23594,Sichuan Impression,锦城里,,,1,,,1,,,
898,471,Jia Mei Asian Kitchen,隹美,,,1,,,,,,
3780,21021,Chongqing Chicken Pot,重庆鸡公煲,,1,,,1,,,,
3001,15048,Wong's Restaurant,黄黄,1,,,,,,,,？
549,16724,Full House Chinese Restaurant,聚福楼,,,1,,,1,,,
3903,10822,Asian Jewels,敦城海鲜酒家,,1,,,1,1,,,
2052,13670,Chinatown Restaurant,中国城,,,,,1,1,,,
3149,12289,New Pan's Garden,潘园,1,,,,,1,,,
2328,16086,Canton City Restaurant,广东楼,,,,,1,1,,,
3095,30731,Pagoda,忘不了,,,,,,,1,,
3580,2761,Hong Kong Cafe,香港,,,,,1,,,,
2095,21368,Yongzi Ji Restaurant,勇仔记,1,,,,,,,,
3236,6179,Hop Sing,合诚,,,1,,,,,,
1993,12054,Cheong Hei,新长禧,,,1,,,,,,
3084,16383,Tae Heung Gak Chinese Restaurant,泰兴阁,,,1,,,1,,,
774,32318,Yummy House,味,,,,,,,,,
3209,27506,Hong Kong,香港,,,,,1,,,,
2062,282,Panda Garden,登园,,,,,,1,,,？
480,6651,Lin's Garden,林家园,1,,,,,1,,,
1352,15835,Chinatown Restaurant,华城,,,,,1,1,,,
1198,5418,Chef Chen's,陈家园,1,,,,,1,,,
527,8683,Lim Fongs,林芳,1,,,,,,,,？
673,31108,Tony's Chinese & American Restaurant,中西,,,,,1,,,,
1339,3789,Chung Wah Restaurant,中华酒家,,,,,1,1,,,
3387,29796,Shao Ting Guo,绍廷阁,,,,,,1,,,
2437,25373,Nanjing Duck House,南京盐水鸭,,1,,,1,,,,
187,32586,Lao Peking Chinese Restaurant,老北京,,,,,1,,,,
1085,16880,Hunan Garden,湖南园,,,,,1,1,,,
2680,28022,China Dragon,中国龙,,,,1,1,,,,
3231,28621,China Wind,中国风,,,,,1,,,,
3943,22098,Seafood Town Chinese Restaurant,海鲜楼,,1,,,,1,,,
4020,8646,Hunan Express,东升,,,1,,1,,,,
369,2510,China Wok,中国,,,,,1,,,,
1868,11895,Ho Ming Kitchen,好明,,,1,,,,,,
1468,7344,CHINA WOK II,景然,,,,,,,,,
3771,16638,China Chef,长城,,,,1,,,,,
2512,19609,Max Orient,锦绣中华,,,1,,1,,,,
915,14675,Great Wall,长城,,,,1,,,,,
3133,29460,No.1 Chinese Restaurant,第一,,,1,,,,,,
818,31341,Mapo Restaurant,麻婆小馆,1,,,,,1,,,
2165,27737,Great Taste Chinese Restaurant,飞腾,,,1,,,,,,
2982,5920,How Lee,好利,,,1,,,,,,
2216,4864,Peter Woo's,喜兴楼,,,1,,,1,,,
494,659,Dragon City,龙城,,,,1,,1,,,
3690,14390,Triple Eight 2,宏华,,,1,,1,,,,
2429,14065,Miu Kee Cantonese Cuisine,苗记,1,,,,,,,,
3036,23208,Noodology,一碗粉,,1,,,,,,,
212,26652,The Noodle,面面店,,1,,,,,,,
2081,10133,Hua Rong,华榕,,,,,1,,,,
474,7768,Jade Garden restaurant,翠玉,,,1,,,,,,
2774,29042,Dynasty Chinese Food,朝代,,,1,,,,,,
3389,5350,Ming House,喜龙楼,,,1,,1,1,,,
516,14965,All season dinner,四季窝清粥小菜,,1,,,,1,,,
1884,18286,Great wok,明兴,,,1,,,,,,
3574,4077,Golden Pavilion Restaurant,金亭,,,1,,,1,,,
1350,32937,Panda To Go,熊猫,,,,1,,,,,
1835,2141,Canton Palace Chinese Restaurant,汉宫,,,,1,,1,,,汉指啥？
3632,32950,Great Wall Chinese Restaurant,长城,,,,1,,,,,
2857,32342,China House Buffet,华楼,,,,,1,1,,,
1444,30171,China Wok,明园,,,1,,,1,,,
242,15615,China Cottage,龙凤,,,,1,,,,,
1449,25099,Golden Dragon Chinese Restaurant,金龙,,,1,1,,,,,
3630,16269,Golden Palace Restaurant,金陵酒家,,,,,1,1,,,
3370,22728,Long Xing Ji Juicy Dumpling,隆兴记无锡小笼包,,1,1,,1,,,,
3359,9263,King Wok,华隆,,,1,,1,,,,
3724,31324,Darien Chop Suey,金城,,,1,,,1,,,
1782,9848,88 China City,"
中国城",,,,,1,1,,,
2782,10858,New Hong Kong Kitchen,香港,,,,,1,,,,
1973,5280,Spring Garden,恩来,1,,,,,,,,
2587,32189,Lulu Chinese Express,金满楼,,,1,,,1,,,
1573,6588,Zhuang's Garden,庄园,,,,,,1,,,
1735,10750,CHINA WOK,华苑,,,,,1,1,,,
622,30311,Golden Inn Restaurant,金华酒楼,,,1,,1,1,,,
130,13770,Golden Dragon II,金龙轩,,,1,1,,,,,
3919,30206,Wei's Chinese Restaurant,韦,1,,,,,,,,
3888,31051,Hong Kong Chef Chinese,港龙,,,,1,1,,,,
2383,4711,Gourmet House Asian Cuisine,福,,,1,,,,,,
2563,14219,Beijing On Grove,食,,,,,,,,,
2276,18358,Sing Lay,胜利餐馆,,,1,,,,,,
1633,22050,Dumpling Inn & Shanghai Saloon,上海滩,,,,,1,,,,
553,29742,Hometown Szechuan,家乡四川,,,,,1,,,1,
1647,5202,China House,香港,,,,,1,,,,
3107,19551,Dumpling King,元宝,,,1,,,,,,
1147,26953,Szechwan Palace Restaurant,天府,,,,,1,,,,
629,7249,Mandarin Garden,华园,,,,,1,1,,,
3432,17537,Number 1 Chinese Food,第一家,,,1,,,,,,
2711,31032,No.1 Kitchen,小麦田,,,,,,,,,
198,9975,Tengs Restaurant,邓,1,,,,,,,,
3653,32248,China House,美味,,,1,,,,,,
3514,27961,China Garden,郑记,1,,,,,,,,
1024,6688,New Great Wall,新长城,,,,1,,,,,
2481,5298,Imperial Palace Restaurant,皇宮,,,1,,,1,,,
2471,21347,Imperial Palace,皇宫酒楼,,,1,,,1,,,
1838,8441,China House,中国城,,,,,1,1,,,
3087,11801,New Panda,新熊猫,,,,1,,,,,
2823,13028,China King,皇城,,,1,,,1,,,
3581,6360,China Express,中城,,,,,1,1,,,
1209,7956,No. 1,如意,,,1,,,,,,
3470,16123,Red Dragon Chinese Bistro,龙,,,,1,,,,,
2478,28811,Happy Kitchen,喜洋洋,,,1,,,,,,
3403,10294,King Garden,京城,,,,,1,1,,,
436,31838,Panda House,熊猫,,,,1,,,,,
994,13289,China Gourmet,味中味,,,,,,,1,,
3459,23017,Golden Dragon Restaurant,龙酒家,,,,1,,1,,,
2047,27955,China Dragon,龙城,,,,1,,1,,,
1166,12407,China House,华城,,,,,1,1,,,
3562,16360,Dragon Wall Restaurant,龙城,,,,1,,1,,,
2495,16060,Shanghai Village Downtown,香园,,,1,,,1,,,
3976,436,Hong Kong Chinese Restaurant,香港,,,,,1,,,,
2922,21546,Yue Huang Restaurant,"
粤煌",,,1,,1,,,,
3687,12203,Empire King,帝王,,,1,,,,,,
1330,5201,North Hot Pot,北方火锅,,1,,,1,,,,
3106,23719,Treasure Dragon,宝龙,,,1,1,,,,,
2601,27327,K House,小葵家,1,,,,,,,,
3272,17825,China Queen Buffet,中华,,,,,1,,,,
3182,10838,Main Moon,明月,,,,1,,,,,
2197,7597,China Kitchen,明亮,,,1,,,,,,
3754,24884,E PLUS STUDIO Karaoke & Asian Bistro,煎饼胡同,,1,,,,1,,,creative or no?
613,23841,Little Sichuan Restaurant,福恩园,,,1,,,1,,,
2440,31711,Dwight Chinese,中国星,,,,,1,,,,
2353,26109,Willow Garden,容园,,,,,,1,,,
2706,26544,Green Tea Garden,绿茶园,,,,1,,1,,,
1129,6980,Golden China Buffet,龙祥,,,1,1,,,,,
2572,1979,China Sea,东海,,1,,,1,,,,
2919,27659,King Fong Chinese Restaurant,金丰,,,1,,,,,,
1287,14373,China Sea,东海,,1,,,1,,,,
3170,666,King Garden,帝园,,,1,,,1,,,
1333,5859,Super Garden,超园,,,1,,,1,,,
561,27069,QQ Kitchen,QQ小吃,,1,,,,,,,
2000,29589,China Lily,百合,,,1,,,,,,
3822,9606,Chinatown Kitchen,中国城,,,,,1,1,,,
3554,1922,China Express,兴隆,,,1,,,,,,
1145,26037,Mada-Sao,吞,,,,,,,,,
444,25000,New China Restaurant,新中国,,,,,1,,,,
593,6745,Lucky Chinese & American Food Take Out,好运,,,1,,,,,,
621,5919,China Ichiban,一 级棒,,,1,,,,,,
1858,10086,M Star Cafe,明星茶餐厅,,1,1,,,,,,
3128,5476,Spring Garden,阳春园,,,,,,1,,,
3319,14191,Hong Kong,香港,,,,,1,,,,
2946,25532,San Wok Express,三和,,,1,,,,,,
3832,5335,Lilac Blossom (Sky Meadow),紫丁香,,,,1,,,,,
982,5422,Chan's House,陈家搂,1,,,,,1,,,
433,27107,Shihlin Fremont,士林,1,,,,,,,,
518,28218,New China,金国,,,1,,,,,,
1718,10912,Bund Dumpling House,富园小吃,,1,1,,,1,,,
3512,13911,Lee Lee's Hot Kitchen,利利小馆,,,1,,,1,,,
2345,23120,Full Moon Mandarin Cuisine,富满美食,,,1,,,,,,
3550,12020,Mama Lee,一品香,,,1,,,,,,
866,33056,Oriental Garden,东方庭院,,,,,1,1,,,
738,28313,Happy Dragon,成龙,,,,1,,,,,
535,12649,Szechuan Kitchen,川厨,,,,,1,1,,,
3327,33213,Dragon Palace (Take out Only for Whole Day),龙宫,,,,1,,1,,,
2461,20323,Hong Kong Chinese Restaurants,香港,,,,,1,,,,
1354,3226,Wok N Roll,长城,,,,1,,,,,
1140,22634,Noodle St,拉面街,,1,,,,1,,,
3299,5184,Uncle Cheung's,张豪酒家,1,,,,,1,,,
3768,2081,Shanghai Chinese Restaurant,上海,,,,,1,,,,
1678,8567,Great Wall,长城,,,,1,,,,,
1588,22011,Hui Tou Xiang,"
回头香",,,1,,,,1,,
3935,14559,Cheng Du Chinese Restaurant,飘香成都,,,1,,1,,,,
3072,19086,China Cafe,旺记,1,,,,,,,,
2224,18443,Jade Garden Chinese Cuisine,翠苑,,,1,,,1,,,
2087,4256,China Kitchen Rest,鑫楼,,,1,,,1,,,
3535,29470,Foo Yen,福,,,1,,,,,,
1737,27163,Far East sushi & Seafood,远东楼,,,,,1,1,,,
1669,5444,Reren Lamen & Bar,"热人拉面
",,1,,,,,,,
1827,6233,China King,中皇,,,1,,1,,,,
235,4682,Mu Lan Taiwanese Restaurant (Cambridge),木兰,,,,1,,,,,
