sample_id,national_id,English_Name,Chinese_Name,Personal_Name,Specialty,Positivity,Culture,Location,Ambiance,Pun_Creative,Romanized,Relationship,Comments
2628,2174,Dragon Gate,龙苑,0,0,0,1,0,1,0,0,0,
1688,2736,Bamboo Garden,竹园,0,0,0,1,0,1,0,0,0,
1513,8756,Guan Long Restaurant,冠龙,0,0,0,1,0,0,0,0,0,
3945,5338,China City,中国城,0,0,0,0,1,1,0,0,0,
2548,18373,Hong Kong kitchen(near Westwego),香港,0,0,0,1,0,1,0,0,0,
1303,26507,Chinese restaurant in Milton-Freewater Oregon,红茶园,0,0,0,0,1,0,0,0,0,
160,22874,Capital,京都餐馆,0,0,0,0,1,0,0,0,0,
2143,23979,New Char Siu House,华丰烧味,1,0,1,0,0,1,0,0,0,
1213,23247,Blue Willow Restaurant,蓝杨,0,0,0,0,0,0,0,0,0,
3729,17031,Szechuan,四川,0,0,0,0,1,0,0,0,0,
2463,2712,Lucky Key & Fuji Ya,富士屋,0,0,1,1,0,0,0,0,0,
2343,2011,China House,榕城,0,0,0,0,1,1,0,0,0,
1456,9868,China Wok,皇朝,0,1,0,0,1,0,0,0,0,
2600,16080,"Pop Pot & Tea (Chandler, AZ)",三妈嗅嗅锅,0,1,0,0,0,0,0,0,0,
2641,32501,Peking Chinese Restaurant,北京,0,0,0,0,1,0,0,0,0,
3239,22869,Jasmine Tea House,茶室,1,1,0,0,0,1,0,0,0,
2956,31874,Peking House,北京园,0,0,0,0,1,1,0,0,0,
1117,24756,Dim Sum Box,点心屋,0,1,0,0,0,1,0,0,0,
3623,15665,Empire Buffet,皇廷,0,1,1,0,0,0,0,0,0,
3339,3472,Yummy House,太子楼,0,0,1,0,0,1,0,0,0,
1691,12537,Dragon Wok,飞龙,0,1,0,1,0,0,0,0,0,
40,1130,TELY'S Chinese Restaurant,中菜泰利,1,0,0,0,1,0,0,0,0,
2226,13378,Chan's Fine Oriental Dining,陈苑酒家,1,0,1,0,1,1,0,0,0,
3302,474,Tung Hing Chinese Restaurant,东兴,0,0,0,0,1,0,0,1,0,
3857,93,Butterfly Restaurant,蝴蝶亭,0,0,0,0,0,0,0,0,0,
3597,10662,Panda III,熊猫,0,0,0,1,0,0,0,0,0,
2457,29014,LAI LAI,来来,0,0,0,0,0,0,0,0,0,
1672,7538,Meiwah,"华强酒家
",0,0,0,0,0,0,0,0,0,
1157,6730,Fu Da Chinese Restaurant,富达,0,0,0,0,1,0,0,1,0,
183,31524,Jade Palace,翡翠楼,0,0,1,0,0,1,0,0,0,
872,25928,Beijing Garden,北京园,0,0,0,0,1,1,0,0,0,
595,22041,Sakura Grill & Buffet,烧,0,1,0,1,0,0,0,0,0,
2677,11581,Chef Hong II,"鸿顺楼
",1,0,1,0,0,0,0,0,0,
1576,873,Dragon Phoenix Chinese Cuisine,龙凤,0,0,0,1,1,0,0,0,0,
3180,19509,China Sea,明江,0,0,0,0,1,0,0,0,0,
2813,6679,China II,升辉,0,0,0,0,1,0,0,0,0,
2261,26019,Ho Ho Chinese Restaurant,好好,0,0,0,0,1,0,0,1,0,
1476,19463,Tian An Men Square Wok & Grill,天,0,1,0,1,0,0,0,0,0,
285,33181,Imperial Kitchen,御厨房,0,0,1,0,0,1,0,0,0,
689,23545,Panda Noodle Bar,新宝龙面吧,0,1,0,1,0,1,0,0,0,
3547,2145,Chifa Du Kang Bird Road - Peruvian Chinese Restaurant,杜康,0,0,0,1,1,0,0,1,0,
1030,31168,Enlai 59 Chinese Restaurant,恩来,1,0,0,0,1,0,0,1,0,
3561,25045,Nuodle Express,半一嘴,0,1,0,0,0,0,1,0,0,
1616,20073,Papa Lee Chinese Restaurant,"巴巴李
",0,0,0,0,1,0,0,1,0,
2611,11206,Lins Garden,林园,1,0,0,0,0,1,0,0,0,
570,27625,Wen Wu Buffet,文武,0,1,0,0,0,0,0,1,0,
47,18609,Dragon City,龙城,0,0,0,1,0,1,0,0,0,
2076,33032,Spring of China,郑园,0,0,0,0,1,0,0,0,0,
1663,24296,Harbor Village Cuisine,海港渔邨,0,0,0,0,0,1,0,0,0,
277,31235,Mo's Chinese Kitchen,东豪轩,1,0,0,0,1,0,0,0,0,
2050,8527,China Wok,中国城,0,1,0,0,1,0,0,0,0,
579,2905,Urban Hai,都海,0,0,0,0,0,0,0,1,0,
3027,1750,Jin Jin 88,公元前,0,0,1,0,0,0,0,0,0,
250,12932,China king,中华,0,0,1,0,1,0,0,0,0,
2466,29241,Wing On Chinese Restaurant,永安,0,0,0,0,1,0,0,0,0,
1769,625,Tung Hsing House,东兴园,0,0,0,0,0,1,0,1,0,
1450,24403,Little Lamb Hot Pot & BBQ,小尾羊,0,1,0,0,0,0,0,0,0,
