Chinese_Name,English_Name,Personal_Name,Specialty,Positivity,Origin,Culture,Location,Ambiance,Pun_Creative,Comments
上海小馆,Shanghai Cuisine,,,,,,1,1,,
十八鲜,Shanghai Fresh,,,1,,,,,,十八=very
久经烤焰,Kao Barbecue,,1,,,,,,1,
海之味,Taiwan Cafe ,,,,,,,,,海之味??? other=poetic
异国他湘,Hunan Cuisine ,,,,,,1,,1,
藤王馔,House of Chang,,,,,1,,,,馔=饮食，吃喝
四川冒菜,Bun's House,,1,,,,1,,,
汤功夫麻辣烫·麻辣拌,KungFu MalaTang,,1,,,1,,,,
大舌头,Spicy World,,,,,,,,,大舌头
一品川,Flame Hot Pot & Sushi,,,,,,1,,,一品=supreme
烹小鲜,Boston Soup Dumplings,,,1,,,,,,烹
六婆串串香,Six Po Hot Pot,1,1,1,,,,,,
烤究,Kaojiu Restaurant,,1,,,,,,1,
味鼎,Tasty Pot,,,1,,,,,,
金山饭店,Golden Garden,,,1,,,,1,,金山
百味轩,Taste House,,,,,,,1,,百味
素描湘,Sumiao Hunan Kitchen,1,,,,,1,,,
饺子馆,District Kitchen,,1,,,,,1,,
一碟川菜馆,BOS' SiChuan Taste,,,,,,,,,
亚轩十八,Noah's Kitchen,1,,,,,,,,十八
卤夫子,Lu Fu Zi,,1,,,1,,,,夫子
烤鱼之家,Grill Fish,,1,,,,,1,,
哥俩肉蟹煲,Brother Crab Pot,,1,,,,,,,哥俩
香满园打边炉港式火锅,Hong Kong Style Hot pot,,1,1,,,1,,,香满园
味中味,China Gourmet Restaurant,,,,,,,,1,味中味
海豚湾,Dolphin Bay,,,,,,,1,,海豚
一麻一辣,Mala Restaurant,,1,,,,,,1,
尚品烤吧,Supreme BBQ,,1,1,,,,,,
彩云之南,Yunnan Kitchen,,,,,,1,,1,a song name reference
新中国,New China,,,1,1,,,,,
渔米,Yummee,,1,,,,,,1,there is a pun
财富,Peking House,,,1,,,,,,财富
N/A,Myers+Chang,,,,,,,,,
南北和,Dumpling Palace,,,,,,1,,,
帝苑大酒楼,Empire Garden Restaurant,,,,,1,,1,,
小南阁,Wing's Kitchen,,,,,,1,1,,
翠苑海鲜酒楼,Jade Garden,,1,1,,,,1,,
小绵羊火锅,The Q,,1,,,,,,,
旺角,Clay Pot Cafe,,,,,,1,,,
为食家,Double Chin Modern Asian Restaurant,,,,,,,1,1,jia two meanings
五月花,Royal East,,,,,,,,1,reference to immigrants
顶好快餐,Ding Ho,,1,1,,,,,,
撩香米线,Liaoxiang Rice Noodle,,1,1,,,,,,
老西安,Gene's Chinese Flatbread Cafe,,,,,,1,,,老
香港小食,Hong Kong Eatery,,1,,,,1,,,小食=早餐，后泛指点心、零食
威威,Wai Wai,1,,,,,,,,
丝绸之路新疆美食,Silk Road Uyghur Cuisine,,,,,1,1,,,美食
小桃园,Peach Farm,,,,,,,1,,
N/A,Brigham Circle Chinese Food,,,,,,,,,
江东楼,Great Wok Restaurants,,,,,,1,1,,江东=长江以东地区
素素小食,Su Su Gourmet,1,1,,,,,,,小食
N/A,Mae Asian Eatery,,,,,,,,,
御堂春,Cilantro Chinese Cuisine,,,1,,,,1,,御堂春
新金门海鲜酒家,New Golden Gate Seafood,,1,1,,1,,1,,
珍宝轩,Jumbo Seafood,,,1,,,,1,,
京味,Beijing Cafe,,,,,,1,,,味
