English_Name,Chinese_Name,Personal_Name,Specialty,Positivity,Origin,Culture,Location,Ambiance,Pun_Creative,Romanized,Comments
Shanghai Cuisine,上海小馆,,,,,,1,,,,"""cuisine"""
Shanghai Fresh,十八鲜,,,1,,,1,,,,"""fresh"""
Kao Barbecue,久经烤焰,,1,,,,,,,,
Taiwan Cafe ,海之味,,,,,,1,1,,1,"""cafe"""
Hunan Cuisine ,异国他湘,,,,,,1,,,,
House of Chang,藤王馔,1,,,,,,1,,,
Bun's House,四川冒菜,1,,,,,,1,,,Singaporean name
KungFu MalaTang,汤功夫麻辣烫·麻辣拌,,,,,1,,,,1,
Spicy World,大舌头,,1,,,,,1,,,Spicy World
Flame Hot Pot & Sushi,一品川,,1,,,,,,,,Flame
Boston Soup Dumplings,烹小鲜,,1,,,,1,,,,
Six Po Hot Pot,六婆串串香,,1,,,,,,,1,
Kaojiu Restaurant,烤究,,,,,,,1,,1,
Tasty Pot,味鼎,,1,1,,,,,,,pot
Golden Garden,金山饭店,,,1,,,,1,,,
Taste House,百味轩,,,,,,,1,,,taste
Sumiao Hunan Kitchen,素描湘,1,,,,1,,1,,,
District Kitchen,饺子馆,,,,,,,1,,,District
BOS' SiChuan Taste,一碟川菜馆,,,,1,,1,,,,Taste
Noah's Kitchen,亚轩十八,1,,,,,,1,,,
Lu Fu Zi,卤夫子,,,,,,,,,1,
Grill Fish,烤鱼之家,,1,,,,,,,,fish
Brother Crab Pot,哥俩肉蟹煲,,1,,,,,,,,"brother, crab"
Hong Kong Style Hot pot,香满园打边炉港式火锅,,1,,,,1,,,,
China Gourmet Restaurant,味中味,,,1,,1,,1,,,gourmet
Dolphin Bay,海豚湾,,,,,,,1,,,dolphine
Mala Restaurant,一麻一辣,,,,,,,1,,1,
Supreme BBQ,尚品烤吧,,1,1,,,,,,,
Yunnan Kitchen,彩云之南,,,,,,1,1,,,
New China,新中国,,,1,1,,,,,,
Yummee,渔米,,,,,,,,1,,LOVE THIS ONE
Peking House,财富,,,,,,1,1,,,
Myers+Chang,N/A,1,,,,,,,,,
Dumpling Palace,南北和,,1,,,,,1,,,
Empire Garden Restaurant,帝苑大酒楼,,,,,1,,1,,,
Wing's Kitchen,小南阁,1,,,,,,1,,,Wing=温
Jade Garden,翠苑海鲜酒楼,,,1,,,,1,,,
The Q,小绵羊火锅,,,,,,,,,,Q
Clay Pot Cafe,旺角,,1,,,,,1,,,
Double Chin Modern Asian Restaurant,为食家,,,1,1,,,1,,,Double Chin
Royal East,五月花,,,,1,1,,,,,
Ding Ho,顶好快餐,,,,,,,,,1,
Liaoxiang Rice Noodle,撩香米线,,1,,,,,,,1,rice
Gene's Chinese Flatbread Cafe,老西安,1,1,,1,,,1,,,
Hong Kong Eatery,香港小食,,,,,,1,1,,,
Wai Wai,威威,1,,,,,,,,,wai=wei
Silk Road Uyghur Cuisine,丝绸之路新疆美食,,,,,1,1,1,,,
Peach Farm,小桃园,,,,,,,1,,,peach
Brigham Circle Chinese Food,N/A,,,,1,,1,,,,"food, Brigham Circle station is a station on the light rail MBTA Green Line"
Great Wok Restaurants,江东楼,,1,1,,,,,,,
Su Su Gourmet,素素小食,1,,1,,,,,,,Gourmet
Mae Asian Eatery,N/A,1,,,1,,,1,,,
Cilantro Chinese Cuisine,御堂春,,,,1,1,,1,,,Cilantro
New Golden Gate Seafood,新金门海鲜酒家,,1,1,,,,,,,Golden Gate
Jumbo Seafood,珍宝轩,,1,,,,,,1,,
Beijing Cafe,京味,,,,,,1,1,,,
Winsor Dim Sum Café,温莎点心美食,1,1,,,,,1,,,
Great Taste Bakery & Restaurant,美味轩,,1,1,,,,1,,,"taste, bakery"
Xiang Yu China Bistro,湘遇,,,,1,,,1,,1,
Young Kong,邕江,1,,,,,,,,,
Mei Mei Dumplings,N/A,1,1,,,,,,,,
Canton House,广东楼,,,,,,1,1,,,
Hei La Moon Restaurant,喜临门大酒楼,,,,,,,1,,1,
Gaga Seafood Restaurant,嘉嘉海鲜菜馆,,1,,,,,1,,1,
Lucky Boston Chinese,N/A,,,1,1,,1,,,,
Dragon Bowl,N/A,,,,,1,,,,,bowl
New Ho Toy,好彩,,,1,,,,,,1,
Food Wall Chinese Restaurant,福城,,,,1,,,1,,,Food Wall
New Moon Villa Restaurant,新月宫海鲜酒家,,,1,,,,1,,,moon
Lucky Cafe,陆记明炉烧腊,,,1,,,,1,,,
Xi’An Rougamo,姑娘手西安小吃,,,,,,1,,,1,Rougamo could also be specialty
Chung Wah,中华,,,,,,,,,1,
Mandarin Restaurant,华明,,,,1,,,1,,,
Billy Tse,满福轩,1,,,,,,,,,
HaoShiGuang,好食光,,,,,,,,,1,
Dragon Star Chinese Restaurant,龙星,,,,,1,,1,,,star?
Hong Kong Harbor,海港楼,,,,,,1,1,,,
QingDao Garden,青岛园,,,,,,1,1,,,
Oriental,N/A,,,,1,,,,,,
Hong Kong Cafe,香港美食,,,,,,1,1,,,
Ten Second Yunnan Rice Noodles,十秒到云南米线,,1,,,,1,,,,
Spicy Hunan Kitchen,湘私馆,,1,,,,1,1,,,spicy
Friendship BBQ Boston,友情客串,,1,,,,1,,,,Friendship
Chinese Dragon,东方红,,,,1,1,,,,,
Joyful Garden,聚福海鲜酒楼,,,1,,,,1,,,
Great Chef Chinese Food at Day Square,渪圖,,,1,1,,1,,,,"chef, food"
Wu Er by WOW Barbecue,无二烤肉,,1,1,,,,,,1,wow=good
The Kosher Wok,N/A,,1,,,,,,,,Kosher=jewish
Bess's Cafe,N/A,1,,,,,,1,,,
Teriyaki Yummy,N/A,,1,1,,,,,,,
Our Zone,第五空间 家常川菜,,,,,,,1,,,Our
Zoe’s Chinese Restaurant,风味亭,1,,,1,,,1,,,
Dragon Chef,N/A,,,,,1,,,,,chef
Rose's Chinese Restaurant,花苑,1,,,1,,,1,,,
Tin Tin Buffet,N/A,1,1,,,,,,,,
MDM Noodles,面对面,,1,,,,,,,,MDM
Dumpling Kitchen,心厨,,1,,,,,1,,,
China Garden Restaurant,顿嘉,,,,1,,,1,,,
Chow N Joy,厨乐,1,,1,,,,,,,interesting name
Changsho,常熟,,,,,,,,,1,
China House,中国楼,,,,1,,,1,,,
Golden Place,锦煌,,,1,,,,1,,,
Szechuan Delight,N/A,,,1,,,1,,,,
Asian Paradise,亚洲城,,,,1,,,1,,,
Sun On Chinese Food,N/A,,,,1,,,,,,"sun, food"
Double Dragon Inn,双龙,,,,,1,,1,,,
Fortune Cookie Chinese Restaurant to go,N/A,,,1,1,1,,,,,to go (express)
Kung Fu Dumplings,功夫饺子,,1,,,1,,,,,
Lee’s Dynasty,N/A,1,,,,1,,,,,dynasty
Chee's Chinese Cuisine,N/A,1,,,1,,,,,,
Chopsticks,N/A,,,,,1,,,,,
Oriental Buffet,N/A,,1,,1,,,,,,
Panda Garden,熊家园,,,,,1,,1,,,
Red Apple,红苹果,,,,,,,,,,"red, apple"
Orient Taste,N/A,,,,1,,,,,,taste
The East Asian Cuisine,龙,,,,1,,,,,,
Great Wall Chinese Restaurant,N/A,,,,1,1,,1,,,
Koi,N/A,,,,,,,,,,Koi
China Gourmet,N/A,,,1,1,,,,,,
Zeno's II,N/A,1,,,,,,,,,
Park's Asian Bistro & Sushi Bar,御膳房,1,1,,1,,,1,,,
China Wok Chinese Restaurant,N/A,,1,,1,,,1,,,
Golden China Restaurant,N/A,,,1,1,,,1,,,
Panda Garden Chinese Restaurant,百里香,,,,1,1,,1,,,
West Lake Gourmet Chinese Restaurant,西湖,,,1,1,1,,1,,,"West Lake, Gourmet"
Luau Hale Restaurant,N/A,,,,,,1,1,,,polynesian=region
The Wok,N/A,,1,,,,,,,,
Ce Ce's,N/A,1,,,,,,,,,
Tea House,N/A,,,,,1,,1,,,
New Fortune,鸿运,,,1,,,,,,,
