Chinese_Name,English_Name,Personal_Name,Specialty,Positivity,Origin,Culture,Location,Ambiance,Pun_Creative,Comments
上海小馆,Shanghai Cuisine,,0,0,0,0,1,1,0,
十八鲜,Shanghai Fresh,,0,0,0,0,0,0,0,other
久经烤焰,Kao Barbecue,,0,0,0,0,0,0,1,
海之味,Taiwan Cafe ,,0,0,0,0,0,0,0,提到大海算origin吗？
异国他湘,Hunan Cuisine ,,0,0,0,0,1,0,1,
藤王馔,House of Chang,1,0,0,0,0,0,0,1,
四川冒菜,Bun's House,,0,0,0,0,1,0,0,
汤功夫麻辣烫·麻辣拌,KungFu MalaTang,,1,0,0,0,0,0,0,
大舌头,Spicy World,,0,0,0,0,0,0,1,
一品川,Flame Hot Pot & Sushi,,1,0,0,0,0,0,0,
烹小鲜,Boston Soup Dumplings,,0,0,0,0,0,0,0,other
六婆串串香,Six Po Hot Pot,1,1,0,0,0,0,0,0,
烤究,Kaojiu Restaurant,,0,0,0,0,0,0,1,
味鼎,Tasty Pot,,0,0,0,0,0,0,0,other
金山饭店,Golden Garden,,0,0,0,0,1,0,0,
百味轩,Taste House,,0,0,0,0,0,1,0,
素描湘,Sumiao Hunan Kitchen,,0,0,0,0,1,0,1,
饺子馆,District Kitchen,,1,0,0,0,0,0,0,
一碟川菜馆,BOS' SiChuan Taste,,0,0,0,0,1,0,0,
亚轩十八,Noah's Kitchen,,0,0,1,0,0,0,0,
卤夫子,Lu Fu Zi,,0,0,0,0,0,0,1,
烤鱼之家,Grill Fish,,1,0,0,0,0,0,0,
哥俩肉蟹煲,Brother Crab Pot,,1,0,0,0,0,0,0,
香满园打边炉港式火锅,Hong Kong Style Hot pot,,1,0,0,0,1,0,0,
味中味,China Gourmet Restaurant,,0,0,0,0,0,0,0,
海豚湾,Dolphin Bay,,0,0,0,0,1,0,1,？
一麻一辣,Mala Restaurant,,0,0,0,0,0,0,0,other
尚品烤吧,Supreme BBQ,,1,0,0,0,0,0,0,
彩云之南,Yunnan Kitchen,,0,0,0,0,1,0,0,
新中国,New China,,0,0,1,0,0,0,0,
渔米,Yummee,,0,0,0,0,0,0,0,
财富,Peking House,,0,0,0,0,0,0,0,other
N/A,Myers+Chang,,0,0,0,0,0,0,0,other
南北和,Dumpling Palace,,0,0,0,0,0,0,0,提到方位算吗？南北这种？
帝苑大酒楼,Empire Garden Restaurant,,0,0,0,0,0,1,0,
小南阁,Wing's Kitchen,,0,0,0,0,0,1,0,
翠苑海鲜酒楼,Jade Garden,,1,0,0,0,0,1,0,
小绵羊火锅,The Q,,1,0,0,0,0,0,0,
旺角,Clay Pot Cafe,,0,0,0,0,0,0,0,other
为食家,Double Chin Modern Asian Restaurant,,0,0,0,0,0,0,0,other
五月花,Royal East,,0,0,0,0,0,0,1,
顶好快餐,Ding Ho,,0,0,0,0,0,0,0,other
撩香米线,Liaoxiang Rice Noodle,,1,0,0,0,0,0,0,
老西安,Gene's Chinese Flatbread Cafe,,0,0,0,0,1,0,0,
香港小食,Hong Kong Eatery,,0,0,0,0,1,0,0,
威威,Wai Wai,,0,0,0,0,0,0,0,
丝绸之路新疆美食,Silk Road Uyghur Cuisine,,0,0,0,0,1,0,0,
小桃园,Peach Farm,,0,0,0,0,0,0,1,
N/A,Brigham Circle Chinese Food,,0,0,0,0,0,0,0,other
江东楼,Great Wok Restaurants,,0,0,0,0,0,1,0,
素素小食,Su Su Gourmet,,0,0,0,0,0,0,0,other
