sample_id,national_id,English_Name,Chinese_Name,Personal_Name,Specialty,Positivity,Culture,Location,Ambiance,Pun_Creative,Relationship,Comments
2094,9870,Little Alley,弄堂,,,,,,,,,
1724,13697,New China Buffet,中,,,,,,,,,
2841,28810,MImian,迈面,,,,,,,,,
3119,9756,Bamboo Garden,竹园,,,,,,,,,
1223,29370,China Cafe,中国楼,,,,,,,,,
1241,17588,House of Chen,陈家园,,,,,,,,,
1068,16174,China Fun,黄石酒家,,,,,,,,,
337,5610,Sang Kee Peking Duck,生记烧腊,,,,,,,,,
3968,2544,Peking Restaurant,北京,,,,,,,,,
2219,28797,Sichuan House,四川,,,,,,,,,
773,11503,Tasty & Co,好味屋,,,,,,,,,
1660,16560,Peking Gardens West,北京,,,,,,,,,
1018,3960,China Dragon,华龙,,,,,,,,,
3983,26917,Hong Kong BBQ Restaurant,祥发烧腊小馆,,,,,,,,,
2521,18068,New China Restaurant,"
新中华",,,,,,,,,
2980,15640,China Garden,华苑,,,,,,,,,
551,16731,JS Chinese Restaurant,喜来居,,,,,,,,,
1055,3860,Taipei Tokyo,南北和,,,,,,,,,
2240,16735,Ah Chun Shandong Dumplings,"阿纯山东饺子
",,,,,,,,,
3759,9276,Legend 72,蜀留香,,,,,,,,,
3277,26711,LuDingJi Rice Noodle City of Industry,禄鼎记,,,,,,,,,
3135,24817,Bei Jing | Hot Pot & Asian Cuisine,迷你涮涮锅,,,,,,,,,
422,11339,Spicy Asian,川味坊,,,,,,,,,
2811,15306,Twin Dragon,双龙,,,,,,,,,
3990,22603,YinTang Spicy Hot Pot,隐烫,,,,,,,,,
1652,5334,Shanghai Osaka Restaurant,辣魅,,,,,,,,,
2767,2547,Bamboo Star,华星,,,,,,,,,
174,8393,King Taste Restaurant,味中味,,,,,,,,,
487,24871,Hong Kong Express,香港,,,,,,,,,
3476,16585,Hunan Garden,湖南苑,,,,,,,,,
1225,8561,China Pagoda Halal Restaurant,中国宝塔,,,,,,,,,
2042,17558,Shan Dong,山东饭店,,,,,,,,,
2575,578,Hong Kong Chinese Food,香港,,,,,,,,,
1272,14995,Kung Pao Wok,宫宝,,,,,,,,,
3940,26389,Peking Restaurant,永盛园,,,,,,,,,
1954,3171,New China,新华,,,,,,,,,
910,22486,Lam's Kitchen,林记粥粉面,,,,,,,,,
2195,4969,China Wok Express,永旺楼,,,,,,,,,
1358,23276,China Villa,华村,,,,,,,,,
3600,7202,Chin's Restaurant,好好,,,,,,,,,
3197,31641,Beijing Chinese Restaurant,北京,,,,,,,,,
768,524,Golden Wok,金源,,,,,,,,,
1613,29173,China Lee,华利,,,,,,,,,
2860,28795,En Lai Chinese Kitchen,恩来,,,,,,,,,
2175,9290,King House,皇宫,,,,,,,,,
122,23045,Darda Seafood Restaurant,清真一条龙,,,,,,,,,
1430,765,Mei Chang Take Out Food,美津,,,,,,,,,
3398,25850,Din Ding Dumpling House Union City,鼎顶,,,,,,,,,
2619,16615,China Restaurant,中,,,,,,,,,
1775,26730,Emperor Palace Restaurant,"海富海鲜酒家
",,,,,,,,,
3783,8447,Fu Lin,福临,,,,,,,,,
1797,9367,New Gourmet House,佳味楼,,,,,,,,,
3646,19004,China Chef,华府,,,,,,,,,
3192,30797,"Lao Szechuan Hot Pot Buffet, all you can eat sushi",老四川,,,,,,,,,
3174,5356,Chen's Garden,陈家园,,,,,,,,,
855,16268,China Garden Restaurant,华园,,,,,,,,,
2075,25369,Goldan Yan Restaurant,金苑酒家,,,,,,,,,
