Unnamed: 0,sample_id,national_id,name,location_link,site,us_state,type,subtypes,Area,rating,has_name,CH_name,source,chatGPT_translations
1012,2094,9870,Little Alley,"https://www.google.com/maps/place/Little+Alley/@40.7474165,-73.9772212,14z/data=!4m8!1m2!2m1!1sLittle+Alley!3m4!1s0x89c2590682c08837:0x6418a374a52a7f43!8m2!3d40.7474165!4d-73.9772212",http://www.littlealley.nyc/,New York,Shanghainese restaurant,"Shanghainese restaurant, Dim sum restaurant, Restaurant",2,4.3,1,弄堂,"https://www.google.com/maps/place/Little+Alley/@40.7474165,-73.9772212,3a,75y,347.62h,91.06t/data=!3m8!1e1!3m6!1sAF1QipNX0a2YzxMF-AUNtPqPHjLsZvotvqtfLDzRCqkp!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNX0a2YzxMF-AUNtPqPHjLsZvotvqtfLDzRCqkp%3Dw203-h100-k-no-pi-16.543407-ya293.8103-ro-0-fo100!7i7776!8i3888!4m17!1m7!3m6!1s0x89c2590682c08837:0x6418a374a52a7f43!2sLittle+Alley!8m2!3d40.7474165!4d-73.9772212!16s%2Fg%2F11df7h7qhl!3m8!1s0x89c2590682c08837:0x6418a374a52a7f43!8m2!3d40.7474165!4d-73.9772212!10e5!14m1!1BCgIgARICCAI!16s%2Fg%2F11df7h7qhl?entry=ttu",Alley
839,1724,13697,New China Buffet,"https://www.google.com/maps/place/New+China+Buffet/@34.1849616,-79.7668936,14z/data=!4m8!1m2!2m1!1sNew+China+Buffet!3m4!1s0x8855673945a26bf7:0xf375984f4bf44249!8m2!3d34.1849616!4d-79.7668936",http://eatnewchina.com/,South Carolina,Chinese restaurant,"Chinese restaurant, Buffet restaurant",2,4.0,1,中,"https://www.google.com/maps/place/New+China+Buffet/@34.1849466,-79.7669133,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipOl6wA4k88CDmKbI0xj6qka0391hWJL-W8Xea-i!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOl6wA4k88CDmKbI0xj6qka0391hWJL-W8Xea-i%3Dw203-h114-k-no!7i4128!8i2322!4m10!1m2!2m1!1sNew+China+Buffet!3m6!1s0x8855673945a26bf7:0xf375984f4bf44249!8m2!3d34.1849616!4d-79.7668936!10e5!16s%2Fg%2F1tgx79j5?entry=ttu",China
1362,2841,28810,MImian,"https://www.google.com/maps/place/MImian/@39.509687,-84.74472639999999,14z/data=!4m8!1m2!2m1!1sMImian!3m4!1s0x88403ddcc137bbcd:0x4452035e27c9045f!8m2!3d39.509687!4d-84.74472639999999",http://www.mimianoxford.com/,Ohio,Chinese restaurant,"Chinese restaurant, Chinese takeaway, Delivery service, Delivery Restaurant, Takeout Restaurant, Ramen restaurant",1,4.5,1,迈面,"https://www.google.com/maps/place/MImian/@39.509505,-84.7447313,3a,77.9y,90t/data=!3m8!1e2!3m6!1sAF1QipN1FlrQT_rNU7in2LfUgDbD-INdsqJ6XxalcVOk!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipN1FlrQT_rNU7in2LfUgDbD-INdsqJ6XxalcVOk%3Dw203-h149-k-no!7i1000!8i736!4m17!1m7!3m6!1s0x88403ddcc137bbcd:0x4452035e27c9045f!2sMImian!8m2!3d39.509687!4d-84.7447264!16s%2Fg%2F11fl75j3b1!3m8!1s0x88403ddcc137bbcd:0x4452035e27c9045f!8m2!3d39.509687!4d-84.7447264!10e5!14m1!1BCgIYIQ!16s%2Fg%2F11fl75j3b1?entry=ttu",Step Noodles
1500,3119,9756,Bamboo Garden,"https://www.google.com/maps/place/Bamboo+Garden/@42.700643799999995,-74.0333569,14z/data=!4m8!1m2!2m1!1sBamboo+Garden!3m4!1s0x89de799a89ba8659:0x8dc5cd03176bcda9!8m2!3d42.700643799999995!4d-74.0333569",,New York,Chinese restaurant,Chinese restaurant,2,3.7,1,竹园,"https://www.google.com/maps/place/Bamboo+Garden/@42.7009282,-74.0335609,3a,15y,155.93h,92.55t/data=!3m7!1e1!3m5!1shVJ09wAZTY91Sprun8zM9g!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DhVJ09wAZTY91Sprun8zM9g%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D151.98369%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m12!1m2!2m1!1sBamboo+Garden!3m8!1s0x89de799a89ba8659:0x8dc5cd03176bcda9!8m2!3d42.7006438!4d-74.0333569!10e5!14m1!1BCgIgARICCAI!16s%2Fg%2F11stk1bw5v?entry=ttu",Bamboo Garden
600,1223,29370,China Cafe,"https://www.google.com/maps/place/China+Cafe/@42.4022278,-86.2706425,14z/data=!4m8!1m2!2m1!1sChina+Cafe!3m4!1s0x8810aca4b1a510f1:0x4ac1c21b480c2a3e!8m2!3d42.4022278!4d-86.2706425",http://www.chinacafesouthhaven.com/,Michigan,Chinese restaurant,Chinese restaurant,0,3.9,1,中国楼,"https://www.google.com/maps/place/China+Cafe/@42.4022278,-86.2706425,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipMdRPQsVIbTao8RfzyMLrSQGbH2VfLZIDu7hv8v!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMdRPQsVIbTao8RfzyMLrSQGbH2VfLZIDu7hv8v%3Dw203-h126-k-no!7i4080!8i2544!4m12!1m2!2m1!1sChina+Cafe!3m8!1s0x8810aca4b1a510f1:0x4ac1c21b480c2a3e!8m2!3d42.4022278!4d-86.2706425!10e5!14m1!1BCgIYIQ!16s%2Fg%2F1tdhmf5c?entry=ttu",China House
609,1241,17588,House of Chen,"https://www.google.com/maps/place/House+of+Chen/@33.6996198,-85.82920639999999,14z/data=!4m8!1m2!2m1!1sHouse+of+Chen!3m4!1s0x888bb31316fefa55:0xcc9cdcf36a885fdd!8m2!3d33.6996198!4d-85.82920639999999",https://www.houseofchenanniston.com/,Alabama,Chinese restaurant,Chinese restaurant,2,4.1,1,陈家园,"https://www.google.com/maps/place/House+of+Chen/@33.6998393,-85.8291888,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipPmql5_rmss8yYsbA_WHzog86-oEHpGF5YUTNcW!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPmql5_rmss8yYsbA_WHzog86-oEHpGF5YUTNcW%3Dw203-h270-k-no!7i3000!8i4000!4m10!1m2!2m1!1sHouse+of+Chen!3m6!1s0x888bb31316fefa55:0xcc9cdcf36a885fdd!8m2!3d33.6996198!4d-85.8292064!10e5!16s%2Fg%2F1tk6wp70?entry=ttu",Chen's Garden
520,1068,16174,China Fun,"https://www.google.com/maps/place/China+Fun/@44.6644535,-111.1000808,14z/data=!4m8!1m2!2m1!1sChina+Fun!3m4!1s0x5351b9c75d554663:0x83a411f136b06589!8m2!3d44.6644535!4d-111.1000808",,Montana,Chinese restaurant,Chinese restaurant,0,3.5,1,黄石酒家,"https://www.google.com/maps/place/China+Fun/@44.6644618,-111.0997724,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipMVzUbiBUVUQg0hTp_BOXmJPNqdAgJTz0qxxQLr!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMVzUbiBUVUQg0hTp_BOXmJPNqdAgJTz0qxxQLr%3Dw203-h270-k-no!7i3024!8i4032!4m10!1m2!2m1!1sChina+Fun!3m6!1s0x5351b9c75d554663:0x83a411f136b06589!8m2!3d44.6644535!4d-111.1000808!10e5!16s%2Fg%2F12vrsmr2r?entry=ttu#",Yellow Stone Restaurant
168,337,5610,Sang Kee Peking Duck,"https://www.google.com/maps/place/Sang+Kee+Peking+Duck/@39.9532278,-75.1593865,14z/data=!4m8!1m2!2m1!1sSang+Kee+Peking+Duck!3m4!1s0x89c6c880240c3fff:0xd9ca9c158feb2b37!8m2!3d39.9532278!4d-75.1593865",http://www.sang-kee-peking-duck.com/,Pennsylvania,Chinese restaurant,"Chinese restaurant, Seafood market",2,3.8,1,生记烧腊,"https://www.google.com/maps/place/Sang+Kee+Peking+Duck/@39.9530998,-75.159616,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipPFVdnHMemaySE-NnuXSRbiPVAIzI_hha1scRjL!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPFVdnHMemaySE-NnuXSRbiPVAIzI_hha1scRjL%3Dw203-h304-k-no!7i4000!8i6000!4m10!1m2!2m1!1sSang+Kee+Peking+Duck!3m6!1s0x89c6c880240c3fff:0xd9ca9c158feb2b37!8m2!3d39.9532278!4d-75.1593865!10e5!16s%2Fg%2F1hc7z7v4z?entry=ttu",Sheng's Roast Meat
1927,3968,2544,Peking Restaurant,"https://www.google.com/maps/place/Peking+Restaurant/@33.2942945,-84.5728793,14z/data=!4m8!1m2!2m1!1sPeking+Restaurant!3m4!1s0x88f495173c7b8e0b:0x91d16a72d158cd2!8m2!3d33.2942945!4d-84.5728793",,Georgia,Chinese restaurant,Chinese restaurant,1,3.9,1,北京,"https://www.google.com/maps/place/Peking+Restaurant/@33.294271,-84.5729822,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipOVY29P1MWA0wj9nwJBzu4V_67qEKaoLWOvGQhF!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOVY29P1MWA0wj9nwJBzu4V_67qEKaoLWOvGQhF%3Dw114-h86-k-no!7i4048!8i3036!4m10!1m2!2m1!1sPeking+Restaurant!3m6!1s0x88f495173c7b8e0b:0x91d16a72d158cd2!8m2!3d33.2942945!4d-84.5728793!10e5!16s%2Fg%2F1tdv_qlc?entry=ttu",Beijing
1068,2219,28797,Sichuan House,"https://www.google.com/maps/place/Sichuan+House/@40.4171662,-86.89318349999999,14z/data=!4m8!1m2!2m1!1sSichuan+House!3m4!1s0x88131d5b22b8d84b:0xfea5d6f4f3b481cc!8m2!3d40.4171662!4d-86.89318349999999",http://sichuanhousein.com/,Indiana,Chinese restaurant,"Chinese restaurant, Asian restaurant, Restaurant, Sichuan restaurant",2,3.8,1,四川,"https://www.google.com/maps/place/Sichuan+House/@40.4173141,-86.8935382,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipO2P96xgvm6VRDdLEIlXwXpCJyt59MRzADmMK9Z!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipO2P96xgvm6VRDdLEIlXwXpCJyt59MRzADmMK9Z%3Dw203-h137-k-no!7i4962!8i3367!4m17!1m7!3m6!1s0x88131d5b22b8d84b:0xfea5d6f4f3b481cc!2sSichuan+House!8m2!3d40.4171662!4d-86.8931835!16s%2Fg%2F11ggbdzjjk!3m8!1s0x88131d5b22b8d84b:0xfea5d6f4f3b481cc!8m2!3d40.4171662!4d-86.8931835!10e5!14m1!1BCgIYIQ!16s%2Fg%2F11ggbdzjjk?entry=ttu",Sichuan
