Unnamed: 0,sample_id,national_id,name,location_link,site,us_state,type,subtypes,Area,rating,has_name,CH_name,source,chatGPT_translations
1263,2628,2174,Dragon Gate,"https://www.google.com/maps/place/Dragon+Gate/@26.0066667,-80.2969444,14z/data=!4m8!1m2!2m1!1sDragon+Gate!3m4!1s0x88d9a60d0511ec2b:0x55f01408438ead7!8m2!3d26.0066667!4d-80.2969444",http://www.dragongatefl.com/,Florida,Chinese restaurant,"Chinese restaurant, Delivery Restaurant, Restaurant",2,4.1,1,龙苑,"https://www.google.com/maps/place/Dragon+Gate/@26.0067303,-80.2971316,3a,33.4y,108.58h,103.62t/data=!3m7!1e1!3m5!1sbd_yEtwk1wcXbPm4PY_KLw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dbd_yEtwk1wcXbPm4PY_KLw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D133.53162%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m15!1m7!3m6!1s0x88d9a60d0511ec2b:0x55f01408438ead7!2sDragon+Gate!8m2!3d26.0066667!4d-80.2969444!16s%2Fg%2F1v27w8_b!3m6!1s0x88d9a60d0511ec2b:0x55f01408438ead7!8m2!3d26.0066667!4d-80.2969444!10e5!16s%2Fg%2F1v27w8_b?entry=ttu",Dragon Garden
820,1688,2736,Bamboo Garden,"https://www.google.com/maps/place/Bamboo+Garden/@34.3784438,-84.9323112,14z/data=!4m8!1m2!2m1!1sBamboo+Garden!3m4!1s0x88f555719bdbda65:0xff27cd4f266894be!8m2!3d34.3784438!4d-84.9323112",http://www.bamboogardenga.com/,Georgia,Chinese restaurant,Chinese restaurant,1,3.1,1,竹园,https://www.bamboogardenga.com/,Bamboo Garden
731,1513,8756,Guan Long Restaurant,"https://www.google.com/maps/place/Guan+Long+Restaurant/@41.0016793,-74.3269203,14z/data=!4m8!1m2!2m1!1sGuan+Long+Restaurant!3m4!1s0x89c31b4c972ef239:0x3579c8697f48640d!8m2!3d41.0016793!4d-74.3269203",https://guanlongtogo.com/,New Jersey,Chinese restaurant,"Chinese restaurant, Delivery Restaurant",2,4.2,1,冠龙,"https://www.google.com/maps/place/Guan+Long+Restaurant/@41.0016533,-74.3267966,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipNXIN1DngyoylnujuFxdslgQsI_3HVrfYhdxRbK!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNXIN1DngyoylnujuFxdslgQsI_3HVrfYhdxRbK%3Dw86-h152-k-no!7i1836!8i3264!4m15!1m7!3m6!1s0x89c31b4c972ef239:0x3579c8697f48640d!2sGuan+Long+Restaurant!8m2!3d41.0016793!4d-74.3269203!16s%2Fg%2F1vyxkbn1!3m6!1s0x89c31b4c972ef239:0x3579c8697f48640d!8m2!3d41.0016793!4d-74.3269203!10e5!16s%2Fg%2F1vyxkbn1?entry=ttu",Crown Dragon
1916,3945,5338,China City,"https://www.google.com/maps/place/China+City/@42.7012441,-71.4363898,14z/data=!4m8!1m2!2m1!1sChina+City!3m4!1s0x89e3b9e43421235f:0xed8e107109c39452!8m2!3d42.7012441!4d-71.4363898",,New Hampshire,Chinese restaurant,Chinese restaurant,2,3.1,1,中国城,"https://www.google.com/maps/place/China+City/@42.7013884,-71.4363822,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipMQH_oc4rRK0jkhQ66vsV_CPWlNxNxY0yxys66r!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMQH_oc4rRK0jkhQ66vsV_CPWlNxNxY0yxys66r%3Dw147-h86-k-no!7i2908!8i1701!4m10!1m2!2m1!1sChina+City!3m6!1s0x89e3b9e43421235f:0xed8e107109c39452!8m2!3d42.7012441!4d-71.4363898!10e5!16s%2Fg%2F11g8ctr2d5?entry=ttu",China Town
1215,2548,18373,Hong Kong kitchen(near Westwego),"https://www.google.com/maps/place/Hong+Kong+kitchen%28near+Westwego%29/@29.8944188,-90.1330758,14z/data=!4m8!1m2!2m1!1sHong+Kong+kitchen%28near+Westwego%29!3m4!1s0x8620a54fcd17ea01:0x25af0fc62fc91af4!8m2!3d29.8944188!4d-90.1330758",http://hongkongkitchenmarrero.com/,Louisiana,Chinese restaurant,Chinese restaurant,2,4.4,1,香港,"https://www.google.com/maps/place/Hong+Kong+kitchen(near+Westwego)/@29.894506,-90.1333719,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipNcbGZI9hCP5TC3fEBK9JcMrS3I-FHh7VAG5cXO!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNcbGZI9hCP5TC3fEBK9JcMrS3I-FHh7VAG5cXO%3Dw203-h270-k-no!7i3024!8i4032!4m15!1m7!3m6!1s0x8620a54fcd17ea01:0x25af0fc62fc91af4!2sHong+Kong+kitchen(near+Westwego)!8m2!3d29.8944188!4d-90.1330758!16s%2Fg%2F11rc2fxjlf!3m6!1s0x8620a54fcd17ea01:0x25af0fc62fc91af4!8m2!3d29.8944188!4d-90.1330758!10e5!16s%2Fg%2F11rc2fxjlf?entry=ttu",Hong Kong
633,1303,26507,Chinese restaurant in Milton-Freewater Oregon,"https://www.google.com/maps/place/Chinese+restaurant+in+Milton-Freewater+Oregon/@45.937876499999994,-118.3867782,14z/data=!4m8!1m2!2m1!1sChinese+restaurant+in+Milton-Freewater+Oregon!3m4!1s0x54a245704ae33427:0xc0a448ab27733dfc!8m2!3d45.937876499999994!4d-118.3867782",https://redteagardenmf.com/,Oregon,Chinese restaurant,Chinese restaurant,2,3.8,1,红茶园,"https://www.google.com/maps/place/Chinese+restaurant+in+Milton-Freewater+Oregon/@45.9376661,-118.3871122,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipOSXcU41ljxQvINsUli6hmP5hc-yv9MJX5aocbP!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOSXcU41ljxQvINsUli6hmP5hc-yv9MJX5aocbP%3Dw203-h152-k-no!7i4032!8i3024!4m12!1m2!2m1!1sChinese+restaurant+in+Milton-Freewater+Oregon!3m8!1s0x54a245704ae33427:0xc0a448ab27733dfc!8m2!3d45.9376661!4d-118.3871122!10e5!14m1!1BCgIYIQ!16s%2Fg%2F11h_47stz1?entry=ttu",Red Tea Garden
78,160,22874,Capital,"https://www.google.com/maps/place/Capital/@37.7940788,-122.4071024,14z/data=!4m8!1m2!2m1!1sCapital!3m4!1s0x8085808b58a71a5d:0x75440dd503b8bff1!8m2!3d37.7940788!4d-122.4071024",,California,Cantonese restaurant,"Cantonese restaurant, Asian restaurant",2,4.3,1,京都餐馆,https://goo.gl/maps/9KubTpDJtuSSLcd27,Kyoto Restaurant
1035,2143,23979,New Char Siu House,"https://www.google.com/maps/place/New+Char+Siu+House/@21.3126692,-157.8624006,14z/data=!4m8!1m2!2m1!1sNew+Char+Siu+House!3m4!1s0x7c006e7402e6266f:0x80da0967ef6a5e62!8m2!3d21.3126692!4d-157.8624006",https://charsiuhousehi.com/,Hawaii,Cantonese restaurant,Cantonese restaurant,2,4.6,1,华丰烧味,"https://www.google.com/maps/place/New+Char+Siu+House/@21.3125835,-157.8623409,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipNQyEK1R3gABt_G3fS4ryIgnNeKt2WjQF5e1U_2!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNQyEK1R3gABt_G3fS4ryIgnNeKt2WjQF5e1U_2%3Dw152-h86-k-no!7i4160!8i2340!4m15!1m7!3m6!1s0x7c006e7402e6266f:0x80da0967ef6a5e62!2sNew+Char+Siu+House!8m2!3d21.3126692!4d-157.8624006!16s%2Fg%2F1tdmf2n2!3m6!1s0x7c006e7402e6266f:0x80da0967ef6a5e62!8m2!3d21.3126692!4d-157.8624006!10e5!16s%2Fg%2F1tdmf2n2?entry=ttu",China Feng Roast Flavor
595,1213,23247,Blue Willow Restaurant,"https://www.google.com/maps/place/Blue+Willow+Restaurant/@44.953398199999995,-122.9842857,14z/data=!4m8!1m2!2m1!1sBlue+Willow+Restaurant!3m4!1s0x54bffe934a0db3db:0xcb7a4f941fa2d99a!8m2!3d44.953398199999995!4d-122.9842857",https://www.facebook.com/Blue-Willow-Restaurant-383709595591600/,Oregon,Chinese restaurant,Chinese restaurant,2,4.1,1,蓝杨,"https://www.google.com/maps/place/Blue+Willow+Restaurant/@44.9533978,-122.9840196,3a,80.8y/data=!3m8!1e2!3m6!1sAF1QipPQFYOkBumkmpclGB-e6wjefYU-2fn3Nu_hYhfO!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPQFYOkBumkmpclGB-e6wjefYU-2fn3Nu_hYhfO%3Dw114-h86-k-no!7i720!8i540!4m15!1m7!3m6!1s0x54bffe934a0db3db:0xcb7a4f941fa2d99a!2sBlue+Willow+Restaurant!8m2!3d44.9533982!4d-122.9842857!16s%2Fg%2F1ttdmqlk!3m6!1s0x54bffe934a0db3db:0xcb7a4f941fa2d99a!8m2!3d44.9533982!4d-122.9842857!10e5!16s%2Fg%2F1ttdmqlk?entry=ttu",Blue Poplar
1806,3729,17031,Szechuan,"https://www.google.com/maps/place/Szechuan/@32.732438699999996,-97.40861729999999,14z/data=!4m8!1m2!2m1!1sSzechuan!3m4!1s0x864e731bbcd2e381:0xfa4c18167dc849ce!8m2!3d32.732438699999996!4d-97.40861729999999",https://www.facebook.com/Szechuan-Chinese-Restaurant-115954735092425/,Texas,Chinese restaurant,Chinese restaurant,2,4.3,1,四川,"https://www.google.com/maps/place/Szechuan+Chinese+Restaurant/@32.7323241,-97.4086465,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipNrIXKhfEYL2tb_OHRpAxSy9P__Fq5DQUBQC8O3!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNrIXKhfEYL2tb_OHRpAxSy9P__Fq5DQUBQC8O3%3Dw203-h135-k-no!7i4369!8i2918!4m12!1m2!2m1!1sSzechuan!3m8!1s0x864e731bbcd2e381:0xfa4c18167dc849ce!8m2!3d32.7324387!4d-97.4086173!10e5!14m1!1BCgIYIQ!16s%2Fg%2F1vq7582k?entry=ttu",Sichuan
