sample_id,national_id,name,location_link,site,us_state,type,subtypes,Area,rating,has_name,CH_name,source
0,32759,Royal China,"https://www.google.com/maps/place/Royal+China/@38.9918824,-90.7424448,14z/data=!4m8!1m2!2m1!1sRoyal+China!3m4!1s0x87dee7fbde3cc3d5:0xa5d41b5f46ba47c5!8m2!3d38.9918824!4d-90.7424448",,Missouri,Chinese restaurant,Chinese restaurant,1,4.1,0,,
1,19042,Lucky Lucky Dumpling,"https://www.google.com/maps/place/Lucky+Lucky+Dumpling/@35.4675602,-97.5164276,14z/data=!4m8!1m2!2m1!1sLucky+Lucky+Dumpling!3m4!1s0x87b203667dcc0001:0x4db3055e12a74372!8m2!3d35.4675602!4d-97.5164276",,Oklahoma,Chinese restaurant,"Chinese restaurant, Dumpling restaurant",2,4.7,0,,
2,24936,Dumpling House,"https://www.google.com/maps/place/Dumpling+House/@34.0693196,-118.2927593,14z/data=!4m8!1m2!2m1!1sDumpling+House!3m4!1s0x80c2c7646f2d7c19:0x30cd4969a256c8fc!8m2!3d34.0693196!4d-118.2927593",http://www.dumpling-house-dumpling.com/,California,Dumpling restaurant,Dumpling restaurant,2,4.2,0,,
3,30815,Asian Buffet,"https://www.google.com/maps/place/Asian+Buffet/@42.789333,-96.938043,14z/data=!4m8!1m2!2m1!1sAsian+Buffet!3m4!1s0x878e4f9335cd9a39:0x576ab51ec586af93!8m2!3d42.789333!4d-96.938043",https://m.facebook.com/pages/Asian-Buffet/218948978144582,South Dakota,Chinese restaurant,Chinese restaurant,1,4.1,0,,
4,31426,Chinese #1 Kitchen,"https://www.google.com/maps/place/Chinese+%231+Kitchen/@41.7872053,-87.7030401,14z/data=!4m8!1m2!2m1!1sChinese+%231+Kitchen!3m4!1s0x880e31d0a6981e99:0x337d6ea30e96b6d4!8m2!3d41.7872053!4d-87.7030401",,Illinois,Chinese restaurant,"Chinese restaurant, Delivery Restaurant",2,3.9,0,,
5,3208,Number One Chinese Restaurant,"https://www.google.com/maps/place/Number+One+Chinese+Restaurant/@34.036052399999996,-83.9896967,14z/data=!4m8!1m2!2m1!1sNumber+One+Chinese+Restaurant!3m4!1s0x88f595bbd9ad6b0b:0xd78071059662dff5!8m2!3d34.036052399999996!4d-83.9896967",https://www.beyondmenu.com/28227/lawrenceville/number-one-chinese-restaurant-lawrenceville-30043.aspx?utm_source=qrcode,Georgia,Chinese restaurant,"Chinese restaurant, Asian restaurant, Delivery Restaurant",2,3.5,1,皇宫,"https://www.google.com/maps/place/Number+One+Chinese+Restaurant/@34.0360818,-83.9896344,3a,75y/data=!3m8!1e2!3m6!1sAF1QipOKEzV9pzYTCH3S_MP_1l-ovKYJBZ_Dh2qjKm9n!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOKEzV9pzYTCH3S_MP_1l-ovKYJBZ_Dh2qjKm9n%3Dw203-h270-k-no!7i3000!8i4000!4m15!1m7!3m6!1s0x88f595bbd9ad6b0b:0xd78071059662dff5!2sNumber+One+Chinese+Restaurant!8m2!3d34.0360524!4d-83.9896967!16s%2Fg%2F1thvtjy_!3m6!1s0x88f595bbd9ad6b0b:0xd78071059662dff5!8m2!3d34.0360524!4d-83.9896967!10e5!16s%2Fg%2F1thvtjy_?entry=ttu"
6,20005,WeiKee Chinese Restaurant,"https://www.google.com/maps/place/WeiKee+Chinese+Restaurant/@29.4962101,-98.62068889999999,14z/data=!4m8!1m2!2m1!1sWeiKee+Chinese+Restaurant!3m4!1s0x865c5d0af8f07ef3:0x29e06ad99c7ff0b4!8m2!3d29.4962101!4d-98.62068889999999",http://www.weikeesa.com/,Texas,Chinese restaurant,Chinese restaurant,2,4.1,0,,
7,14762,Cheung Wah Chinese Restaurant,"https://www.google.com/maps/place/Cheung+Wah+Chinese+Restaurant/@37.5031944,-77.4759558,14z/data=!4m8!1m2!2m1!1sCheung+Wah+Chinese+Restaurant!3m4!1s0x89b11223d57ba31d:0x74830de9fe995d90!8m2!3d37.5031944!4d-77.4759558",http://runinos.com/places/cheung-wah-richmond-va/,Virginia,Chinese restaurant,Chinese restaurant,2,4.2,1,长华,"https://www.google.com/maps/place/Cheung+Wah+Chinese+Restaurant/@37.5031344,-77.4760277,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipOz6wl7-UctGQkuBkXWiCI4VOX3jM2R4PvOXpJE!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOz6wl7-UctGQkuBkXWiCI4VOX3jM2R4PvOXpJE%3Dw203-h152-k-no!7i3264!8i2448!4m15!1m7!3m6!1s0x89b11223d57ba31d:0x74830de9fe995d90!2sCheung+Wah+Chinese+Restaurant!8m2!3d37.5031944!4d-77.4759558!16s%2Fg%2F1q66wnpjj!3m6!1s0x89b11223d57ba31d:0x74830de9fe995d90!8m2!3d37.5031944!4d-77.4759558!10e5!16s%2Fg%2F1q66wnpjj?entry=ttu"
8,27260,Taiwan Popcorn Chicken,"https://www.google.com/maps/place/Taiwan+Popcorn+Chicken/@33.6956665,-117.7991996,14z/data=!4m8!1m2!2m1!1sTaiwan+Popcorn+Chicken!3m4!1s0x80dcdc45a280ec3f:0x282fc5b49ac8f38c!8m2!3d33.6956665!4d-117.7991996",,California,Chinese restaurant,"Chinese restaurant, Chicken restaurant, Taiwanese restaurant",2,3.7,1,台湾盐酥鸡,"https://www.google.com/maps/place/Taiwan+Popcorn+Chicken/@33.6956169,-117.799469,3a,91.8y,90t/data=!3m8!1e2!3m6!1sAF1QipPWreboRHuYm__ATILsr8wbBhps1F7byGpyTxxw!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPWreboRHuYm__ATILsr8wbBhps1F7byGpyTxxw%3Dw203-h152-k-no!7i800!8i600!4m15!1m7!3m6!1s0x80dcdc45a280ec3f:0x282fc5b49ac8f38c!2sTaiwan+Popcorn+Chicken!8m2!3d33.6956665!4d-117.7991996!16s%2Fg%2F11b6gn69qx!3m6!1s0x80dcdc45a280ec3f:0x282fc5b49ac8f38c!8m2!3d33.6956665!4d-117.7991996!10e5!16s%2Fg%2F11b6gn69qx?entry=ttu"
9,10338,New city,"https://www.google.com/maps/place/New+city/@40.702793199999995,-73.9256837,14z/data=!4m8!1m2!2m1!1sNew+city!3m4!1s0x89c25d42762458dd:0xee53b5be428112d2!8m2!3d40.702793199999995!4d-73.9256837",https://brooklynnewcity.com/,New York,Chinese restaurant,Chinese restaurant,2,4.4,0,,
